"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.gpu","StudyAbroadGPT-7B-continued - system/gpu.0.gpu__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.gpu__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.gpu","StudyAbroadGPT-7B-continued - system/gpu.1.gpu__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.gpu__MAX"
"1935.272480052","100","100","100","0","0","0"
"1945.266799366","100","100","100","0","0","0"
"1955.271863979","100","100","100","0","0","0"
"1965.267282401","100","100","100","0","0","0"
"1975.267491962","100","100","100","0","0","0"
"1985.265093311","91","91","91","0","0","0"
"1995.268007845","100","100","100","0","0","0"
"2005.266706374","100","100","100","0","0","0"
"2015.266817986","100","100","100","0","0","0"
"2025.266251374","100","100","100","0","0","0"
"2035.265732348","100","100","100","0","0","0"
"2045.267223778","100","100","100","0","0","0"
"2055.274725907","100","100","100","0","0","0"
"2065.27115954","100","100","100","0","0","0"
"2075.26774375","100","100","100","0","0","0"
"2085.265976736","100","100","100","0","0","0"
"2095.270005366","100","100","100","0","0","0"
"2105.276182641","100","100","100","0","0","0"
"2115.268211421","100","100","100","0","0","0"
"2125.267017844","100","100","100","0","0","0"
"2135.266607762","100","100","100","0","0","0"
"2145.267921145","100","100","100","0","0","0"
"2155.269618332","100","100","100","0","0","0"
"2165.267561466","100","100","100","0","0","0"
"2175.266147109","100","100","100","0","0","0"
"2185.266571834","100","100","100","0","0","0"
"2195.269245093","100","100","100","0","0","0"
"2205.27263517","100","100","100","0","0","0"
"2215.265277177","99","99","99","0","0","0"
"2225.272642469","100","100","100","0","0","0"
"2235.267314278","100","100","100","0","0","0"
"2245.267459558","100","100","100","0","0","0"
"2255.274675387","100","100","100","0","0","0"
"2265.270022487","100","100","100","0","0","0"
"2275.281602606","100","100","100","0","0","0"
"2285.270281626","100","100","100","0","0","0"
"2295.27745621","100","100","100","0","0","0"
"2305.269133449","91","91","91","0","0","0"
"2315.268426861","100","100","100","0","0","0"
"2325.269286617","100","100","100","0","0","0"
"2335.269805861","100","100","100","0","0","0"
"2345.268670194","100","100","100","0","0","0"
"2355.268776163","100","100","100","0","0","0"
"2365.269933866","100","100","100","0","0","0"
"2375.270735103","100","100","100","0","0","0"
"2385.278791673","100","100","100","0","0","0"
"2395.26693152","100","100","100","0","0","0"
"2405.268414341","100","100","100","0","0","0"
"2415.268109819","100","100","100","0","0","0"
"2425.267155547","100","100","100","0","0","0"
"2435.266346117","100","100","100","0","0","0"
"2445.266166085","100","100","100","0","0","0"
"2455.273274064","100","100","100","0","0","0"
"2465.267590452","100","100","100","0","0","0"
"2475.266043811","100","100","100","0","0","0"
"2485.265839923","100","100","100","0","0","0"
"2495.266739408","100","100","100","0","0","0"
"2505.267934602","100","100","100","0","0","0"
"2515.271041929","100","100","100","0","0","0"
"2525.267353795","100","100","100","0","0","0"
"2535.26976709","100","100","100","0","0","0"
"2545.27037988","100","100","100","0","0","0"
"2555.267816106","100","100","100","0","0","0"
"2565.267601776","100","100","100","0","0","0"
"2575.265118334","100","100","100","0","0","0"
"2585.265934865","100","100","100","0","0","0"
"2595.268348133","100","100","100","0","0","0"
"2605.265436982","100","100","100","0","0","0"
"2615.271201909","100","100","100","0","0","0"
"2625.269559732","100","100","100","0","0","0"
"2635.273707077","100","100","100","0","0","0"
"2645.268105033","100","100","100","0","0","0"
"2655.267836099","100","100","100","0","0","0"
"2665.266293895","100","100","100","0","0","0"
"2675.278267345","100","100","100","0","0","0"
"2685.265511633","100","100","100","0","0","0"
"2695.266600786","100","100","100","0","0","0"
"2705.272781807","100","100","100","0","0","0"
"2715.269744156","100","100","100","0","0","0"
"2725.265505364","100","100","100","0","0","0"
"2735.270146616","100","100","100","0","0","0"
"2745.280402169","70","70","70","0","0","0"
"2755.276097714","100","100","100","0","0","0"
"2765.268603386","100","100","100","0","0","0"
"2775.268015315","100","100","100","0","0","0"
"2785.267317265","99","99","99","0","0","0"
"2795.267111057","100","100","100","0","0","0"
"2805.266532622","100","100","100","0","0","0"
"2815.270501722","100","100","100","0","0","0"
"2825.266518576","100","100","100","0","0","0"
"2835.267824103","100","100","100","0","0","0"
"2845.265712586","100","100","100","0","0","0"
"2855.265060446","100","100","100","0","0","0"
"2865.266951665","100","100","100","0","0","0"
"2875.267031396","100","100","100","0","0","0"
"2885.268632402","100","100","100","0","0","0"
"2895.265928464","100","100","100","0","0","0"
"2905.267130844","100","100","100","0","0","0"
"2915.269853103","100","100","100","0","0","0"
"2925.278221941","100","100","100","0","0","0"
"2935.276070701","100","100","100","0","0","0"
"2945.265646511","100","100","100","0","0","0"
"2955.272268848","100","100","100","0","0","0"
"2965.265286886","100","100","100","0","0","0"
"2975.26700083","100","100","100","0","0","0"
"2985.2660491","100","100","100","0","0","0"
"2995.268222264","100","100","100","0","0","0"
"3005.269070349","99","99","99","0","0","0"
"3015.265623971","100","100","100","0","0","0"
"3025.269203756","100","100","100","0","0","0"
"3035.269152952","100","100","100","0","0","0"
"3045.269588767","100","100","100","0","0","0"
"3055.269526513","100","100","100","0","0","0"
"3065.267139719","100","100","100","0","0","0"
"3075.279191049","100","100","100","0","0","0"
"3085.270902954","100","100","100","0","0","0"
"3095.270076773","100","100","100","0","0","0"
"3105.274963408","100","100","100","0","0","0"
"3115.270393832","100","100","100","0","0","0"
"3125.26795194","100","100","100","0","0","0"
"3135.268784579","100","100","100","0","0","0"
"3145.266816525","100","100","100","0","0","0"
"3155.27051942","100","100","100","0","0","0"
"3165.268498837","100","100","100","0","0","0"
"3175.267251274","100","100","100","0","0","0"
"3185.265566903","100","100","100","0","0","0"
"3195.275283592","100","100","100","0","0","0"
"3205.266435502","100","100","100","0","0","0"
"3215.268662772","100","100","100","0","0","0"
"3225.268206969","100","100","100","0","0","0"
"3235.273724345","100","100","100","0","0","0"
"3245.268435264","100","100","100","0","0","0"
"3255.271103186","100","100","100","0","0","0"
"3265.267122801","100","100","100","0","0","0"
"3275.265538709","100","100","100","0","0","0"
"3285.266646826","100","100","100","0","0","0"
"3295.267352692","100","100","100","0","0","0"
"3305.264893953","100","100","100","0","0","0"
"3315.268723197","100","100","100","0","0","0"
"3325.266827672","99","99","99","0","0","0"
"3335.276772017","100","100","100","0","0","0"
"3345.268926769","100","100","100","0","0","0"
"3355.268556798","100","100","100","0","0","0"
"3365.26710819","100","100","100","0","0","0"
"3375.267515237","100","100","100","0","0","0"
"3385.267909624","100","100","100","0","0","0"
"3395.265377318","100","100","100","0","0","0"
"3405.274094482","100","100","100","0","0","0"
"3415.272278842","100","100","100","0","0","0"
"3425.26842753","99","99","99","0","0","0"
"3435.270209751","100","100","100","0","0","0"
"3445.270338098","100","100","100","0","0","0"
"3455.2669032","100","100","100","0","0","0"
"3465.273420404","100","100","100","0","0","0"
"3475.269653671","100","100","100","0","0","0"
"3485.269522908","100","100","100","0","0","0"
"3495.26729341","100","100","100","0","0","0"
"3505.267397557","100","100","100","0","0","0"
"3515.267857542","100","100","100","0","0","0"
"3525.27032725","100","100","100","0","0","0"
"3535.268625025","100","100","100","0","0","0"
"3545.265003903","100","100","100","0","0","0"
"3555.26997253","45","45","45","0","0","0"
"3565.273418996","100","100","100","0","0","0"
"3575.268195737","100","100","100","0","0","0"
"3585.26582559","100","100","100","0","0","0"
"3595.268121905","100","100","100","0","0","0"
"3605.267472908","100","100","100","0","0","0"
"3615.273141294","100","100","100","0","0","0"
"3625.266851376","100","100","100","0","0","0"
"3635.26565782","100","100","100","0","0","0"
"3645.267749578","100","100","100","0","0","0"
"3655.272397374","100","100","100","0","0","0"
"3665.269606543","100","100","100","0","0","0"
"3675.270597783","100","100","100","0","0","0"
"3685.267994311","100","100","100","0","0","0"
"3695.268590445","100","100","100","0","0","0"
"3705.266582141","100","100","100","0","0","0"
"3715.268723163","100","100","100","0","0","0"
"3725.269654647","100","100","100","0","0","0"
"3735.269984925","100","100","100","0","0","0"
"3745.265890704","100","100","100","0","0","0"
"3755.267749161","100","100","100","0","0","0"
"3765.266643494","100","100","100","0","0","0"
"3775.265299793","100","100","100","0","0","0"
"3785.268005147","100","100","100","0","0","0"
"3795.267068091","100","100","100","0","0","0"
"3805.267598656","100","100","100","0","0","0"
"3815.267139402","100","100","100","0","0","0"
"3825.267305784","100","100","100","0","0","0"
"3835.265849396","100","100","100","0","0","0"
"3845.271409916","90","90","90","0","0","0"
"3855.267823007","100","100","100","0","0","0"
"3865.270247847","100","100","100","0","0","0"
"3875.266918617","100","100","100","0","0","0"
"3885.272401969","100","100","100","0","0","0"
"3895.27121305","100","100","100","0","0","0"
"3905.267759192","100","100","100","0","0","0"
"3915.272368051","100","100","100","0","0","0"
"3925.266281319","100","100","100","0","0","0"
"3935.268206974","100","100","100","0","0","0"
"3945.267196585","100","100","100","0","0","0"
"3955.265771097","100","100","100","0","0","0"
"3965.268397943","100","100","100","0","0","0"
"3975.267625979","100","100","100","0","0","0"
"3985.271219111","100","100","100","0","0","0"
"3995.266610805","100","100","100","0","0","0"
"4005.273735553","100","100","100","0","0","0"
"4015.266686821","100","100","100","0","0","0"
"4025.267165875","100","100","100","0","0","0"
"4035.276413417","100","100","100","0","0","0"
"4045.267300774","100","100","100","0","0","0"
"4055.264957835","100","100","100","0","0","0"
"4065.267786781","100","100","100","0","0","0"
"4075.275773729","100","100","100","0","0","0"
"4085.267142924","100","100","100","0","0","0"
"4095.266520784","100","100","100","0","0","0"
"4105.275108667","100","100","100","0","0","0"
"4115.276663836","100","100","100","0","0","0"
"4125.265455144","100","100","100","0","0","0"
"4135.26946361","100","100","100","0","0","0"
"4145.276639446","100","100","100","0","0","0"
"4155.267319856","100","100","100","0","0","0"
"4165.274283927","100","100","100","0","0","0"
"4175.26712252","100","100","100","0","0","0"
"4185.266233895","100","100","100","0","0","0"
"4195.26635952","100","100","100","0","0","0"
"4205.269411148","100","100","100","0","0","0"
"4215.26673456","100","100","100","0","0","0"
"4225.26550228","100","100","100","0","0","0"
"4235.267328264","100","100","100","0","0","0"
"4245.266318214","100","100","100","0","0","0"
"4255.266614958","100","100","100","0","0","0"
"4265.265517181","100","100","100","0","0","0"
"4275.272976763","100","100","100","0","0","0"
"4285.273362119","100","100","100","0","0","0"
"4295.265061183","100","100","100","0","0","0"
"4305.267671354","100","100","100","0","0","0"
"4315.265926034","100","100","100","0","0","0"
"4325.267251009","100","100","100","0","0","0"
"4335.269224025","100","100","100","0","0","0"
"4345.26694564","100","100","100","0","0","0"
"4355.270572955","100","100","100","0","0","0"
"4365.266378654","100","100","100","0","0","0"
"4375.265651501","100","100","100","0","0","0"
"4385.268049793","100","100","100","0","0","0"
"4395.268211414","100","100","100","0","0","0"
"4405.267714614","100","100","100","0","0","0"
"4415.271363374","100","100","100","0","0","0"
"4425.268786165","100","100","100","0","0","0"
"4435.267331869","100","100","100","0","0","0"
"4445.26683265","100","100","100","0","0","0"
"4455.26782635","100","100","100","0","0","0"
"4465.267118286","100","100","100","0","0","0"
"4475.268633217","100","100","100","0","0","0"
"4485.26775339","100","100","100","0","0","0"
"4495.266762529","100","100","100","0","0","0"
"4505.274477632","100","100","100","0","0","0"
"4515.274520474","100","100","100","0","0","0"
"4525.266903626","100","100","100","0","0","0"
"4535.265560312","100","100","100","0","0","0"
"4545.273385161","100","100","100","0","0","0"
"4555.26721518","100","100","100","0","0","0"
"4565.265499896","100","100","100","0","0","0"
"4575.269778184","100","100","100","0","0","0"
"4585.266883774","100","100","100","0","0","0"
"4595.265222364","100","100","100","0","0","0"
"4605.269847287","100","100","100","0","0","0"
"4615.267013194","100","100","100","0","0","0"
"4625.267484232","100","100","100","0","0","0"
"4635.267860473","100","100","100","0","0","0"
"4645.267600478","100","100","100","0","0","0"
"4655.271608586","100","100","100","0","0","0"
"4665.268299989","100","100","100","0","0","0"
"4675.26751027","100","100","100","0","0","0"
"4685.266286575","100","100","100","0","0","0"
"4695.269020222","100","100","100","0","0","0"
"4705.26771586","100","100","100","0","0","0"
"4715.266606133","100","100","100","0","0","0"
"4725.265748255","100","100","100","0","0","0"
"4735.270064113","100","100","100","0","0","0"
"4745.267499407","100","100","100","0","0","0"
"4755.266979495","100","100","100","0","0","0"
"4765.267470766","100","100","100","0","0","0"
"4775.266436876","100","100","100","0","0","0"
"4785.267799305","100","100","100","0","0","0"
"4795.265684789","100","100","100","0","0","0"
"4805.265177495","100","100","100","0","0","0"
"4815.266807389","100","100","100","0","0","0"
"4825.270000143","100","100","100","0","0","0"
"4835.265750418","100","100","100","0","0","0"
"4845.274690517","100","100","100","0","0","0"
"4855.269076041","91","91","91","0","0","0"
"4865.276600762","100","100","100","0","0","0"
"4875.266924693","100","100","100","0","0","0"
"4885.268453481","100","100","100","0","0","0"
"4895.268693889","100","100","100","0","0","0"
"4905.275992369","100","100","100","0","0","0"
"4915.268371933","100","100","100","0","0","0"
"4925.267113892","100","100","100","0","0","0"
"4935.27919284","100","100","100","0","0","0"
"4945.266736385","100","100","100","0","0","0"
"4955.264933407","100","100","100","0","0","0"
"4965.267596265","100","100","100","0","0","0"
"4975.267483481","100","100","100","0","0","0"
"4985.266788367","100","100","100","0","0","0"
"4995.267532653","100","100","100","0","0","0"
"5005.265115437","100","100","100","0","0","0"
"5015.27153468","100","100","100","0","0","0"
"5025.272049529","100","100","100","0","0","0"
"5035.268537376","100","100","100","0","0","0"
"5045.26741715","100","100","100","0","0","0"
"5055.267841617","100","100","100","0","0","0"
"5065.26559602","100","100","100","0","0","0"
"5075.267271604","100","100","100","0","0","0"
"5085.269293544","100","100","100","0","0","0"
"5095.267006693","100","100","100","0","0","0"
"5105.267314922","100","100","100","0","0","0"
"5115.266291201","100","100","100","0","0","0"
"5125.265724615","100","100","100","0","0","0"
"5135.266187905","100","100","100","0","0","0"
"5145.267763353","100","100","100","0","0","0"
"5155.273462842","100","100","100","0","0","0"
"5165.276403101","100","100","100","0","0","0"
"5175.271563312","100","100","100","0","0","0"
"5185.267206336","100","100","100","0","0","0"
"5195.265589683","100","100","100","0","0","0"
"5205.267792648","100","100","100","0","0","0"
"5215.270969732","100","100","100","0","0","0"
"5225.268759099","100","100","100","0","0","0"
"5235.265610403","100","100","100","0","0","0"
"5245.271084424","100","100","100","0","0","0"
"5255.269715935","100","100","100","0","0","0"
"5265.27437571","100","100","100","0","0","0"
"5275.268382728","100","100","100","0","0","0"
"5285.267564397","100","100","100","0","0","0"
"5295.276783446","100","100","100","0","0","0"
"5305.269612032","100","100","100","0","0","0"
"5315.274516796","100","100","100","0","0","0"
"5325.284928808","100","100","100","0","0","0"
"5335.265507851","100","100","100","0","0","0"
"5345.267073313","100","100","100","0","0","0"
"5355.266314418","100","100","100","0","0","0"
"5365.267197447","100","100","100","0","0","0"
"5375.266294043","100","100","100","0","0","0"
"5385.266353087","100","100","100","0","0","0"
"5395.267773171","100","100","100","0","0","0"
"5405.265548585","100","100","100","0","0","0"
"5415.268658984","100","100","100","0","0","0"
"5425.26856957","100","100","100","0","0","0"
"5435.265833728","100","100","100","0","0","0"
"5445.266763277","100","100","100","0","0","0"
"5455.267821483","100","100","100","0","0","0"
"5465.265281319","100","100","100","0","0","0"
"5475.269933096","91","91","91","0","0","0"
"5485.275016494","100","100","100","0","0","0"
"5495.275487052","100","100","100","0","0","0"
"5505.275937652","100","100","100","0","0","0"
"5515.27613732","100","100","100","0","0","0"
"5525.268709063","100","100","100","0","0","0"
"5535.265588392","100","100","100","0","0","0"
"5545.266375728","100","100","100","0","0","0"
"5555.274225934","100","100","100","0","0","0"
"5565.266261212","100","100","100","0","0","0"
"5575.268900167","100","100","100","0","0","0"
"5585.264945965","100","100","100","0","0","0"
"5595.265300676","100","100","100","0","0","0"
"5605.267850455","100","100","100","0","0","0"
"5615.267553434","100","100","100","0","0","0"
"5625.270299357","100","100","100","0","0","0"
"5635.267216317","100","100","100","0","0","0"
"5645.267517139","100","100","100","0","0","0"
"5655.268127221","100","100","100","0","0","0"
"5665.274790712","100","100","100","0","0","0"
"5675.26996395","100","100","100","0","0","0"
"5685.26583713","100","100","100","0","0","0"
"5695.268494597","100","100","100","0","0","0"
"5705.26754324","100","100","100","0","0","0"
"5715.266630139","100","100","100","0","0","0"
"5725.266980088","100","100","100","0","0","0"
"5735.267281439","100","100","100","0","0","0"
"5745.266848198","100","100","100","0","0","0"
"5755.269077492","100","100","100","0","0","0"
"5765.266697905","100","100","100","0","0","0"
"5775.267668704","100","100","100","0","0","0"
"5785.268586364","100","100","100","0","0","0"
"5795.274239431","100","100","100","0","0","0"
"5805.272994608","100","100","100","0","0","0"
"5815.268130037","100","100","100","0","0","0"
"5825.267222938","100","100","100","0","0","0"
"5835.266150224","100","100","100","0","0","0"
"5845.266233999","100","100","100","0","0","0"
"5855.26735575","100","100","100","0","0","0"
"5865.265848487","100","100","100","0","0","0"
"5875.268683511","100","100","100","0","0","0"
"5885.266616603","100","100","100","0","0","0"
"5895.26607862","100","100","100","0","0","0"
"5905.266242639","100","100","100","0","0","0"
"5915.267273191","100","100","100","0","0","0"
"5925.268047209","100","100","100","0","0","0"
"5935.273666155","100","100","100","0","0","0"
"5945.274342229","100","100","100","0","0","0"
"5955.268847884","100","100","100","0","0","0"
"5965.271374737","99","99","99","0","0","0"
"5975.271199327","100","100","100","0","0","0"
"5985.267929389","100","100","100","0","0","0"
"5995.265582978","100","100","100","0","0","0"
"6005.265023539","100","100","100","0","0","0"
"6015.271016868","100","100","100","0","0","0"
"6025.275186198","100","100","100","0","0","0"
"6035.267221564","100","100","100","0","0","0"
"6045.276702736","100","100","100","0","0","0"
"6055.275606555","100","100","100","0","0","0"
"6065.265721934","100","100","100","0","0","0"
"6075.267693803","100","100","100","0","0","0"
"6085.271742501","100","100","100","0","0","0"
"6095.275981395","100","100","100","0","0","0"
"6105.274769634","100","100","100","0","0","0"
"6115.267056885","100","100","100","0","0","0"
"6125.268451437","100","100","100","0","0","0"
"6135.268369822","100","100","100","0","0","0"
"6145.267553346","100","100","100","0","0","0"
"6155.269519362","100","100","100","0","0","0"
"6165.277378796","100","100","100","0","0","0"
"6175.26903679","100","100","100","0","0","0"
"6185.265467123","100","100","100","0","0","0"
"6195.274305167","100","100","100","0","0","0"
"6205.268079926","99","99","99","0","0","0"
"6215.268737001","100","100","100","0","0","0"
"6225.2660367","100","100","100","0","0","0"
"6235.268565539","100","100","100","0","0","0"
"6245.26642663","100","100","100","0","0","0"
"6255.267623485","100","100","100","0","0","0"
"6265.267818046","100","100","100","0","0","0"
"6275.26917742","100","100","100","0","0","0"
"6285.267225709","100","100","100","0","0","0"
"6295.272194858","100","100","100","0","0","0"
"6305.268300583","100","100","100","0","0","0"
"6315.268093415","100","100","100","0","0","0"
"6325.270108898","100","100","100","0","0","0"
"6335.265033828","100","100","100","0","0","0"
"6345.268498901","100","100","100","0","0","0"
"6355.266392848","99","99","99","0","0","0"
"6365.268633069","100","100","100","0","0","0"
"6375.267425707","100","100","100","0","0","0"
"6385.271801035","100","100","100","0","0","0"
"6395.271626093","100","100","100","0","0","0"
"6405.265698111","100","100","100","0","0","0"
"6415.27540635","100","100","100","0","0","0"
"6425.269061306","100","100","100","0","0","0"
"6435.267782121","100","100","100","0","0","0"
"6445.270612672","100","100","100","0","0","0"
"6455.267347696","99","99","99","0","0","0"
"6465.275207677","100","100","100","0","0","0"
"6475.274585848","100","100","100","0","0","0"
"6485.278296682","100","100","100","0","0","0"
"6495.269740958","100","100","100","0","0","0"
"6505.276111694","100","100","100","0","0","0"
"6515.268265732","100","100","100","0","0","0"
"6525.274278702","100","100","100","0","0","0"
"6535.270680161","100","100","100","0","0","0"
"6545.273087391","100","100","100","0","0","0"
"6555.277248723","100","100","100","0","0","0"
"6565.26728664","100","100","100","0","0","0"
"6575.268910592","100","100","100","0","0","0"
"6585.27318068","100","100","100","0","0","0"
"6595.266668499","91","91","91","0","0","0"
"6605.268957463","100","100","100","0","0","0"
"6615.266056867","100","100","100","0","0","0"
"6625.266957279","100","100","100","0","0","0"
"6635.265473202","99","99","99","0","0","0"
"6645.275069982","100","100","100","0","0","0"
"6655.266185363","100","100","100","0","0","0"
"6665.272476164","100","100","100","0","0","0"
"6675.27379124","100","100","100","0","0","0"
"6685.265847748","100","100","100","0","0","0"
"6695.267210123","100","100","100","0","0","0"
"6705.266051453","100","100","100","0","0","0"
"6715.266638701","100","100","100","0","0","0"
"6725.26536817","100","100","100","0","0","0"
"6735.266781159","100","100","100","0","0","0"
"6745.265794792","100","100","100","0","0","0"
"6755.265247524","100","100","100","0","0","0"
"6765.27254652","100","100","100","0","0","0"
"6775.274140466","100","100","100","0","0","0"
"6785.276503779","100","100","100","0","0","0"
"6795.267739525","100","100","100","0","0","0"
"6805.268997297","100","100","100","0","0","0"
"6815.266827316","100","100","100","0","0","0"
"6825.27073043","100","100","100","0","0","0"
"6835.266803449","100","100","100","0","0","0"
"6845.26717991","100","100","100","0","0","0"
"6855.265820758","100","100","100","0","0","0"
"6865.26973258","100","100","100","0","0","0"
"6875.271815064","100","100","100","0","0","0"
"6885.270234538","100","100","100","0","0","0"
"6895.271394991","100","100","100","0","0","0"
"6905.276211751","100","100","100","0","0","0"
"6915.271879911","100","100","100","0","0","0"
"6925.265851547","100","100","100","0","0","0"
"6935.270209841","100","100","100","0","0","0"
"6945.266836505","100","100","100","0","0","0"
"6955.281024488","100","100","100","0","0","0"
"6965.267114641","100","100","100","0","0","0"
"6975.269447562","100","100","100","0","0","0"
"6985.266076322","100","100","100","0","0","0"
"6995.268032843","100","100","100","0","0","0"
"7005.269211666","100","100","100","0","0","0"
"7015.275973268","100","100","100","0","0","0"
"7025.266663436","100","100","100","0","0","0"
"7035.275966887","100","100","100","0","0","0"
"7045.266856179","91","91","91","0","0","0"
"7055.273738355","100","100","100","0","0","0"
"7065.27536408","100","100","100","0","0","0"
"7075.270250738","100","100","100","0","0","0"
"7085.268842805","100","100","100","0","0","0"
"7095.27530527","100","100","100","0","0","0"
"7105.26739402","100","100","100","0","0","0"
"7115.269227128","100","100","100","0","0","0"
"7125.268434927","100","100","100","0","0","0"
"7135.267049822","100","100","100","0","0","0"
"7145.268309409","100","100","100","0","0","0"
"7155.271621196","100","100","100","0","0","0"
"7165.276411092","100","100","100","0","0","0"
"7175.27169243","100","100","100","0","0","0"
"7185.269609123","100","100","100","0","0","0"
"7195.267688967","100","100","100","0","0","0"
"7205.273443367","100","100","100","0","0","0"
"7215.268201523","100","100","100","0","0","0"
"7225.274729161","100","100","100","0","0","0"
"7235.267122906","100","100","100","0","0","0"
"7245.268250767","100","100","100","0","0","0"
"7255.266945083","100","100","100","0","0","0"
