"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.memory","StudyAbroadGPT-7B-continued - system/gpu.0.memory__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.memory__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.memory","StudyAbroadGPT-7B-continued - system/gpu.1.memory__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.memory__MAX"
"1935.272480052","36","36","36","0","0","0"
"1945.266799366","47","47","47","0","0","0"
"1955.271863979","61","61","61","0","0","0"
"1965.267282401","59","59","59","0","0","0"
"1975.267491962","38","38","38","0","0","0"
"1985.265093311","44","44","44","0","0","0"
"1995.268007845","51","51","51","0","0","0"
"2005.266706374","40","40","40","0","0","0"
"2015.266817986","51","51","51","0","0","0"
"2025.266251374","40","40","40","0","0","0"
"2035.265732348","34","34","34","0","0","0"
"2045.267223778","38","38","38","0","0","0"
"2055.274725907","37","37","37","0","0","0"
"2065.27115954","47","47","47","0","0","0"
"2075.26774375","44","44","44","0","0","0"
"2085.265976736","35","35","35","0","0","0"
"2095.270005366","57","57","57","0","0","0"
"2105.276182641","46","46","46","0","0","0"
"2115.268211421","34","34","34","0","0","0"
"2125.267017844","47","47","47","0","0","0"
"2135.266607762","48","48","48","0","0","0"
"2145.267921145","35","35","35","0","0","0"
"2155.269618332","51","51","51","0","0","0"
"2165.267561466","35","35","35","0","0","0"
"2175.266147109","60","60","60","0","0","0"
"2185.266571834","56","56","56","0","0","0"
"2195.269245093","33","33","33","0","0","0"
"2205.27263517","47","47","47","0","0","0"
"2215.265277177","47","47","47","0","0","0"
"2225.272642469","50","50","50","0","0","0"
"2235.267314278","51","51","51","0","0","0"
"2245.267459558","37","37","37","0","0","0"
"2255.274675387","47","47","47","0","0","0"
"2265.270022487","46","46","46","0","0","0"
"2275.281602606","34","34","34","0","0","0"
"2285.270281626","48","48","48","0","0","0"
"2295.27745621","50","50","50","0","0","0"
"2305.269133449","44","44","44","0","0","0"
"2315.268426861","58","58","58","0","0","0"
"2325.269286617","34","34","34","0","0","0"
"2335.269805861","43","43","43","0","0","0"
"2345.268670194","49","49","49","0","0","0"
"2355.268776163","43","43","43","0","0","0"
"2365.269933866","35","35","35","0","0","0"
"2375.270735103","51","51","51","0","0","0"
"2385.278791673","59","59","59","0","0","0"
"2395.26693152","63","63","63","0","0","0"
"2405.268414341","52","52","52","0","0","0"
"2415.268109819","34","34","34","0","0","0"
"2425.267155547","50","50","50","0","0","0"
"2435.266346117","34","34","34","0","0","0"
"2445.266166085","55","55","55","0","0","0"
"2455.273274064","48","48","48","0","0","0"
"2465.267590452","34","34","34","0","0","0"
"2475.266043811","39","39","39","0","0","0"
"2485.265839923","44","44","44","0","0","0"
"2495.266739408","37","37","37","0","0","0"
"2505.267934602","49","49","49","0","0","0"
"2515.271041929","34","34","34","0","0","0"
"2525.267353795","59","59","59","0","0","0"
"2535.26976709","35","35","35","0","0","0"
"2545.27037988","35","35","35","0","0","0"
"2555.267816106","45","45","45","0","0","0"
"2565.267601776","35","35","35","0","0","0"
"2575.265118334","43","43","43","0","0","0"
"2585.265934865","49","49","49","0","0","0"
"2595.268348133","36","36","36","0","0","0"
"2605.265436982","47","47","47","0","0","0"
"2615.271201909","51","51","51","0","0","0"
"2625.269559732","36","36","36","0","0","0"
"2635.273707077","49","49","49","0","0","0"
"2645.268105033","36","36","36","0","0","0"
"2655.267836099","44","44","44","0","0","0"
"2665.266293895","50","50","50","0","0","0"
"2675.278267345","35","35","35","0","0","0"
"2685.265511633","48","48","48","0","0","0"
"2695.266600786","34","34","34","0","0","0"
"2705.272781807","39","39","39","0","0","0"
"2715.269744156","52","52","52","0","0","0"
"2725.265505364","37","37","37","0","0","0"
"2735.270146616","42","42","42","0","0","0"
"2745.280402169","35","35","35","0","0","0"
"2755.276097714","46","46","46","0","0","0"
"2765.268603386","36","36","36","0","0","0"
"2775.268015315","53","53","53","0","0","0"
"2785.267317265","48","48","48","0","0","0"
"2795.267111057","60","60","60","0","0","0"
"2805.266532622","58","58","58","0","0","0"
"2815.270501722","36","36","36","0","0","0"
"2825.266518576","43","43","43","0","0","0"
"2835.267824103","36","36","36","0","0","0"
"2845.265712586","46","46","46","0","0","0"
"2855.265060446","45","45","45","0","0","0"
"2865.266951665","36","36","36","0","0","0"
"2875.267031396","45","45","45","0","0","0"
"2885.268632402","35","35","35","0","0","0"
"2895.265928464","47","47","47","0","0","0"
"2905.267130844","53","53","53","0","0","0"
"2915.269853103","49","49","49","0","0","0"
"2925.278221941","44","44","44","0","0","0"
"2935.276070701","36","36","36","0","0","0"
"2945.265646511","47","47","47","0","0","0"
"2955.272268848","38","38","38","0","0","0"
"2965.265286886","36","36","36","0","0","0"
"2975.26700083","51","51","51","0","0","0"
"2985.2660491","37","37","37","0","0","0"
"2995.268222264","47","47","47","0","0","0"
"3005.269070349","40","40","40","0","0","0"
"3015.265623971","42","42","42","0","0","0"
"3025.269203756","58","58","58","0","0","0"
"3035.269152952","34","34","34","0","0","0"
"3045.269588767","42","42","42","0","0","0"
"3055.269526513","35","35","35","0","0","0"
"3065.267139719","48","48","48","0","0","0"
"3075.279191049","43","43","43","0","0","0"
"3085.270902954","37","37","37","0","0","0"
"3095.270076773","45","45","45","0","0","0"
"3105.274963408","41","41","41","0","0","0"
"3115.270393832","66","66","66","0","0","0"
"3125.26795194","60","60","60","0","0","0"
"3135.268784579","49","49","49","0","0","0"
"3145.266816525","37","37","37","0","0","0"
"3155.27051942","46","46","46","0","0","0"
"3165.268498837","39","39","39","0","0","0"
"3175.267251274","41","41","41","0","0","0"
"3185.265566903","35","35","35","0","0","0"
"3195.275283592","56","56","56","0","0","0"
"3205.266435502","35","35","35","0","0","0"
"3215.268662772","45","45","45","0","0","0"
"3225.268206969","35","35","35","0","0","0"
"3235.273724345","49","49","49","0","0","0"
"3245.268435264","49","49","49","0","0","0"
"3255.271103186","35","35","35","0","0","0"
"3265.267122801","50","50","50","0","0","0"
"3275.265538709","32","32","32","0","0","0"
"3285.266646826","41","41","41","0","0","0"
"3295.267352692","43","43","43","0","0","0"
"3305.264893953","34","34","34","0","0","0"
"3315.268723197","62","62","62","0","0","0"
"3325.266827672","31","31","31","0","0","0"
"3335.276772017","61","61","61","0","0","0"
"3345.268926769","58","58","58","0","0","0"
"3355.268556798","54","54","54","0","0","0"
"3365.26710819","38","38","38","0","0","0"
"3375.267515237","34","34","34","0","0","0"
"3385.267909624","45","45","45","0","0","0"
"3395.265377318","43","43","43","0","0","0"
"3405.274094482","33","33","33","0","0","0"
"3415.272278842","55","55","55","0","0","0"
"3425.26842753","52","52","52","0","0","0"
"3435.270209751","43","43","43","0","0","0"
"3445.270338098","37","37","37","0","0","0"
"3455.2669032","33","33","33","0","0","0"
"3465.273420404","42","42","42","0","0","0"
"3475.269653671","37","37","37","0","0","0"
"3485.269522908","48","48","48","0","0","0"
"3495.26729341","59","59","59","0","0","0"
"3505.267397557","35","35","35","0","0","0"
"3515.267857542","43","43","43","0","0","0"
"3525.27032725","36","36","36","0","0","0"
"3535.268625025","60","60","60","0","0","0"
"3545.265003903","44","44","44","0","0","0"
"3555.26997253","33","33","33","0","0","0"
"3565.273418996","49","49","49","0","0","0"
"3575.268195737","53","53","53","0","0","0"
"3585.26582559","43","43","43","0","0","0"
"3595.268121905","50","50","50","0","0","0"
"3605.267472908","37","37","37","0","0","0"
"3615.273141294","53","53","53","0","0","0"
"3625.266851376","32","32","32","0","0","0"
"3635.26565782","42","42","42","0","0","0"
"3645.267749578","33","33","33","0","0","0"
"3655.272397374","56","56","56","0","0","0"
"3665.269606543","45","45","45","0","0","0"
"3675.270597783","43","43","43","0","0","0"
"3685.267994311","46","46","46","0","0","0"
"3695.268590445","51","51","51","0","0","0"
"3705.266582141","35","35","35","0","0","0"
"3715.268723163","43","43","43","0","0","0"
"3725.269654647","35","35","35","0","0","0"
"3735.269984925","50","50","50","0","0","0"
"3745.265890704","38","38","38","0","0","0"
"3755.267749161","46","46","46","0","0","0"
"3765.266643494","47","47","47","0","0","0"
"3775.265299793","35","35","35","0","0","0"
"3785.268005147","35","35","35","0","0","0"
"3795.267068091","42","42","42","0","0","0"
"3805.267598656","49","49","49","0","0","0"
"3815.267139402","35","35","35","0","0","0"
"3825.267305784","46","46","46","0","0","0"
"3835.265849396","55","55","55","0","0","0"
"3845.271409916","45","45","45","0","0","0"
"3855.267823007","40","40","40","0","0","0"
"3865.270247847","53","53","53","0","0","0"
"3875.266918617","58","58","58","0","0","0"
"3885.272401969","36","36","36","0","0","0"
"3895.27121305","35","35","35","0","0","0"
"3905.267759192","49","49","49","0","0","0"
"3915.272368051","34","34","34","0","0","0"
"3925.266281319","38","38","38","0","0","0"
"3935.268206974","51","51","51","0","0","0"
"3945.267196585","34","34","34","0","0","0"
"3955.265771097","62","62","62","0","0","0"
"3965.268397943","49","49","49","0","0","0"
"3975.267625979","35","35","35","0","0","0"
"3985.271219111","59","59","59","0","0","0"
"3995.266610805","35","35","35","0","0","0"
"4005.273735553","50","50","50","0","0","0"
"4015.266686821","61","61","61","0","0","0"
"4025.267165875","34","34","34","0","0","0"
"4035.276413417","58","58","58","0","0","0"
"4045.267300774","44","44","44","0","0","0"
"4055.264957835","37","37","37","0","0","0"
"4065.267786781","46","46","46","0","0","0"
"4075.275773729","36","36","36","0","0","0"
"4085.267142924","51","51","51","0","0","0"
"4095.266520784","42","42","42","0","0","0"
"4105.275108667","48","48","48","0","0","0"
"4115.276663836","62","62","62","0","0","0"
"4125.265455144","36","36","36","0","0","0"
"4135.26946361","37","37","37","0","0","0"
"4145.276639446","49","49","49","0","0","0"
"4155.267319856","36","36","36","0","0","0"
"4165.274283927","53","53","53","0","0","0"
"4175.26712252","35","35","35","0","0","0"
"4185.266233895","53","53","53","0","0","0"
"4195.26635952","35","35","35","0","0","0"
"4205.269411148","61","61","61","0","0","0"
"4215.26673456","56","56","56","0","0","0"
"4225.26550228","47","47","47","0","0","0"
"4235.267328264","43","43","43","0","0","0"
"4245.266318214","36","36","36","0","0","0"
"4255.266614958","47","47","47","0","0","0"
"4265.265517181","64","64","64","0","0","0"
"4275.272976763","46","46","46","0","0","0"
"4285.273362119","45","45","45","0","0","0"
"4295.265061183","40","40","40","0","0","0"
"4305.267671354","40","40","40","0","0","0"
"4315.265926034","49","49","49","0","0","0"
"4325.267251009","35","35","35","0","0","0"
"4335.269224025","48","48","48","0","0","0"
"4345.26694564","59","59","59","0","0","0"
"4355.270572955","40","40","40","0","0","0"
"4365.266378654","40","40","40","0","0","0"
"4375.265651501","35","35","35","0","0","0"
"4385.268049793","39","39","39","0","0","0"
"4395.268211414","43","43","43","0","0","0"
"4405.267714614","34","34","34","0","0","0"
"4415.271363374","54","54","54","0","0","0"
"4425.268786165","53","53","53","0","0","0"
"4435.267331869","37","37","37","0","0","0"
"4445.26683265","43","43","43","0","0","0"
"4455.26782635","44","44","44","0","0","0"
"4465.267118286","51","51","51","0","0","0"
"4475.268633217","54","54","54","0","0","0"
"4485.26775339","48","48","48","0","0","0"
"4495.266762529","41","41","41","0","0","0"
"4505.274477632","61","61","61","0","0","0"
"4515.274520474","45","45","45","0","0","0"
"4525.266903626","37","37","37","0","0","0"
"4535.265560312","47","47","47","0","0","0"
"4545.273385161","50","50","50","0","0","0"
"4555.26721518","50","50","50","0","0","0"
"4565.265499896","41","41","41","0","0","0"
"4575.269778184","34","34","34","0","0","0"
"4585.266883774","59","59","59","0","0","0"
"4595.265222364","51","51","51","0","0","0"
"4605.269847287","40","40","40","0","0","0"
"4615.267013194","42","42","42","0","0","0"
"4625.267484232","36","36","36","0","0","0"
"4635.267860473","43","43","43","0","0","0"
"4645.267600478","33","33","33","0","0","0"
"4655.271608586","45","45","45","0","0","0"
"4665.268299989","37","37","37","0","0","0"
"4675.26751027","39","39","39","0","0","0"
"4685.266286575","33","33","33","0","0","0"
"4695.269020222","60","60","60","0","0","0"
"4705.26771586","52","52","52","0","0","0"
"4715.266606133","45","45","45","0","0","0"
"4725.265748255","56","56","56","0","0","0"
"4735.270064113","35","35","35","0","0","0"
"4745.267499407","48","48","48","0","0","0"
"4755.266979495","40","40","40","0","0","0"
"4765.267470766","41","41","41","0","0","0"
"4775.266436876","53","53","53","0","0","0"
"4785.267799305","34","34","34","0","0","0"
"4795.265684789","41","41","41","0","0","0"
"4805.265177495","49","49","49","0","0","0"
"4815.266807389","43","43","43","0","0","0"
"4825.270000143","49","49","49","0","0","0"
"4835.265750418","35","35","35","0","0","0"
"4845.274690517","40","40","40","0","0","0"
"4855.269076041","48","48","48","0","0","0"
"4865.276600762","53","53","53","0","0","0"
"4875.266924693","36","36","36","0","0","0"
"4885.268453481","35","35","35","0","0","0"
"4895.268693889","46","46","46","0","0","0"
"4905.275992369","33","33","33","0","0","0"
"4915.268371933","39","39","39","0","0","0"
"4925.267113892","53","53","53","0","0","0"
"4935.27919284","36","36","36","0","0","0"
"4945.266736385","41","41","41","0","0","0"
"4955.264933407","52","52","52","0","0","0"
"4965.267596265","44","44","44","0","0","0"
"4975.267483481","47","47","47","0","0","0"
"4985.266788367","47","47","47","0","0","0"
"4995.267532653","51","51","51","0","0","0"
"5005.265115437","59","59","59","0","0","0"
"5015.27153468","36","36","36","0","0","0"
"5025.272049529","50","50","50","0","0","0"
"5035.268537376","35","35","35","0","0","0"
"5045.26741715","52","52","52","0","0","0"
"5055.267841617","46","46","46","0","0","0"
"5065.26559602","46","46","46","0","0","0"
"5075.267271604","59","59","59","0","0","0"
"5085.269293544","35","35","35","0","0","0"
"5095.267006693","43","43","43","0","0","0"
"5105.267314922","49","49","49","0","0","0"
"5115.266291201","54","54","54","0","0","0"
"5125.265724615","61","61","61","0","0","0"
"5135.266187905","37","37","37","0","0","0"
"5145.267763353","42","42","42","0","0","0"
"5155.273462842","40","40","40","0","0","0"
"5165.276403101","59","59","59","0","0","0"
"5175.271563312","59","59","59","0","0","0"
"5185.267206336","37","37","37","0","0","0"
"5195.265589683","53","53","53","0","0","0"
"5205.267792648","49","49","49","0","0","0"
"5215.270969732","33","33","33","0","0","0"
"5225.268759099","58","58","58","0","0","0"
"5235.265610403","62","62","62","0","0","0"
"5245.271084424","60","60","60","0","0","0"
"5255.269715935","42","42","42","0","0","0"
"5265.27437571","35","35","35","0","0","0"
"5275.268382728","43","43","43","0","0","0"
"5285.267564397","44","44","44","0","0","0"
"5295.276783446","38","38","38","0","0","0"
"5305.269612032","63","63","63","0","0","0"
"5315.274516796","36","36","36","0","0","0"
"5325.284928808","47","47","47","0","0","0"
"5335.265507851","34","34","34","0","0","0"
"5345.267073313","54","54","54","0","0","0"
"5355.266314418","55","55","55","0","0","0"
"5365.267197447","63","63","63","0","0","0"
"5375.266294043","48","48","48","0","0","0"
"5385.266353087","35","35","35","0","0","0"
"5395.267773171","54","54","54","0","0","0"
"5405.265548585","59","59","59","0","0","0"
"5415.268658984","35","35","35","0","0","0"
"5425.26856957","40","40","40","0","0","0"
"5435.265833728","44","44","44","0","0","0"
"5445.266763277","35","35","35","0","0","0"
"5455.267821483","45","45","45","0","0","0"
"5465.265281319","50","50","50","0","0","0"
"5475.269933096","47","47","47","0","0","0"
"5485.275016494","37","37","37","0","0","0"
"5495.275487052","42","42","42","0","0","0"
"5505.275937652","57","57","57","0","0","0"
"5515.27613732","35","35","35","0","0","0"
"5525.268709063","37","37","37","0","0","0"
"5535.265588392","48","48","48","0","0","0"
"5545.266375728","36","36","36","0","0","0"
"5555.274225934","42","42","42","0","0","0"
"5565.266261212","51","51","51","0","0","0"
"5575.268900167","36","36","36","0","0","0"
"5585.264945965","38","38","38","0","0","0"
"5595.265300676","46","46","46","0","0","0"
"5605.267850455","49","49","49","0","0","0"
"5615.267553434","46","46","46","0","0","0"
"5625.270299357","51","51","51","0","0","0"
"5635.267216317","47","47","47","0","0","0"
"5645.267517139","60","60","60","0","0","0"
"5655.268127221","33","33","33","0","0","0"
"5665.274790712","47","47","47","0","0","0"
"5675.26996395","34","34","34","0","0","0"
"5685.26583713","60","60","60","0","0","0"
"5695.268494597","33","33","33","0","0","0"
"5705.26754324","57","57","57","0","0","0"
"5715.266630139","47","47","47","0","0","0"
"5725.266980088","35","35","35","0","0","0"
"5735.267281439","42","42","42","0","0","0"
"5745.266848198","40","40","40","0","0","0"
"5755.269077492","45","45","45","0","0","0"
"5765.266697905","49","49","49","0","0","0"
"5775.267668704","47","47","47","0","0","0"
"5785.268586364","46","46","46","0","0","0"
"5795.274239431","36","36","36","0","0","0"
"5805.272994608","49","49","49","0","0","0"
"5815.268130037","47","47","47","0","0","0"
"5825.267222938","34","34","34","0","0","0"
"5835.266150224","59","59","59","0","0","0"
"5845.266233999","35","35","35","0","0","0"
"5855.26735575","52","52","52","0","0","0"
"5865.265848487","34","34","34","0","0","0"
"5875.268683511","52","52","52","0","0","0"
"5885.266616603","57","57","57","0","0","0"
"5895.26607862","35","35","35","0","0","0"
"5905.266242639","43","43","43","0","0","0"
"5915.267273191","42","42","42","0","0","0"
"5925.268047209","53","53","53","0","0","0"
"5935.273666155","53","53","53","0","0","0"
"5945.274342229","34","34","34","0","0","0"
"5955.268847884","36","36","36","0","0","0"
"5965.271374737","33","33","33","0","0","0"
"5975.271199327","46","46","46","0","0","0"
"5985.267929389","47","47","47","0","0","0"
"5995.265582978","47","47","47","0","0","0"
"6005.265023539","35","35","35","0","0","0"
"6015.271016868","41","41","41","0","0","0"
"6025.275186198","51","51","51","0","0","0"
"6035.267221564","34","34","34","0","0","0"
"6045.276702736","37","37","37","0","0","0"
"6055.275606555","31","31","31","0","0","0"
"6065.265721934","38","38","38","0","0","0"
"6075.267693803","38","38","38","0","0","0"
"6085.271742501","35","35","35","0","0","0"
"6095.275981395","47","47","47","0","0","0"
"6105.274769634","52","52","52","0","0","0"
"6115.267056885","57","57","57","0","0","0"
"6125.268451437","35","35","35","0","0","0"
"6135.268369822","39","39","39","0","0","0"
"6145.267553346","51","51","51","0","0","0"
"6155.269519362","34","34","34","0","0","0"
"6165.277378796","48","48","48","0","0","0"
"6175.26903679","50","50","50","0","0","0"
"6185.265467123","34","34","34","0","0","0"
"6195.274305167","42","42","42","0","0","0"
"6205.268079926","38","38","38","0","0","0"
"6215.268737001","60","60","60","0","0","0"
"6225.2660367","52","52","52","0","0","0"
"6235.268565539","35","35","35","0","0","0"
"6245.26642663","39","39","39","0","0","0"
"6255.267623485","49","49","49","0","0","0"
"6265.267818046","38","38","38","0","0","0"
"6275.26917742","41","41","41","0","0","0"
"6285.267225709","33","33","33","0","0","0"
"6295.272194858","43","43","43","0","0","0"
"6305.268300583","56","56","56","0","0","0"
"6315.268093415","48","48","48","0","0","0"
"6325.270108898","49","49","49","0","0","0"
"6335.265033828","35","35","35","0","0","0"
"6345.268498901","56","56","56","0","0","0"
"6355.266392848","47","47","47","0","0","0"
"6365.268633069","35","35","35","0","0","0"
"6375.267425707","48","48","48","0","0","0"
"6385.271801035","33","33","33","0","0","0"
"6395.271626093","38","38","38","0","0","0"
"6405.265698111","48","48","48","0","0","0"
"6415.27540635","49","49","49","0","0","0"
"6425.269061306","51","51","51","0","0","0"
"6435.267782121","36","36","36","0","0","0"
"6445.270612672","59","59","59","0","0","0"
"6455.267347696","35","35","35","0","0","0"
"6465.275207677","34","34","34","0","0","0"
"6475.274585848","61","61","61","0","0","0"
"6485.278296682","51","51","51","0","0","0"
"6495.269740958","36","36","36","0","0","0"
"6505.276111694","51","51","51","0","0","0"
"6515.268265732","40","40","40","0","0","0"
"6525.274278702","65","65","65","0","0","0"
"6535.270680161","44","44","44","0","0","0"
"6545.273087391","35","35","35","0","0","0"
"6555.277248723","40","40","40","0","0","0"
"6565.26728664","34","34","34","0","0","0"
"6575.268910592","52","52","52","0","0","0"
"6585.27318068","62","62","62","0","0","0"
"6595.266668499","56","56","56","0","0","0"
"6605.268957463","55","55","55","0","0","0"
"6615.266056867","35","35","35","0","0","0"
"6625.266957279","51","51","51","0","0","0"
"6635.265473202","34","34","34","0","0","0"
"6645.275069982","55","55","55","0","0","0"
"6655.266185363","52","52","52","0","0","0"
"6665.272476164","49","49","49","0","0","0"
"6675.27379124","60","60","60","0","0","0"
"6685.265847748","34","34","34","0","0","0"
"6695.267210123","47","47","47","0","0","0"
"6705.266051453","33","33","33","0","0","0"
"6715.266638701","45","45","45","0","0","0"
"6725.26536817","44","44","44","0","0","0"
"6735.266781159","47","47","47","0","0","0"
"6745.265794792","33","33","33","0","0","0"
"6755.265247524","47","47","47","0","0","0"
"6765.27254652","48","48","48","0","0","0"
"6775.274140466","38","38","38","0","0","0"
"6785.276503779","44","44","44","0","0","0"
"6795.267739525","34","34","34","0","0","0"
"6805.268997297","61","61","61","0","0","0"
"6815.266827316","69","69","69","0","0","0"
"6825.27073043","37","37","37","0","0","0"
"6835.266803449","41","41","41","0","0","0"
"6845.26717991","34","34","34","0","0","0"
"6855.265820758","59","59","59","0","0","0"
"6865.26973258","49","49","49","0","0","0"
"6875.271815064","49","49","49","0","0","0"
"6885.270234538","47","47","47","0","0","0"
"6895.271394991","46","46","46","0","0","0"
"6905.276211751","34","34","34","0","0","0"
"6915.271879911","45","45","45","0","0","0"
"6925.265851547","62","62","62","0","0","0"
"6935.270209841","55","55","55","0","0","0"
"6945.266836505","55","55","55","0","0","0"
"6955.281024488","36","36","36","0","0","0"
"6965.267114641","50","50","50","0","0","0"
"6975.269447562","34","34","34","0","0","0"
"6985.266076322","48","48","48","0","0","0"
"6995.268032843","48","48","48","0","0","0"
"7005.269211666","38","38","38","0","0","0"
"7015.275973268","45","45","45","0","0","0"
"7025.266663436","47","47","47","0","0","0"
"7035.275966887","39","39","39","0","0","0"
"7045.266856179","39","39","39","0","0","0"
"7055.273738355","42","42","42","0","0","0"
"7065.27536408","35","35","35","0","0","0"
"7075.270250738","35","35","35","0","0","0"
"7085.268842805","51","51","51","0","0","0"
"7095.27530527","40","40","40","0","0","0"
"7105.26739402","49","49","49","0","0","0"
"7115.269227128","42","42","42","0","0","0"
"7125.268434927","36","36","36","0","0","0"
"7135.267049822","46","46","46","0","0","0"
"7145.268309409","67","67","67","0","0","0"
"7155.271621196","49","49","49","0","0","0"
"7165.276411092","43","43","43","0","0","0"
"7175.27169243","58","58","58","0","0","0"
"7185.269609123","47","47","47","0","0","0"
"7195.267688967","62","62","62","0","0","0"
"7205.273443367","50","50","50","0","0","0"
"7215.268201523","36","36","36","0","0","0"
"7225.274729161","40","40","40","0","0","0"
"7235.267122906","49","49","49","0","0","0"
"7245.268250767","35","35","35","0","0","0"
"7255.266945083","54","54","54","0","0","0"
"7265.268025972","39","39","39","0","0","0"
