"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB__MIN","StudyAbroadGPT-7B-continued - system/proc.memory.rssMB__MAX"
"2555.255791423","5433.7109375","5433.7109375","5433.7109375"
"2565.256705576","5433.7109375","5433.7109375","5433.7109375"
"2575.255534169","5433.7109375","5433.7109375","5433.7109375"
"2585.256551037","5433.7109375","5433.7109375","5433.7109375"
"2595.25651133","5433.7109375","5433.7109375","5433.7109375"
"2605.255862768","5433.7109375","5433.7109375","5433.7109375"
"2615.256617489","5433.7109375","5433.7109375","5433.7109375"
"2625.255739352","5433.7109375","5433.7109375","5433.7109375"
"2635.2566281","5433.7109375","5433.7109375","5433.7109375"
"2645.256504193","5433.7109375","5433.7109375","5433.7109375"
"2655.25612636","5433.7109375","5433.7109375","5433.7109375"
"2665.255609133","5433.7109375","5433.7109375","5433.7109375"
"2675.256252061","5433.7109375","5433.7109375","5433.7109375"
"2685.255789372","5433.7109375","5433.7109375","5433.7109375"
"2695.256365178","5433.7109375","5433.7109375","5433.7109375"
"2705.256360449","5433.7109375","5433.7109375","5433.7109375"
"2715.256932314","5433.7109375","5433.7109375","5433.7109375"
"2725.256150099","5433.7109375","5433.7109375","5433.7109375"
"2735.256097483","5433.7109375","5433.7109375","5433.7109375"
"2745.256542363","5433.8359375","5433.8359375","5433.8359375"
"2755.256152686","5433.8359375","5433.8359375","5433.8359375"
"2765.255517206","5433.8359375","5433.8359375","5433.8359375"
"2775.256602304","5433.8359375","5433.8359375","5433.8359375"
"2785.256359489","5433.8359375","5433.8359375","5433.8359375"
"2795.25622564","5433.8359375","5433.8359375","5433.8359375"
"2805.256417276","5433.8359375","5433.8359375","5433.8359375"
"2815.255980518","5433.8359375","5433.8359375","5433.8359375"
"2825.255820788","5433.8359375","5433.8359375","5433.8359375"
"2835.256286874","5433.8359375","5433.8359375","5433.8359375"
"2845.256003017","5433.8359375","5433.8359375","5433.8359375"
"2855.255618524","5433.8359375","5433.8359375","5433.8359375"
"2865.255679531","5433.8359375","5433.8359375","5433.8359375"
"2875.256242404","5433.8359375","5433.8359375","5433.8359375"
"2885.25614163","5433.9609375","5433.9609375","5433.9609375"
"2895.256139401","5433.9609375","5433.9609375","5433.9609375"
"2905.2564629","5433.9609375","5433.9609375","5433.9609375"
"2915.255829944","5433.9609375","5433.9609375","5433.9609375"
"2925.25619512","5433.9609375","5433.9609375","5433.9609375"
"2935.256227646","5433.9609375","5433.9609375","5433.9609375"
"2945.255920368","5433.9609375","5433.9609375","5433.9609375"
"2955.256371825","5433.9609375","5433.9609375","5433.9609375"
"2965.255562409","5433.9609375","5433.9609375","5433.9609375"
"2975.256267888","5433.9609375","5433.9609375","5433.9609375"
"2985.255771476","5433.9609375","5433.9609375","5433.9609375"
"2995.25711359","5433.9609375","5433.9609375","5433.9609375"
"3005.256517857","5433.9609375","5433.9609375","5433.9609375"
"3015.255546606","5433.9609375","5433.9609375","5433.9609375"
"3025.255731294","5434.0859375","5434.0859375","5434.0859375"
"3035.255651678","5434.0859375","5434.0859375","5434.0859375"
"3045.256121133","5434.0859375","5434.0859375","5434.0859375"
"3055.256160915","5434.0859375","5434.0859375","5434.0859375"
"3065.256388456","5434.0859375","5434.0859375","5434.0859375"
"3075.256408996","5434.0859375","5434.0859375","5434.0859375"
"3085.25657586","5434.0859375","5434.0859375","5434.0859375"
"3095.256437821","5434.0859375","5434.0859375","5434.0859375"
"3105.256311665","5434.0859375","5434.0859375","5434.0859375"
"3115.256240938","5434.0859375","5434.0859375","5434.0859375"
"3125.25605234","5434.0859375","5434.0859375","5434.0859375"
"3135.255895924","5434.0859375","5434.0859375","5434.0859375"
"3145.255965999","5434.2109375","5434.2109375","5434.2109375"
"3155.256616235","5434.2109375","5434.2109375","5434.2109375"
"3165.256480356","5434.2109375","5434.2109375","5434.2109375"
"3175.256302266","5434.2109375","5434.2109375","5434.2109375"
"3185.255776854","5434.2109375","5434.2109375","5434.2109375"
"3195.256916746","5434.2109375","5434.2109375","5434.2109375"
"3205.256262027","5434.2109375","5434.2109375","5434.2109375"
"3215.255774388","5434.2109375","5434.2109375","5434.2109375"
"3225.256444128","5434.2109375","5434.2109375","5434.2109375"
"3235.256034645","5434.2109375","5434.2109375","5434.2109375"
"3245.256283682","5434.2109375","5434.2109375","5434.2109375"
"3255.255651717","5434.2109375","5434.2109375","5434.2109375"
"3265.256554832","5434.2109375","5434.2109375","5434.2109375"
"3275.256117881","5434.2109375","5434.2109375","5434.2109375"
"3285.255786304","5434.2109375","5434.2109375","5434.2109375"
"3295.256112447","5434.3359375","5434.3359375","5434.3359375"
"3305.255607641","5434.3359375","5434.3359375","5434.3359375"
"3315.255547822","5434.3359375","5434.3359375","5434.3359375"
"3325.256048289","5434.3359375","5434.3359375","5434.3359375"
"3335.255782847","5434.3359375","5434.3359375","5434.3359375"
"3345.255902802","5434.3359375","5434.3359375","5434.3359375"
"3355.25658127","5434.3359375","5434.3359375","5434.3359375"
"3365.256185326","5434.3359375","5434.3359375","5434.3359375"
"3375.256069118","5434.3359375","5434.3359375","5434.3359375"
"3385.255658551","5434.3359375","5434.3359375","5434.3359375"
"3395.256394155","5434.3359375","5434.3359375","5434.3359375"
"3405.256500335","5434.3359375","5434.3359375","5434.3359375"
"3415.256207998","5434.3359375","5434.3359375","5434.3359375"
"3425.25575511","5434.3359375","5434.3359375","5434.3359375"
"3435.255724137","5434.3359375","5434.3359375","5434.3359375"
"3445.256943904","5434.3359375","5434.3359375","5434.3359375"
"3455.256128987","5434.3359375","5434.3359375","5434.3359375"
"3465.256058027","5434.3359375","5434.3359375","5434.3359375"
"3475.255730323","5434.3359375","5434.3359375","5434.3359375"
"3485.256247803","5434.3359375","5434.3359375","5434.3359375"
"3495.256409241","5434.3359375","5434.3359375","5434.3359375"
"3505.256323591","5434.3359375","5434.3359375","5434.3359375"
"3515.256136196","5434.3359375","5434.3359375","5434.3359375"
"3525.256099347","5434.3359375","5434.3359375","5434.3359375"
"3535.255619583","5434.3359375","5434.3359375","5434.3359375"
"3545.255823034","5434.3359375","5434.3359375","5434.3359375"
"3555.255913944","5434.3359375","5434.3359375","5434.3359375"
"3565.256339854","5434.3359375","5434.3359375","5434.3359375"
"3575.256022172","5434.3359375","5434.3359375","5434.3359375"
"3585.256053397","5434.3359375","5434.3359375","5434.3359375"
"3595.256633864","5434.3359375","5434.3359375","5434.3359375"
"3605.256748433","5434.3359375","5434.3359375","5434.3359375"
"3615.256604285","5434.3359375","5434.3359375","5434.3359375"
"3625.256539799","5434.3359375","5434.3359375","5434.3359375"
"3635.255993885","5434.3359375","5434.3359375","5434.3359375"
"3645.25630912","5434.3359375","5434.3359375","5434.3359375"
"3655.256031865","5434.3359375","5434.3359375","5434.3359375"
"3665.256063747","5434.3359375","5434.3359375","5434.3359375"
"3675.257133639","5434.3359375","5434.3359375","5434.3359375"
"3685.256630336","5434.3359375","5434.3359375","5434.3359375"
"3695.256903426","5434.3359375","5434.3359375","5434.3359375"
"3705.257370532","5434.3359375","5434.3359375","5434.3359375"
"3715.256110736","5434.3359375","5434.3359375","5434.3359375"
"3725.256585519","5434.3359375","5434.3359375","5434.3359375"
"3735.256143031","5434.3359375","5434.3359375","5434.3359375"
"3745.256462501","5434.3359375","5434.3359375","5434.3359375"
"3755.25562628","5434.3359375","5434.3359375","5434.3359375"
"3765.256239641","5434.3359375","5434.3359375","5434.3359375"
"3775.256082613","5434.3359375","5434.3359375","5434.3359375"
"3785.25611847","5434.3359375","5434.3359375","5434.3359375"
"3795.255772158","5434.3359375","5434.3359375","5434.3359375"
"3805.256091593","5434.3359375","5434.3359375","5434.3359375"
"3815.255794464","5434.3359375","5434.3359375","5434.3359375"
"3825.256863297","5434.3359375","5434.3359375","5434.3359375"
"3835.256157589","5434.3359375","5434.3359375","5434.3359375"
"3845.256070893","5434.3359375","5434.3359375","5434.3359375"
"3855.255809693","5434.3359375","5434.3359375","5434.3359375"
"3865.25640939","5434.3359375","5434.3359375","5434.3359375"
"3875.256022476","5434.3359375","5434.3359375","5434.3359375"
"3885.256938187","5434.3359375","5434.3359375","5434.3359375"
"3895.256397697","5434.3359375","5434.3359375","5434.3359375"
"3905.256422404","5434.3359375","5434.3359375","5434.3359375"
"3915.256349052","5434.3359375","5434.3359375","5434.3359375"
"3925.256605353","5434.3359375","5434.3359375","5434.3359375"
"3935.255826127","5434.3359375","5434.3359375","5434.3359375"
"3945.255986853","5434.3359375","5434.3359375","5434.3359375"
"3955.256526431","5434.3359375","5434.3359375","5434.3359375"
"3965.255859001","5434.3359375","5434.3359375","5434.3359375"
"3975.255894148","5434.3359375","5434.3359375","5434.3359375"
"3985.255764633","5434.3359375","5434.3359375","5434.3359375"
"3995.255674486","5434.3359375","5434.3359375","5434.3359375"
"4005.256810335","5434.3359375","5434.3359375","5434.3359375"
"4015.255718565","5434.3359375","5434.3359375","5434.3359375"
"4025.255909959","5434.3359375","5434.3359375","5434.3359375"
"4035.256104659","5434.3359375","5434.3359375","5434.3359375"
"4045.256434862","5434.3359375","5434.3359375","5434.3359375"
"4055.255544701","5434.3359375","5434.3359375","5434.3359375"
"4065.256997358","5434.3359375","5434.3359375","5434.3359375"
"4075.256384748","5434.3359375","5434.3359375","5434.3359375"
"4085.255724604","5434.3359375","5434.3359375","5434.3359375"
"4095.256890387","5434.3359375","5434.3359375","5434.3359375"
"4105.256565152","5434.3359375","5434.3359375","5434.3359375"
"4115.255722644","5434.3359375","5434.3359375","5434.3359375"
"4125.255915812","5434.3359375","5434.3359375","5434.3359375"
"4135.256656125","5434.3359375","5434.3359375","5434.3359375"
"4145.255842764","5434.3359375","5434.3359375","5434.3359375"
"4155.255812225","5434.3359375","5434.3359375","5434.3359375"
"4165.256461027","5434.3359375","5434.3359375","5434.3359375"
"4175.256507975","5434.3359375","5434.3359375","5434.3359375"
"4185.256182737","5434.3359375","5434.3359375","5434.3359375"
"4195.256367685","5434.3359375","5434.3359375","5434.3359375"
"4205.256422601","5434.3359375","5434.3359375","5434.3359375"
"4215.256091543","5434.3359375","5434.3359375","5434.3359375"
"4225.256221631","5434.3359375","5434.3359375","5434.3359375"
"4235.25580402","5434.3359375","5434.3359375","5434.3359375"
"4245.256494653","5434.3359375","5434.3359375","5434.3359375"
"4255.256232772","5434.3359375","5434.3359375","5434.3359375"
"4265.256112837","5434.3359375","5434.3359375","5434.3359375"
"4275.256118395","5434.3359375","5434.3359375","5434.3359375"
"4285.255611854","5434.3359375","5434.3359375","5434.3359375"
"4295.255796598","5434.3359375","5434.3359375","5434.3359375"
"4305.256293724","5434.3359375","5434.3359375","5434.3359375"
"4315.256992289","5434.3359375","5434.3359375","5434.3359375"
"4325.256137221","5434.3359375","5434.3359375","5434.3359375"
"4335.256078848","5434.3359375","5434.3359375","5434.3359375"
"4345.256176408","5434.3359375","5434.3359375","5434.3359375"
"4355.255570483","5434.3359375","5434.3359375","5434.3359375"
"4365.256373454","5434.3359375","5434.3359375","5434.3359375"
"4375.255515349","5434.3359375","5434.3359375","5434.3359375"
"4385.256990917","5434.3359375","5434.3359375","5434.3359375"
"4395.256555168","5434.3359375","5434.3359375","5434.3359375"
"4405.256228654","5434.3359375","5434.3359375","5434.3359375"
"4415.256351828","5434.3359375","5434.3359375","5434.3359375"
"4425.256714714","5434.3359375","5434.3359375","5434.3359375"
"4435.256389154","5434.3359375","5434.3359375","5434.3359375"
"4445.255895586","5434.3359375","5434.3359375","5434.3359375"
"4455.256567262","5434.3359375","5434.3359375","5434.3359375"
"4465.256368788","5434.3359375","5434.3359375","5434.3359375"
"4475.256128511","5434.3359375","5434.3359375","5434.3359375"
"4485.256536552","5434.3359375","5434.3359375","5434.3359375"
"4495.256079347","5434.3359375","5434.3359375","5434.3359375"
"4505.255565227","5434.3359375","5434.3359375","5434.3359375"
"4515.255812509","5434.3359375","5434.3359375","5434.3359375"
"4525.256096591","5434.3359375","5434.3359375","5434.3359375"
"4535.256609332","5434.3359375","5434.3359375","5434.3359375"
"4545.256633569","5434.3359375","5434.3359375","5434.3359375"
"4555.255780961","5434.3359375","5434.3359375","5434.3359375"
"4565.256554937","5434.3359375","5434.3359375","5434.3359375"
"4575.256361117","5434.3359375","5434.3359375","5434.3359375"
"4585.255569128","5434.3359375","5434.3359375","5434.3359375"
"4595.255808173","5434.3359375","5434.3359375","5434.3359375"
"4605.256911756","5434.3359375","5434.3359375","5434.3359375"
"4615.255757951","5434.3359375","5434.3359375","5434.3359375"
"4625.255976564","5434.3359375","5434.3359375","5434.3359375"
"4635.256864156","5434.3359375","5434.3359375","5434.3359375"
"4645.256239186","5434.3359375","5434.3359375","5434.3359375"
"4655.256323079","5434.3359375","5434.3359375","5434.3359375"
"4665.255821264","5434.3359375","5434.3359375","5434.3359375"
"4675.256386392","5434.3359375","5434.3359375","5434.3359375"
"4685.256252646","5434.3359375","5434.3359375","5434.3359375"
"4695.256211955","5434.3359375","5434.3359375","5434.3359375"
"4705.256590863","5434.3359375","5434.3359375","5434.3359375"
"4715.256508693","5434.3359375","5434.3359375","5434.3359375"
"4725.256503366","5434.3359375","5434.3359375","5434.3359375"
"4735.255729895","5434.3359375","5434.3359375","5434.3359375"
"4745.256442415","5434.3359375","5434.3359375","5434.3359375"
"4755.256450292","5434.3359375","5434.3359375","5434.3359375"
"4765.256496938","5434.3359375","5434.3359375","5434.3359375"
"4775.255539292","5434.3359375","5434.3359375","5434.3359375"
"4785.256543791","5434.3359375","5434.3359375","5434.3359375"
"4795.256225078","5434.3359375","5434.3359375","5434.3359375"
"4805.255523381","5434.3359375","5434.3359375","5434.3359375"
"4815.256462666","5434.3359375","5434.3359375","5434.3359375"
"4825.256264461","5434.3359375","5434.3359375","5434.3359375"
"4835.255606811","5434.3359375","5434.3359375","5434.3359375"
"4845.256225927","5434.3359375","5434.3359375","5434.3359375"
"4855.256813066","5434.3359375","5434.3359375","5434.3359375"
"4865.25606095","5434.3359375","5434.3359375","5434.3359375"
"4875.255546647","5434.3359375","5434.3359375","5434.3359375"
"4885.2564611","5434.3359375","5434.3359375","5434.3359375"
"4895.256459583","5434.3359375","5434.3359375","5434.3359375"
"4905.255781128","5434.3359375","5434.3359375","5434.3359375"
"4915.255902116","5434.3359375","5434.3359375","5434.3359375"
"4925.256383542","5434.3359375","5434.3359375","5434.3359375"
"4935.256925236","5434.3359375","5434.3359375","5434.3359375"
"4945.255808448","5434.3359375","5434.3359375","5434.3359375"
"4955.255731667","5434.3359375","5434.3359375","5434.3359375"
"4965.256076835","5434.3359375","5434.3359375","5434.3359375"
"4975.255749869","5434.3359375","5434.3359375","5434.3359375"
"4985.255743084","5434.3359375","5434.3359375","5434.3359375"
"4995.256272153","5434.3359375","5434.3359375","5434.3359375"
"5005.256428629","5434.3359375","5434.3359375","5434.3359375"
"5015.255611522","5434.3359375","5434.3359375","5434.3359375"
"5025.255905389","5434.3359375","5434.3359375","5434.3359375"
"5035.256031197","5434.3359375","5434.3359375","5434.3359375"
"5045.256437607","5434.3359375","5434.3359375","5434.3359375"
"5055.256826988","5434.3359375","5434.3359375","5434.3359375"
"5065.256163297","5434.3359375","5434.3359375","5434.3359375"
"5075.256487685","5434.3359375","5434.3359375","5434.3359375"
"5085.256740523","5434.3359375","5434.3359375","5434.3359375"
"5095.25604881","5434.3359375","5434.3359375","5434.3359375"
"5105.256492428","5434.3359375","5434.3359375","5434.3359375"
"5115.255523511","5434.3359375","5434.3359375","5434.3359375"
"5125.256314229","5434.3359375","5434.3359375","5434.3359375"
"5135.255708066","5434.3359375","5434.3359375","5434.3359375"
"5145.255643322","5434.3359375","5434.3359375","5434.3359375"
"5155.25578883","5434.3359375","5434.3359375","5434.3359375"
"5165.256176237","5434.3359375","5434.3359375","5434.3359375"
"5175.256924024","5434.3359375","5434.3359375","5434.3359375"
"5185.256156661","5434.3359375","5434.3359375","5434.3359375"
"5195.255591344","5434.3359375","5434.3359375","5434.3359375"
"5205.256638916","5434.3359375","5434.3359375","5434.3359375"
"5215.255811059","5434.3359375","5434.3359375","5434.3359375"
"5225.255756272","5434.3359375","5434.3359375","5434.3359375"
"5235.255516713","5434.3359375","5434.3359375","5434.3359375"
"5245.256243363","5434.3359375","5434.3359375","5434.3359375"
"5255.256024787","5434.3359375","5434.3359375","5434.3359375"
"5265.256641471","5434.3359375","5434.3359375","5434.3359375"
"5275.25608292","5434.3359375","5434.3359375","5434.3359375"
"5285.256022492","5434.3359375","5434.3359375","5434.3359375"
"5295.256317077","5434.3359375","5434.3359375","5434.3359375"
"5305.256539825","5434.3359375","5434.3359375","5434.3359375"
"5315.255715","5434.3359375","5434.3359375","5434.3359375"
"5325.257050338","5434.3359375","5434.3359375","5434.3359375"
"5335.256167389","5434.3359375","5434.3359375","5434.3359375"
"5345.256052594","5434.3359375","5434.3359375","5434.3359375"
"5355.256343834","5434.3359375","5434.3359375","5434.3359375"
"5365.256293506","5434.3359375","5434.3359375","5434.3359375"
"5375.255827203","5434.3359375","5434.3359375","5434.3359375"
