"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.powerWatts__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.powerWatts__MAX"
"1245.274446643","66.757","66.757","66.757","26.556","26.556","26.556"
"1255.275641964","68.263","68.263","68.263","26.556","26.556","26.556"
"1265.265354113","68.374","68.374","68.374","26.457","26.457","26.457"
"1275.270426836","50.738","50.738","50.738","26.457","26.457","26.457"
"1285.265503381","68.026","68.026","68.026","26.359","26.359","26.359"
"1295.268258961","66.952","66.952","66.952","26.457","26.457","26.457"
"1305.271934497","58.079","58.079","58.079","26.359","26.359","26.359"
"1315.265738672","66.854","66.854","66.854","26.359","26.359","26.359"
"1325.272673178","66.854","66.854","66.854","26.26","26.26","26.26"
"1335.275614913","68.416","68.416","68.416","26.26","26.26","26.26"
"1345.267954801","69.642","69.642","69.642","26.26","26.26","26.26"
"1355.265229372","65.878","65.878","65.878","26.359","26.359","26.359"
"1365.268519901","66.464","66.464","66.464","26.359","26.359","26.359"
"1375.267413549","66.659","66.659","66.659","26.359","26.359","26.359"
"1385.272998202","67.44","67.44","67.44","26.359","26.359","26.359"
"1395.268350244","67.635","67.635","67.635","26.359","26.359","26.359"
"1405.268613342","73.4","73.4","73.4","26.26","26.26","26.26"
"1415.267982808","74.226","74.226","74.226","26.26","26.26","26.26"
"1425.267386786","63.966","63.966","63.966","26.275","26.275","26.275"
"1435.26550606","71.105","71.105","71.105","26.373","26.373","26.373"
"1445.277250061","66.757","66.757","66.757","26.373","26.373","26.373"
"1455.266123245","62.735","62.735","62.735","26.275","26.275","26.275"
"1465.267954251","52.502","52.502","52.502","26.275","26.275","26.275"
"1475.271793395","72.133","72.133","72.133","26.275","26.275","26.275"
"1485.278676568","57.821","57.821","57.821","26.275","26.275","26.275"
"1495.266083721","70.129","70.129","70.129","26.275","26.275","26.275"
"1505.269389895","56.093","56.093","56.093","26.275","26.275","26.275"
"1515.26953179","68.221","68.221","68.221","26.275","26.275","26.275"
"1525.266012213","71.397","71.397","71.397","26.176","26.176","26.176"
"1535.266745837","69.49","69.49","69.49","26.176","26.176","26.176"
"1545.275819445","70.856","70.856","70.856","26.275","26.275","26.275"
"1555.271631822","68.026","68.026","68.026","26.275","26.275","26.275"
"1565.266599464","67.635","67.635","67.635","26.275","26.275","26.275"
"1575.265281584","52.306","52.306","52.306","26.176","26.176","26.176"
"1585.269237838","64.942","64.942","64.942","26.275","26.275","26.275"
"1595.26853866","67.05","67.05","67.05","26.176","26.176","26.176"
"1605.267992268","72.568","72.568","72.568","26.275","26.275","26.275"
"1615.267880841","53.188","53.188","53.188","26.176","26.176","26.176"
"1625.271129483","68.318","68.318","68.318","26.275","26.275","26.275"
"1635.276349915","61.893","61.893","61.893","26.275","26.275","26.275"
"1645.270105984","63.028","63.028","63.028","26.275","26.275","26.275"
"1655.265537282","69.197","69.197","69.197","26.275","26.275","26.275"
"1665.27384965","56.681","56.681","56.681","26.176","26.176","26.176"
"1675.26928571","61.795","61.795","61.795","26.176","26.176","26.176"
"1685.277326669","66.31","66.31","66.31","26.275","26.275","26.275"
"1695.268443525","66.448","66.448","66.448","26.176","26.176","26.176"
"1705.267053081","67.775","67.775","67.775","26.176","26.176","26.176"
"1715.269343698","69.934","69.934","69.934","26.275","26.275","26.275"
"1725.273265352","67.384","67.384","67.384","26.176","26.176","26.176"
"1735.268585195","65.821","65.821","65.821","26.176","26.176","26.176"
"1745.267097476","53.286","53.286","53.286","26.176","26.176","26.176"
"1755.265345918","65.528","65.528","65.528","26.176","26.176","26.176"
"1765.269911679","63.614","63.614","63.614","26.275","26.275","26.275"
"1775.266144078","67.091","67.091","67.091","26.176","26.176","26.176"
"1785.266635934","66.212","66.212","66.212","26.176","26.176","26.176"
"1795.267275418","64.2","64.2","64.2","26.176","26.176","26.176"
"1805.267045778","66.993","66.993","66.993","26.176","26.176","26.176"
"1815.26689334","68.514","68.514","68.514","26.176","26.176","26.176"
"1825.26683354","68.416","68.416","68.416","26.176","26.176","26.176"
"1835.271801952","68.514","68.514","68.514","26.176","26.176","26.176"
"1845.269770361","69.099","69.099","69.099","26.176","26.176","26.176"
"1855.27610869","71.788","71.788","71.788","26.275","26.275","26.275"
"1865.278790661","74.375","74.375","74.375","26.176","26.176","26.176"
"1875.266656143","67.872","67.872","67.872","26.176","26.176","26.176"
"1885.276794145","63.516","63.516","63.516","26.176","26.176","26.176"
"1895.271543898","70.661","70.661","70.661","26.176","26.176","26.176"
"1905.269028552","67.97","67.97","67.97","26.176","26.176","26.176"
"1915.270332614","74.667","74.667","74.667","26.275","26.275","26.275"
"1925.265761443","64.982","64.982","64.982","26.176","26.176","26.176"
"1935.272480052","69.294","69.294","69.294","26.176","26.176","26.176"
"1945.266799366","72.665","72.665","72.665","26.176","26.176","26.176"
"1955.271863979","80.61","80.61","80.61","26.176","26.176","26.176"
"1965.267282401","62.441","62.441","62.441","26.176","26.176","26.176"
"1975.267491962","72.125","72.125","72.125","26.176","26.176","26.176"
"1985.265093311","67.482","67.482","67.482","26.176","26.176","26.176"
"1995.268007845","67.286","67.286","67.286","26.176","26.176","26.176"
"2005.266706374","71.69","71.69","71.69","26.176","26.176","26.176"
"2015.266817986","49.818","49.818","49.818","26.19","26.19","26.19"
"2025.266251374","67.872","67.872","67.872","26.176","26.176","26.176"
"2035.265732348","67.97","67.97","67.97","26.176","26.176","26.176"
"2045.267223778","67.97","67.97","67.97","26.176","26.176","26.176"
"2055.274725907","61.599","61.599","61.599","26.176","26.176","26.176"
"2065.27115954","68.556","68.556","68.556","26.176","26.176","26.176"
"2075.26774375","68.611","68.611","68.611","26.176","26.176","26.176"
"2085.265976736","67.872","67.872","67.872","26.176","26.176","26.176"
"2095.270005366","73.198","73.198","73.198","26.176","26.176","26.176"
"2105.276182641","73.595","73.595","73.595","26.176","26.176","26.176"
"2115.268211421","67.733","67.733","67.733","26.176","26.176","26.176"
"2125.267017844","73.348","73.348","73.348","26.275","26.275","26.275"
"2135.266607762","65.275","65.275","65.275","26.176","26.176","26.176"
"2145.267921145","67.635","67.635","67.635","26.176","26.176","26.176"
"2155.269618332","66.212","66.212","66.212","26.176","26.176","26.176"
"2165.267561466","66.407","66.407","66.407","26.176","26.176","26.176"
"2175.266147109","67.97","67.97","67.97","26.176","26.176","26.176"
"2185.266571834","63.712","63.712","63.712","26.176","26.176","26.176"
"2195.269245093","69.49","69.49","69.49","26.176","26.176","26.176"
"2205.27263517","62.186","62.186","62.186","26.176","26.176","26.176"
"2215.265277177","67.635","67.635","67.635","26.176","26.176","26.176"
"2225.272642469","61.795","61.795","61.795","26.176","26.176","26.176"
"2235.267314278","65.862","65.862","65.862","26.176","26.176","26.176"
"2245.267459558","68.221","68.221","68.221","26.176","26.176","26.176"
"2255.274675387","65.862","65.862","65.862","26.275","26.275","26.275"
"2265.270022487","66.7","66.7","66.7","26.176","26.176","26.176"
"2275.281602606","68.068","68.068","68.068","26.176","26.176","26.176"
"2285.270281626","69.044","69.044","69.044","26.176","26.176","26.176"
"2295.27745621","66.993","66.993","66.993","26.176","26.176","26.176"
"2305.269133449","49.524","49.524","49.524","26.19","26.19","26.19"
"2315.268426861","47.59","47.59","47.59","26.176","26.176","26.176"
"2325.269286617","69.294","69.294","69.294","26.275","26.275","26.275"
"2335.269805861","71.69","71.69","71.69","26.176","26.176","26.176"
"2345.268670194","67.872","67.872","67.872","26.176","26.176","26.176"
"2355.268776163","62.871","62.871","62.871","26.176","26.176","26.176"
"2365.269933866","67.97","67.97","67.97","26.176","26.176","26.176"
"2375.270735103","73.446","73.446","73.446","26.176","26.176","26.176"
"2385.278791673","71.051","71.051","71.051","26.176","26.176","26.176"
"2395.26693152","67.189","67.189","67.189","26.176","26.176","26.176"
"2405.268414341","69.294","69.294","69.294","26.176","26.176","26.176"
"2415.268109819","66.798","66.798","66.798","26.176","26.176","26.176"
"2425.267155547","72.275","72.275","72.275","26.176","26.176","26.176"
"2435.266346117","70.715","70.715","70.715","26.176","26.176","26.176"
"2445.266166085","71.344","71.344","71.344","26.176","26.176","26.176"
"2455.273274064","70.954","70.954","70.954","26.275","26.275","26.275"
"2465.267590452","56.191","56.191","56.191","26.176","26.176","26.176"
"2475.266043811","68.849","68.849","68.849","26.176","26.176","26.176"
"2485.265839923","69.49","69.49","69.49","26.176","26.176","26.176"
"2495.266739408","60.622","60.622","60.622","26.176","26.176","26.176"
"2505.267934602","81.921","81.921","81.921","26.176","26.176","26.176"
"2515.271041929","71.105","71.105","71.105","26.176","26.176","26.176"
"2525.267353795","68.904","68.904","68.904","26.176","26.176","26.176"
"2535.26976709","67.775","67.775","67.775","26.176","26.176","26.176"
"2545.27037988","70.368","70.368","70.368","26.176","26.176","26.176"
"2555.267816106","67.872","67.872","67.872","26.176","26.176","26.176"
"2565.267601776","66.31","66.31","66.31","26.176","26.176","26.176"
"2575.265118334","67.775","67.775","67.775","26.176","26.176","26.176"
"2585.265934865","67.872","67.872","67.872","26.176","26.176","26.176"
"2595.268348133","67.775","67.775","67.775","26.176","26.176","26.176"
"2605.265436982","53.286","53.286","53.286","26.176","26.176","26.176"
"2615.271201909","70.075","70.075","70.075","26.176","26.176","26.176"
"2625.269559732","68.318","68.318","68.318","26.176","26.176","26.176"
"2635.273707077","62.186","62.186","62.186","26.176","26.176","26.176"
"2645.268105033","68.654","68.654","68.654","26.176","26.176","26.176"
"2655.267836099","49.72","49.72","49.72","26.176","26.176","26.176"
"2665.266293895","67.035","67.035","67.035","26.176","26.176","26.176"
"2675.278267345","71.442","71.442","71.442","26.176","26.176","26.176"
"2685.265511633","66.407","66.407","66.407","26.176","26.176","26.176"
"2695.266600786","69.826","69.826","69.826","26.176","26.176","26.176"
"2705.272781807","68.904","68.904","68.904","26.176","26.176","26.176"
"2715.269744156","62.577","62.577","62.577","26.176","26.176","26.176"
"2725.265505364","65.178","65.178","65.178","26.176","26.176","26.176"
"2735.270146616","74.667","74.667","74.667","26.176","26.176","26.176"
"2745.280402169","39.412","39.412","39.412","26.19","26.19","26.19"
"2755.276097714","69.49","69.49","69.49","26.176","26.176","26.176"
"2765.268603386","68.654","68.654","68.654","26.176","26.176","26.176"
"2775.268015315","75.155","75.155","75.155","26.176","26.176","26.176"
"2785.267317265","68.165","68.165","68.165","26.176","26.176","26.176"
"2795.267111057","68.849","68.849","68.849","26.176","26.176","26.176"
"2805.266532622","67.579","67.579","67.579","26.176","26.176","26.176"
"2815.270501722","66.407","66.407","66.407","26.176","26.176","26.176"
"2825.266518576","69.49","69.49","69.49","26.176","26.176","26.176"
"2835.267824103","67.579","67.579","67.579","26.176","26.176","26.176"
"2845.265712586","66.7","66.7","66.7","26.176","26.176","26.176"
"2855.265060446","69.142","69.142","69.142","26.275","26.275","26.275"
"2865.266951665","66.505","66.505","66.505","26.176","26.176","26.176"
"2875.267031396","65.666","65.666","65.666","26.176","26.176","26.176"
"2885.268632402","68.068","68.068","68.068","26.176","26.176","26.176"
"2895.265928464","72.568","72.568","72.568","26.176","26.176","26.176"
"2905.267130844","63.262","63.262","63.262","26.176","26.176","26.176"
"2915.269853103","72.47","72.47","72.47","26.176","26.176","26.176"
"2925.278221941","67.482","67.482","67.482","26.176","26.176","26.176"
"2935.276070701","65.275","65.275","65.275","26.176","26.176","26.176"
"2945.265646511","71.007","71.007","71.007","26.176","26.176","26.176"
"2955.272268848","68.849","68.849","68.849","26.176","26.176","26.176"
"2965.265286886","68.751","68.751","68.751","26.176","26.176","26.176"
"2975.26700083","51.063","51.063","51.063","26.275","26.275","26.275"
"2985.2660491","69.782","69.782","69.782","26.275","26.275","26.275"
"2995.268222264","65.764","65.764","65.764","26.275","26.275","26.275"
"3005.269070349","64.924","64.924","64.924","26.176","26.176","26.176"
"3015.265623971","63.907","63.907","63.907","26.176","26.176","26.176"
"3025.269203756","68.165","68.165","68.165","26.19","26.19","26.19"
"3035.269152952","63.81","63.81","63.81","26.176","26.176","26.176"
"3045.269588767","67.97","67.97","67.97","26.176","26.176","26.176"
"3055.269526513","65.724","65.724","65.724","26.176","26.176","26.176"
"3065.267139719","71.592","71.592","71.592","26.176","26.176","26.176"
"3075.279191049","65.178","65.178","65.178","26.176","26.176","26.176"
"3085.270902954","66.7","66.7","66.7","26.176","26.176","26.176"
"3095.270076773","57.954","57.954","57.954","26.176","26.176","26.176"
"3105.274963408","68.068","68.068","68.068","26.176","26.176","26.176"
"3115.270393832","66.35","66.35","66.35","26.176","26.176","26.176"
"3125.26795194","48.376","48.376","48.376","26.289","26.289","26.289"
"3135.268784579","49.818","49.818","49.818","26.19","26.19","26.19"
"3145.266816525","67.482","67.482","67.482","26.19","26.19","26.19"
"3155.27051942","68.849","68.849","68.849","26.19","26.19","26.19"
"3165.268498837","69.044","69.044","69.044","26.19","26.19","26.19"
"3175.267251274","73.933","73.933","73.933","26.19","26.19","26.19"
"3185.265566903","70.661","70.661","70.661","26.19","26.19","26.19"
"3195.275283592","65.764","65.764","65.764","26.19","26.19","26.19"
"3205.266435502","63.36","63.36","63.36","26.19","26.19","26.19"
"3215.268662772","65.12","65.12","65.12","26.19","26.19","26.19"
"3225.268206969","67.635","67.635","67.635","26.176","26.176","26.176"
"3235.273724345","60.622","60.622","60.622","26.176","26.176","26.176"
"3245.268435264","77.201","77.201","77.201","26.275","26.275","26.275"
"3255.271103186","68.458","68.458","68.458","26.275","26.275","26.275"
"3265.267122801","50.573","50.573","50.573","26.176","26.176","26.176"
"3275.265538709","66.366","66.366","66.366","26.176","26.176","26.176"
"3285.266646826","70.227","70.227","70.227","26.176","26.176","26.176"
"3295.267352692","67.872","67.872","67.872","26.176","26.176","26.176"
"3305.264893953","70.129","70.129","70.129","26.176","26.176","26.176"
"3315.268723197","62.637","62.637","62.637","26.176","26.176","26.176"
"3325.266827672","67.091","67.091","67.091","26.176","26.176","26.176"
"3335.276772017","61.013","61.013","61.013","26.176","26.176","26.176"
"3345.268926769","71.246","71.246","71.246","26.176","26.176","26.176"
"3355.268556798","50.181","50.181","50.181","26.176","26.176","26.176"
"3365.26710819","71.3","71.3","71.3","26.176","26.176","26.176"
"3375.267515237","67.775","67.775","67.775","26.176","26.176","26.176"
"3385.267909624","70.52","70.52","70.52","26.176","26.176","26.176"
"3395.265377318","66.407","66.407","66.407","26.176","26.176","26.176"
"3405.274094482","58.506","58.506","58.506","26.176","26.176","26.176"
"3415.272278842","67.635","67.635","67.635","26.176","26.176","26.176"
"3425.26842753","67.733","67.733","67.733","26.275","26.275","26.275"
"3435.270209751","66.407","66.407","66.407","26.176","26.176","26.176"
"3445.270338098","67.677","67.677","67.677","26.176","26.176","26.176"
"3455.2669032","66.017","66.017","66.017","26.275","26.275","26.275"
"3465.273420404","62.637","62.637","62.637","26.176","26.176","26.176"
"3475.269653671","68.904","68.904","68.904","26.176","26.176","26.176"
"3485.269522908","65.724","65.724","65.724","26.176","26.176","26.176"
"3495.26729341","72.425","72.425","72.425","26.176","26.176","26.176"
"3505.267397557","67.286","67.286","67.286","26.176","26.176","26.176"
"3515.267857542","53.286","53.286","53.286","26.176","26.176","26.176"
"3525.27032725","66.057","66.057","66.057","26.176","26.176","26.176"
"3535.268625025","69.923","69.923","69.923","26.176","26.176","26.176"
"3545.265003903","67.23","67.23","67.23","26.19","26.19","26.19"
"3555.26997253","63.262","63.262","63.262","26.19","26.19","26.19"
"3565.273418996","66.993","66.993","66.993","26.19","26.19","26.19"
"3575.268195737","64.142","64.142","64.142","26.19","26.19","26.19"
"3585.26582559","66.839","66.839","66.839","26.19","26.19","26.19"
"3595.268121905","52.762","52.762","52.762","26.289","26.289","26.289"
"3605.267472908","67.719","67.719","67.719","26.19","26.19","26.19"
"3615.273141294","69.38","69.38","69.38","26.19","26.19","26.19"
"3625.266851376","67.23","67.23","67.23","26.19","26.19","26.19"
"3635.26565782","68.207","68.207","68.207","26.19","26.19","26.19"
"3645.267749578","67.132","67.132","67.132","26.19","26.19","26.19"
"3655.272397374","66.896","66.896","66.896","26.19","26.19","26.19"
"3665.269606543","79.346","79.346","79.346","26.19","26.19","26.19"
"3675.270597783","65.609","65.609","65.609","26.19","26.19","26.19"
"3685.267994311","66.546","66.546","66.546","26.19","26.19","26.19"
"3695.268590445","73.101","73.101","73.101","26.19","26.19","26.19"
"3705.266582141","68.068","68.068","68.068","26.19","26.19","26.19"
"3715.268723163","70.758","70.758","70.758","26.19","26.19","26.19"
"3725.269654647","67.97","67.97","67.97","26.19","26.19","26.19"
"3735.269984925","68.458","68.458","68.458","26.19","26.19","26.19"
"3745.265890704","68.556","68.556","68.556","26.19","26.19","26.19"
"3755.267749161","66.546","66.546","66.546","26.19","26.19","26.19"
"3765.266643494","70.119","70.119","70.119","26.19","26.19","26.19"
"3775.265299793","60.169","60.169","60.169","26.19","26.19","26.19"
"3785.268005147","67.091","67.091","67.091","26.19","26.19","26.19"
"3795.267068091","65.569","65.569","65.569","26.19","26.19","26.19"
"3805.267598656","65.666","65.666","65.666","26.19","26.19","26.19"
"3815.267139402","68.012","68.012","68.012","26.19","26.19","26.19"
"3825.267305784","68.11","68.11","68.11","26.19","26.19","26.19"
"3835.265849396","67.425","67.425","67.425","26.19","26.19","26.19"
"3845.271409916","70.661","70.661","70.661","26.176","26.176","26.176"
"3855.267823007","63.223","63.223","63.223","26.176","26.176","26.176"
"3865.270247847","78.615","78.615","78.615","26.077","26.077","26.077"
"3875.266918617","71.105","71.105","71.105","26.147","26.147","26.147"
"3885.272401969","67.44","67.44","67.44","26.162","26.162","26.162"
"3895.27121305","69.934","69.934","69.934","26.162","26.162","26.162"
"3905.267759192","68.179","68.179","68.179","26.147","26.147","26.147"
"3915.272368051","68.221","68.221","68.221","26.162","26.162","26.162"
"3925.266281319","66.423","66.423","66.423","26.162","26.162","26.162"
"3935.268206974","66.464","66.464","66.464","26.162","26.162","26.162"
"3945.267196585","67.44","67.44","67.44","26.162","26.162","26.162"
"3955.265771097","64.512","64.512","64.512","26.162","26.162","26.162"
"3965.268397943","62.696","62.696","62.696","26.162","26.162","26.162"
"3975.267625979","57.625","57.625","57.625","26.162","26.162","26.162"
"3985.271219111","73.842","73.842","73.842","26.162","26.162","26.162"
"3995.266610805","67.342","67.342","67.342","26.162","26.162","26.162"
"4005.273735553","76.132","76.132","76.132","26.147","26.147","26.147"
"4015.266686821","76.179","76.179","76.179","26.063","26.063","26.063"
"4025.267165875","64.707","64.707","64.707","26.162","26.162","26.162"
"4035.276413417","68.026","68.026","68.026","26.162","26.162","26.162"
"4045.267300774","71.938","71.938","71.938","26.162","26.162","26.162"
"4055.264957835","65.431","65.431","65.431","26.162","26.162","26.162"
"4065.267786781","63.77","63.77","63.77","26.162","26.162","26.162"
"4075.275773729","66.212","66.212","66.212","26.063","26.063","26.063"
"4085.267142924","65.821","65.821","65.821","26.063","26.063","26.063"
"4095.266520784","68.514","68.514","68.514","26.147","26.147","26.147"
"4105.275108667","58.114","58.114","58.114","26.162","26.162","26.162"
"4115.276663836","50.475","50.475","50.475","26.162","26.162","26.162"
"4125.265455144","68.709","68.709","68.709","26.162","26.162","26.162"
"4135.26946361","66.114","66.114","66.114","26.162","26.162","26.162"
"4145.276639446","78.079","78.079","78.079","26.077","26.077","26.077"
"4155.267319856","71.007","71.007","71.007","26.063","26.063","26.063"
"4165.274283927","68.165","68.165","68.165","26.092","26.092","26.092"
"4175.26712252","68.458","68.458","68.458","26.092","26.092","26.092"
"4185.266233895","69.978","69.978","69.978","26.19","26.19","26.19"
"4195.26635952","68.068","68.068","68.068","26.19","26.19","26.19"
"4205.269411148","50.603","50.603","50.603","26.092","26.092","26.092"
"4215.26673456","51.124","51.124","51.124","26.19","26.19","26.19"
"4225.26550228","66.546","66.546","66.546","26.092","26.092","26.092"
"4235.267328264","71.388","71.388","71.388","26.106","26.106","26.106"
"4245.266318214","68.403","68.403","68.403","26.19","26.19","26.19"
"4255.266614958","74.76","74.76","74.76","26.19","26.19","26.19"
"4265.265517181","68.207","68.207","68.207","26.205","26.205","26.205"
"4275.272976763","69.38","69.38","69.38","26.106","26.106","26.106"
"4285.273362119","67.425","67.425","67.425","26.19","26.19","26.19"
"4295.265061183","69.044","69.044","69.044","26.092","26.092","26.092"
"4305.267671354","71.105","71.105","71.105","26.176","26.176","26.176"
"4315.265926034","66.546","66.546","66.546","26.19","26.19","26.19"
"4325.267251009","67.189","67.189","67.189","26.176","26.176","26.176"
"4335.269224025","71.539","71.539","71.539","26.176","26.176","26.176"
"4345.26694564","69.197","69.197","69.197","26.176","26.176","26.176"
"4355.270572955","68.068","68.068","68.068","26.176","26.176","26.176"
"4365.266378654","69.978","69.978","69.978","26.176","26.176","26.176"
"4375.265651501","67.677","67.677","67.677","26.176","26.176","26.176"
"4385.268049793","70.075","70.075","70.075","26.176","26.176","26.176"
"4395.268211414","66.31","66.31","66.31","26.176","26.176","26.176"
"4405.267714614","59.876","59.876","59.876","26.176","26.176","26.176"
"4415.271363374","71.592","71.592","71.592","26.176","26.176","26.176"
"4425.268786165","70.075","70.075","70.075","26.176","26.176","26.176"
"4435.267331869","68.556","68.556","68.556","26.176","26.176","26.176"
"4445.26683265","65.471","65.471","65.471","26.275","26.275","26.275"
"4455.26782635","64.005","64.005","64.005","26.176","26.176","26.176"
"4465.267118286","77.738","77.738","77.738","26.176","26.176","26.176"
"4475.268633217","76.129","76.129","76.129","26.176","26.176","26.176"
"4485.26775339","52.11","52.11","52.11","26.176","26.176","26.176"
"4495.266762529","66.212","66.212","66.212","26.176","26.176","26.176"
"4505.274477632","51.161","51.161","51.161","26.176","26.176","26.176"
"4515.274520474","68.806","68.806","68.806","26.176","26.176","26.176"
"4525.266903626","67.189","67.189","67.189","26.176","26.176","26.176"
"4535.265560312","54.756","54.756","54.756","26.077","26.077","26.077"
"4545.273385161","50.309","50.309","50.309","26.077","26.077","26.077"
"4555.26721518","66.896","66.896","66.896","26.176","26.176","26.176"
"4565.265499896","68.806","68.806","68.806","26.176","26.176","26.176"
"4575.269778184","65.764","65.764","65.764","26.176","26.176","26.176"
"4585.266883774","68.165","68.165","68.165","26.19","26.19","26.19"
"4595.265222364","68.361","68.361","68.361","26.176","26.176","26.176"
"4605.269847287","67.384","67.384","67.384","26.176","26.176","26.176"
"4615.267013194","61.795","61.795","61.795","26.176","26.176","26.176"
"4625.267484232","64.2","64.2","64.2","26.176","26.176","26.176"
"4635.267860473","67.091","67.091","67.091","26.176","26.176","26.176"
"4645.267600478","68.416","68.416","68.416","26.176","26.176","26.176"
"4655.271608586","68.123","68.123","68.123","26.176","26.176","26.176"
"4665.268299989","67.482","67.482","67.482","26.176","26.176","26.176"
"4675.26751027","68.806","68.806","68.806","26.176","26.176","26.176"
"4685.266286575","61.404","61.404","61.404","26.176","26.176","26.176"
"4695.269020222","50.015","50.015","50.015","26.176","26.176","26.176"
"4705.26771586","65.666","65.666","65.666","26.176","26.176","26.176"
"4715.266606133","66.603","66.603","66.603","26.176","26.176","26.176"
"4725.265748255","70.856","70.856","70.856","26.275","26.275","26.275"
"4735.270064113","66.798","66.798","66.798","26.077","26.077","26.077"
"4745.267499407","69.978","69.978","69.978","26.176","26.176","26.176"
"4755.266979495","67.342","67.342","67.342","26.176","26.176","26.176"
"4765.267470766","63.36","63.36","63.36","26.176","26.176","26.176"
"4775.266436876","54.364","54.364","54.364","26.176","26.176","26.176"
"4785.267799305","67.482","67.482","67.482","26.176","26.176","26.176"
"4795.265684789","63.516","63.516","63.516","26.176","26.176","26.176"
"4805.265177495","67.872","67.872","67.872","26.176","26.176","26.176"
"4815.266807389","68.026","68.026","68.026","26.176","26.176","26.176"
"4825.270000143","70.173","70.173","70.173","26.176","26.176","26.176"
"4835.265750418","68.556","68.556","68.556","26.176","26.176","26.176"
"4845.274690517","65.569","65.569","65.569","26.176","26.176","26.176"
"4855.269076041","71.105","71.105","71.105","26.176","26.176","26.176"
"4865.276600762","68.556","68.556","68.556","26.176","26.176","26.176"
"4875.266924693","67.775","67.775","67.775","26.176","26.176","26.176"
"4885.268453481","63.516","63.516","63.516","26.176","26.176","26.176"
