"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.1.pcieLinkGen","StudyAbroadGPT-7B-continued - system/gpu.1.pcieLinkGen__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.pcieLinkGen__MAX"
"1445.277250061","3","3","3"
"1455.266123245","3","3","3"
"1465.267954251","3","3","3"
"1475.271793395","3","3","3"
"1485.278676568","3","3","3"
"1495.266083721","3","3","3"
"1505.269389895","3","3","3"
"1515.26953179","3","3","3"
"1525.266012213","3","3","3"
"1535.266745837","3","3","3"
"1545.275819445","3","3","3"
"1555.271631822","3","3","3"
"1565.266599464","3","3","3"
"1575.265281584","3","3","3"
"1585.269237838","3","3","3"
"1595.26853866","3","3","3"
"1605.267992268","3","3","3"
"1615.267880841","3","3","3"
"1625.271129483","3","3","3"
"1635.276349915","3","3","3"
"1645.270105984","3","3","3"
"1655.265537282","3","3","3"
"1665.27384965","3","3","3"
"1675.26928571","3","3","3"
"1685.277326669","3","3","3"
"1695.268443525","3","3","3"
"1705.267053081","3","3","3"
"1715.269343698","3","3","3"
"1725.273265352","3","3","3"
"1735.268585195","3","3","3"
"1745.267097476","3","3","3"
"1755.265345918","3","3","3"
"1765.269911679","3","3","3"
"1775.266144078","3","3","3"
"1785.266635934","3","3","3"
"1795.267275418","3","3","3"
"1805.267045778","3","3","3"
"1815.26689334","3","3","3"
"1825.26683354","3","3","3"
"1835.271801952","3","3","3"
"1845.269770361","3","3","3"
"1855.27610869","3","3","3"
"1865.278790661","3","3","3"
"1875.266656143","3","3","3"
"1885.276794145","3","3","3"
"1895.271543898","3","3","3"
"1905.269028552","3","3","3"
"1915.270332614","3","3","3"
"1925.265761443","3","3","3"
"1935.272480052","3","3","3"
"1945.266799366","3","3","3"
"1955.271863979","3","3","3"
"1965.267282401","3","3","3"
"1975.267491962","3","3","3"
"1985.265093311","3","3","3"
"1995.268007845","3","3","3"
"2005.266706374","3","3","3"
"2015.266817986","3","3","3"
"2025.266251374","3","3","3"
"2035.265732348","3","3","3"
"2045.267223778","3","3","3"
"2055.274725907","3","3","3"
"2065.27115954","3","3","3"
"2075.26774375","3","3","3"
"2085.265976736","3","3","3"
"2095.270005366","3","3","3"
"2105.276182641","3","3","3"
"2115.268211421","3","3","3"
"2125.267017844","3","3","3"
"2135.266607762","3","3","3"
"2145.267921145","3","3","3"
"2155.269618332","3","3","3"
"2165.267561466","3","3","3"
"2175.266147109","3","3","3"
"2185.266571834","3","3","3"
"2195.269245093","3","3","3"
"2205.27263517","3","3","3"
"2215.265277177","3","3","3"
"2225.272642469","3","3","3"
"2235.267314278","3","3","3"
"2245.267459558","3","3","3"
"2255.274675387","3","3","3"
"2265.270022487","3","3","3"
"2275.281602606","3","3","3"
"2285.270281626","3","3","3"
"2295.27745621","3","3","3"
"2305.269133449","3","3","3"
"2315.268426861","3","3","3"
"2325.269286617","3","3","3"
"2335.269805861","3","3","3"
"2345.268670194","3","3","3"
"2355.268776163","3","3","3"
"2365.269933866","3","3","3"
"2375.270735103","3","3","3"
"2385.278791673","3","3","3"
"2395.26693152","3","3","3"
"2405.268414341","3","3","3"
"2415.268109819","3","3","3"
"2425.267155547","3","3","3"
"2435.266346117","3","3","3"
"2445.266166085","3","3","3"
"2455.273274064","3","3","3"
"2465.267590452","3","3","3"
"2475.266043811","3","3","3"
"2485.265839923","3","3","3"
"2495.266739408","3","3","3"
"2505.267934602","3","3","3"
"2515.271041929","3","3","3"
"2525.267353795","3","3","3"
"2535.26976709","3","3","3"
"2545.27037988","3","3","3"
"2555.267816106","3","3","3"
"2565.267601776","3","3","3"
"2575.265118334","3","3","3"
"2585.265934865","3","3","3"
"2595.268348133","3","3","3"
"2605.265436982","3","3","3"
"2615.271201909","3","3","3"
"2625.269559732","3","3","3"
"2635.273707077","3","3","3"
"2645.268105033","3","3","3"
"2655.267836099","3","3","3"
"2665.266293895","3","3","3"
"2675.278267345","3","3","3"
"2685.265511633","3","3","3"
"2695.266600786","3","3","3"
"2705.272781807","3","3","3"
"2715.269744156","3","3","3"
"2725.265505364","3","3","3"
"2735.270146616","3","3","3"
"2745.280402169","3","3","3"
"2755.276097714","3","3","3"
"2765.268603386","3","3","3"
"2775.268015315","3","3","3"
"2785.267317265","3","3","3"
"2795.267111057","3","3","3"
"2805.266532622","3","3","3"
"2815.270501722","3","3","3"
"2825.266518576","3","3","3"
"2835.267824103","3","3","3"
"2845.265712586","3","3","3"
"2855.265060446","3","3","3"
"2865.266951665","3","3","3"
"2875.267031396","3","3","3"
"2885.268632402","3","3","3"
"2895.265928464","3","3","3"
"2905.267130844","3","3","3"
"2915.269853103","3","3","3"
"2925.278221941","3","3","3"
"2935.276070701","3","3","3"
"2945.265646511","3","3","3"
"2955.272268848","3","3","3"
"2965.265286886","3","3","3"
"2975.26700083","3","3","3"
"2985.2660491","3","3","3"
"2995.268222264","3","3","3"
"3005.269070349","3","3","3"
"3015.265623971","3","3","3"
"3025.269203756","3","3","3"
"3035.269152952","3","3","3"
"3045.269588767","3","3","3"
"3055.269526513","3","3","3"
"3065.267139719","3","3","3"
"3075.279191049","3","3","3"
"3085.270902954","3","3","3"
"3095.270076773","3","3","3"
"3105.274963408","3","3","3"
"3115.270393832","3","3","3"
"3125.26795194","3","3","3"
"3135.268784579","3","3","3"
"3145.266816525","3","3","3"
"3155.27051942","3","3","3"
"3165.268498837","3","3","3"
"3175.267251274","3","3","3"
"3185.265566903","3","3","3"
"3195.275283592","3","3","3"
"3205.266435502","3","3","3"
"3215.268662772","3","3","3"
"3225.268206969","3","3","3"
"3235.273724345","3","3","3"
"3245.268435264","3","3","3"
"3255.271103186","3","3","3"
"3265.267122801","3","3","3"
"3275.265538709","3","3","3"
"3285.266646826","3","3","3"
"3295.267352692","3","3","3"
"3305.264893953","3","3","3"
"3315.268723197","3","3","3"
"3325.266827672","3","3","3"
"3335.276772017","3","3","3"
"3345.268926769","3","3","3"
"3355.268556798","3","3","3"
"3365.26710819","3","3","3"
"3375.267515237","3","3","3"
"3385.267909624","3","3","3"
"3395.265377318","3","3","3"
"3405.274094482","3","3","3"
"3415.272278842","3","3","3"
"3425.26842753","3","3","3"
"3435.270209751","3","3","3"
"3445.270338098","3","3","3"
"3455.2669032","3","3","3"
"3465.273420404","3","3","3"
"3475.269653671","3","3","3"
"3485.269522908","3","3","3"
"3495.26729341","3","3","3"
"3505.267397557","3","3","3"
"3515.267857542","3","3","3"
"3525.27032725","3","3","3"
"3535.268625025","3","3","3"
"3545.265003903","3","3","3"
"3555.26997253","3","3","3"
"3565.273418996","3","3","3"
"3575.268195737","3","3","3"
"3585.26582559","3","3","3"
"3595.268121905","3","3","3"
"3605.267472908","3","3","3"
"3615.273141294","3","3","3"
"3625.266851376","3","3","3"
"3635.26565782","3","3","3"
"3645.267749578","3","3","3"
"3655.272397374","3","3","3"
"3665.269606543","3","3","3"
"3675.270597783","3","3","3"
"3685.267994311","3","3","3"
"3695.268590445","3","3","3"
"3705.266582141","3","3","3"
"3715.268723163","3","3","3"
"3725.269654647","3","3","3"
"3735.269984925","3","3","3"
"3745.265890704","3","3","3"
"3755.267749161","3","3","3"
"3765.266643494","3","3","3"
"3775.265299793","3","3","3"
"3785.268005147","3","3","3"
"3795.267068091","3","3","3"
"3805.267598656","3","3","3"
"3815.267139402","3","3","3"
"3825.267305784","3","3","3"
"3835.265849396","3","3","3"
"3845.271409916","3","3","3"
"3855.267823007","3","3","3"
"3865.270247847","3","3","3"
"3875.266918617","3","3","3"
"3885.272401969","3","3","3"
"3895.27121305","3","3","3"
"3905.267759192","3","3","3"
"3915.272368051","3","3","3"
"3925.266281319","3","3","3"
"3935.268206974","3","3","3"
"3945.267196585","3","3","3"
"3955.265771097","3","3","3"
"3965.268397943","3","3","3"
"3975.267625979","3","3","3"
"3985.271219111","3","3","3"
"3995.266610805","3","3","3"
"4005.273735553","3","3","3"
"4015.266686821","3","3","3"
"4025.267165875","3","3","3"
"4035.276413417","3","3","3"
"4045.267300774","3","3","3"
"4055.264957835","3","3","3"
"4065.267786781","3","3","3"
"4075.275773729","3","3","3"
"4085.267142924","3","3","3"
"4095.266520784","3","3","3"
"4105.275108667","3","3","3"
"4115.276663836","3","3","3"
"4125.265455144","3","3","3"
"4135.26946361","3","3","3"
"4145.276639446","3","3","3"
"4155.267319856","3","3","3"
"4165.274283927","3","3","3"
"4175.26712252","3","3","3"
"4185.266233895","3","3","3"
"4195.26635952","3","3","3"
"4205.269411148","3","3","3"
"4215.26673456","3","3","3"
"4225.26550228","3","3","3"
"4235.267328264","3","3","3"
"4245.266318214","3","3","3"
"4255.266614958","3","3","3"
"4265.265517181","3","3","3"
"4275.272976763","3","3","3"
"4285.273362119","3","3","3"
"4295.265061183","3","3","3"
"4305.267671354","3","3","3"
"4315.265926034","3","3","3"
"4325.267251009","3","3","3"
"4335.269224025","3","3","3"
"4345.26694564","3","3","3"
"4355.270572955","3","3","3"
"4365.266378654","3","3","3"
"4375.265651501","3","3","3"
"4385.268049793","3","3","3"
"4395.268211414","3","3","3"
"4405.267714614","3","3","3"
"4415.271363374","3","3","3"
"4425.268786165","3","3","3"
"4435.267331869","3","3","3"
"4445.26683265","3","3","3"
"4455.26782635","3","3","3"
"4465.267118286","3","3","3"
"4475.268633217","3","3","3"
"4485.26775339","3","3","3"
"4495.266762529","3","3","3"
"4505.274477632","3","3","3"
"4515.274520474","3","3","3"
"4525.266903626","3","3","3"
"4535.265560312","3","3","3"
"4545.273385161","3","3","3"
"4555.26721518","3","3","3"
"4565.265499896","3","3","3"
"4575.269778184","3","3","3"
"4585.266883774","3","3","3"
"4595.265222364","3","3","3"
"4605.269847287","3","3","3"
"4615.267013194","3","3","3"
"4625.267484232","3","3","3"
"4635.267860473","3","3","3"
"4645.267600478","3","3","3"
"4655.271608586","3","3","3"
"4665.268299989","3","3","3"
"4675.26751027","3","3","3"
"4685.266286575","3","3","3"
"4695.269020222","3","3","3"
"4705.26771586","3","3","3"
"4715.266606133","3","3","3"
"4725.265748255","3","3","3"
"4735.270064113","3","3","3"
"4745.267499407","3","3","3"
"4755.266979495","3","3","3"
"4765.267470766","3","3","3"
"4775.266436876","3","3","3"
"4785.267799305","3","3","3"
"4795.265684789","3","3","3"
"4805.265177495","3","3","3"
"4815.266807389","3","3","3"
"4825.270000143","3","3","3"
"4835.265750418","3","3","3"
"4845.274690517","3","3","3"
"4855.269076041","3","3","3"
"4865.276600762","3","3","3"
"4875.266924693","3","3","3"
"4885.268453481","3","3","3"
"4895.268693889","3","3","3"
"4905.275992369","3","3","3"
"4915.268371933","3","3","3"
"4925.267113892","3","3","3"
"4935.27919284","3","3","3"
"4945.266736385","3","3","3"
"4955.264933407","3","3","3"
"4965.267596265","3","3","3"
"4975.267483481","3","3","3"
"4985.266788367","3","3","3"
"4995.267532653","3","3","3"
"5005.265115437","3","3","3"
"5015.27153468","3","3","3"
"5025.272049529","3","3","3"
"5035.268537376","3","3","3"
"5045.26741715","3","3","3"
"5055.267841617","3","3","3"
"5065.26559602","3","3","3"
"5075.267271604","3","3","3"
"5085.269293544","3","3","3"
"5095.267006693","3","3","3"
"5105.267314922","3","3","3"
"5115.266291201","3","3","3"
"5125.265724615","3","3","3"
"5135.266187905","3","3","3"
"5145.267763353","3","3","3"
"5155.273462842","3","3","3"
"5165.276403101","3","3","3"
"5175.271563312","3","3","3"
"5185.267206336","3","3","3"
"5195.265589683","3","3","3"
"5205.267792648","3","3","3"
"5215.270969732","3","3","3"
"5225.268759099","3","3","3"
"5235.265610403","3","3","3"
"5245.271084424","3","3","3"
"5255.269715935","3","3","3"
"5265.27437571","3","3","3"
"5275.268382728","3","3","3"
"5285.267564397","3","3","3"
"5295.276783446","3","3","3"
"5305.269612032","3","3","3"
"5315.274516796","3","3","3"
"5325.284928808","3","3","3"
"5335.265507851","3","3","3"
"5345.267073313","3","3","3"
"5355.266314418","3","3","3"
"5365.267197447","3","3","3"
"5375.266294043","3","3","3"
"5385.266353087","3","3","3"
"5395.267773171","3","3","3"
"5405.265548585","3","3","3"
"5415.268658984","3","3","3"
"5425.26856957","3","3","3"
"5435.265833728","3","3","3"
"5445.266763277","3","3","3"
"5455.267821483","3","3","3"
"5465.265281319","3","3","3"
"5475.269933096","3","3","3"
"5485.275016494","3","3","3"
"5495.275487052","3","3","3"
"5505.275937652","3","3","3"
"5515.27613732","3","3","3"
"5525.268709063","3","3","3"
"5535.265588392","3","3","3"
"5545.266375728","3","3","3"
"5555.274225934","3","3","3"
"5565.266261212","3","3","3"
"5575.268900167","3","3","3"
"5585.264945965","3","3","3"
"5595.265300676","3","3","3"
"5605.267850455","3","3","3"
"5615.267553434","3","3","3"
"5625.270299357","3","3","3"
"5635.267216317","3","3","3"
"5645.267517139","3","3","3"
"5655.268127221","3","3","3"
"5665.274790712","3","3","3"
"5675.26996395","3","3","3"
"5685.26583713","3","3","3"
"5695.268494597","3","3","3"
"5705.26754324","3","3","3"
"5715.266630139","3","3","3"
"5725.266980088","3","3","3"
"5735.267281439","3","3","3"
"5745.266848198","3","3","3"
"5755.269077492","3","3","3"
"5765.266697905","3","3","3"
"5775.267668704","3","3","3"
"5785.268586364","3","3","3"
"5795.274239431","3","3","3"
"5805.272994608","3","3","3"
"5815.268130037","3","3","3"
"5825.267222938","3","3","3"
"5835.266150224","3","3","3"
"5845.266233999","3","3","3"
"5855.26735575","3","3","3"
"5865.265848487","3","3","3"
"5875.268683511","3","3","3"
"5885.266616603","3","3","3"
"5895.26607862","3","3","3"
"5905.266242639","3","3","3"
"5915.267273191","3","3","3"
"5925.268047209","3","3","3"
"5935.273666155","3","3","3"
"5945.274342229","3","3","3"
"5955.268847884","3","3","3"
"5965.271374737","3","3","3"
"5975.271199327","3","3","3"
"5985.267929389","3","3","3"
"5995.265582978","3","3","3"
"6005.265023539","3","3","3"
"6015.271016868","3","3","3"
"6025.275186198","3","3","3"
"6035.267221564","3","3","3"
"6045.276702736","3","3","3"
"6055.275606555","3","3","3"
"6065.265721934","3","3","3"
"6075.267693803","3","3","3"
"6085.271742501","3","3","3"
"6095.275981395","3","3","3"
"6105.274769634","3","3","3"
"6115.267056885","3","3","3"
"6125.268451437","3","3","3"
"6135.268369822","3","3","3"
"6145.267553346","3","3","3"
"6155.269519362","3","3","3"
"6165.277378796","3","3","3"
"6175.26903679","3","3","3"
"6185.265467123","3","3","3"
"6195.274305167","3","3","3"
"6205.268079926","3","3","3"
"6215.268737001","3","3","3"
"6225.2660367","3","3","3"
"6235.268565539","3","3","3"
"6245.26642663","3","3","3"
"6255.267623485","3","3","3"
"6265.267818046","3","3","3"
"6275.26917742","3","3","3"
"6285.267225709","3","3","3"
"6295.272194858","3","3","3"
"6305.268300583","3","3","3"
"6315.268093415","3","3","3"
"6325.270108898","3","3","3"
"6335.265033828","3","3","3"
"6345.268498901","3","3","3"
"6355.266392848","3","3","3"
"6365.268633069","3","3","3"
"6375.267425707","3","3","3"
"6385.271801035","3","3","3"
"6395.271626093","3","3","3"
"6405.265698111","3","3","3"
"6415.27540635","3","3","3"
"6425.269061306","3","3","3"
"6435.267782121","3","3","3"
"6445.270612672","3","3","3"
"6455.267347696","3","3","3"
"6465.275207677","3","3","3"
"6475.274585848","3","3","3"
"6485.278296682","3","3","3"
"6495.269740958","3","3","3"
"6505.276111694","3","3","3"
"6515.268265732","3","3","3"
"6525.274278702","3","3","3"
"6535.270680161","3","3","3"
"6545.273087391","3","3","3"
"6555.277248723","3","3","3"
"6565.26728664","3","3","3"
"6575.268910592","3","3","3"
"6585.27318068","3","3","3"
"6595.266668499","3","3","3"
"6605.268957463","3","3","3"
"6615.266056867","3","3","3"
"6625.266957279","3","3","3"
"6635.265473202","3","3","3"
"6645.275069982","3","3","3"
"6655.266185363","3","3","3"
"6665.272476164","3","3","3"
"6675.27379124","3","3","3"
"6685.265847748","3","3","3"
"6695.267210123","3","3","3"
"6705.266051453","3","3","3"
"6715.266638701","3","3","3"
"6725.26536817","3","3","3"
"6735.266781159","3","3","3"
"6745.265794792","3","3","3"
"6755.265247524","3","3","3"
"6765.27254652","3","3","3"
"6775.274140466","3","3","3"
"6785.276503779","3","3","3"
"6795.267739525","3","3","3"
"6805.268997297","3","3","3"
"6815.266827316","3","3","3"
"6825.27073043","3","3","3"
"6835.266803449","3","3","3"
"6845.26717991","3","3","3"
"6855.265820758","3","3","3"
"6865.26973258","3","3","3"
"6875.271815064","3","3","3"
"6885.270234538","3","3","3"
"6895.271394991","3","3","3"
"6905.276211751","3","3","3"
"6915.271879911","3","3","3"
"6925.265851547","3","3","3"
"6935.270209841","3","3","3"
"6945.266836505","3","3","3"
"6955.281024488","3","3","3"
"6965.267114641","3","3","3"
"6975.269447562","3","3","3"
"6985.266076322","3","3","3"
"6995.268032843","3","3","3"
"7005.269211666","3","3","3"
"7015.275973268","3","3","3"
"7025.266663436","3","3","3"
"7035.275966887","3","3","3"
"7045.266856179","3","3","3"
"7055.273738355","3","3","3"
"7065.27536408","3","3","3"
"7075.270250738","3","3","3"
"7085.268842805","3","3","3"
"7095.27530527","3","3","3"
"7105.26739402","3","3","3"
"7115.269227128","3","3","3"
"7125.268434927","3","3","3"
"7135.267049822","3","3","3"
"7145.268309409","3","3","3"
"7155.271621196","3","3","3"
"7165.276411092","3","3","3"
"7175.27169243","3","3","3"
"7185.269609123","3","3","3"
"7195.267688967","3","3","3"
"7205.273443367","3","3","3"
"7215.268201523","3","3","3"
"7225.274729161","3","3","3"
"7235.267122906","3","3","3"
"7245.268250767","3","3","3"
"7255.266945083","3","3","3"
"7265.268025972","3","3","3"
"7275.266990506","3","3","3"
"7285.268288821","3","3","3"
"7295.271218815","3","3","3"
"7305.267316563","3","3","3"
"7315.275952994","3","3","3"
"7325.276754874","3","3","3"
"7335.26584027","3","3","3"
"7345.26973949","3","3","3"
"7355.267208853","3","3","3"
"7365.272405433","3","3","3"
"7375.267501486","3","3","3"
"7385.267184918","3","3","3"
"7395.268658993","3","3","3"
"7405.268187202","3","3","3"
"7415.271778622","3","3","3"
"7425.269521687","3","3","3"
"7435.267732106","3","3","3"
"7445.269841448","3","3","3"
"7455.268043542","3","3","3"
"7465.267290735","3","3","3"
"7475.265605866","3","3","3"
"7485.275522122","3","3","3"
"7495.267926875","3","3","3"
"7505.268156785","3","3","3"
"7515.267006019","3","3","3"
"7525.265817928","3","3","3"
"7535.269340155","3","3","3"
"7545.267848139","3","3","3"
"7555.26651911","3","3","3"
"7565.266729548","3","3","3"
"7575.268433576","3","3","3"
"7585.268014819","3","3","3"
"7595.266647835","3","3","3"
"7605.269019198","3","3","3"
"7615.275087414","3","3","3"
"7625.269495016","3","3","3"
"7635.266044262","3","3","3"
"7645.265143907","3","3","3"
"7655.277921309","3","3","3"
"7665.266522874","3","3","3"
"7675.267885473","3","3","3"
"7685.275161061","3","3","3"
"7695.271766802","3","3","3"
"7705.266417373","3","3","3"
"7715.275600026","3","3","3"
"7725.267828934","3","3","3"
"7735.266397064","3","3","3"
"7745.266627238","3","3","3"
"7755.267746496","3","3","3"
"7765.268902114","3","3","3"
"7775.275217284","3","3","3"
"7785.266388161","3","3","3"
"7795.275377311","3","3","3"
"7805.268452872","3","3","3"
"7815.267062358","3","3","3"
"7825.266807005","3","3","3"
"7835.265294444","3","3","3"
"7845.267664299","3","3","3"
"7855.272770023","3","3","3"
"7865.269935167","3","3","3"
"7875.266498156","3","3","3"
"7885.265273881","3","3","3"
"7895.27022877","3","3","3"
"7905.266345841","3","3","3"
"7915.276220111","3","3","3"
"7925.272496546","3","3","3"
"7935.26792506","3","3","3"
"7945.272976741","3","3","3"
"7955.265820771","3","3","3"
"7965.268185421","3","3","3"
"7975.26763435","3","3","3"
"7985.267074625","3","3","3"
"7995.277509251","3","3","3"
"8005.266427183","3","3","3"
"8015.269814234","3","3","3"
"8025.27158616","3","3","3"
"8035.275325862","3","3","3"
"8045.268843485","3","3","3"
"8055.266481915","3","3","3"
"8065.267674196","3","3","3"
"8075.268127008","3","3","3"
"8085.266431397","3","3","3"
"8095.27480162","3","3","3"
"8105.273339241","3","3","3"
"8115.269563651","3","3","3"
"8125.267104395","3","3","3"
"8135.2686717","3","3","3"
"8145.269789294","3","3","3"
"8155.266340802","3","3","3"
"8165.267592278","3","3","3"
"8175.271068852","3","3","3"
"8185.276717066","3","3","3"
"8195.268802094","3","3","3"
"8205.267729504","3","3","3"
"8215.268193634","3","3","3"
"8225.270518576","3","3","3"
"8235.267365274","3","3","3"
"8245.274156326","3","3","3"
"8255.273009137","3","3","3"
"8265.274999011","3","3","3"
"8275.265605066","3","3","3"
"8285.268252333","3","3","3"
"8295.269829436","3","3","3"
"8305.266998827","3","3","3"
"8315.265139827","3","3","3"
"8325.269405514","3","3","3"
"8335.274539372","3","3","3"
"8345.265611752","3","3","3"
"8355.267793384","3","3","3"
"8365.268409953","3","3","3"
"8375.276332272","3","3","3"
"8385.266576488","3","3","3"
"8395.266200728","3","3","3"
"8405.268607634","3","3","3"
"8415.276418391","3","3","3"
"8425.265950247","3","3","3"
"8435.272815348","3","3","3"
"8445.270626781","3","3","3"
"8455.267598784","3","3","3"
"8465.266206648","3","3","3"
"8475.268470184","3","3","3"
"8485.266612965","3","3","3"
"8495.26869236","3","3","3"
"8505.268440931","3","3","3"
"8515.27836093","3","3","3"
"8525.269459114","3","3","3"
"8535.267885106","3","3","3"
"8545.267454357","3","3","3"
"8555.26898574","3","3","3"
"8565.267413992","3","3","3"
"8575.276947969","3","3","3"
"8585.26742504","3","3","3"
"8595.267452625","3","3","3"
"8605.26826857","3","3","3"
"8615.265246389","3","3","3"
"8625.267366157","3","3","3"
"8635.265257041","3","3","3"
"8645.26585124","3","3","3"
"8655.273018165","3","3","3"
"8665.271073848","3","3","3"
"8675.268754561","3","3","3"
"8685.276414871","3","3","3"
"8695.268722379","3","3","3"
"8705.266311138","3","3","3"
"8715.276038951","3","3","3"
"8725.273343637","3","3","3"
"8735.265695031","3","3","3"
"8745.267935587","3","3","3"
"8755.269133347","3","3","3"
"8765.2715031","3","3","3"
"8775.270426213","3","3","3"
"8785.268191937","3","3","3"
"8795.265617615","3","3","3"
"8805.267776307","3","3","3"
"8815.274644143","3","3","3"
"8825.274660978","3","3","3"
"8835.278396458","3","3","3"
"8845.2654304","3","3","3"
"8855.267890467","3","3","3"
"8865.266228091","3","3","3"
"8875.269123862","3","3","3"
"8885.269069715","3","3","3"
"8895.267536322","3","3","3"
"8905.265244871","3","3","3"
"8915.271250323","3","3","3"
"8925.276096093","3","3","3"
"8935.276339074","3","3","3"
"8945.272748088","3","3","3"
"8955.269456822","3","3","3"
"8965.265281538","3","3","3"
"8975.271515029","3","3","3"
"8985.269014141","3","3","3"
"8995.265411324","3","3","3"
"9005.268323305","3","3","3"
"9015.265721188","3","3","3"
"9025.268935439","3","3","3"
"9035.266917739","3","3","3"
"9045.2719885","3","3","3"
"9055.274689111","3","3","3"
"9065.266909936","3","3","3"
"9075.270381377","3","3","3"
"9085.273346033","3","3","3"
"9095.269162505","3","3","3"
"9105.277780919","3","3","3"
"9115.277108299","3","3","3"
"9125.274484144","3","3","3"
"9135.271302515","3","3","3"
"9145.267071038","3","3","3"
"9155.266665828","3","3","3"
"9165.27909498","3","3","3"
"9175.266830065","3","3","3"
"9185.265888464","3","3","3"
"9195.274581797","3","3","3"
"9205.26662533","3","3","3"
"9215.267609008","3","3","3"
"9225.267113125","3","3","3"
"9235.26572732","3","3","3"
"9245.267498435","3","3","3"
"9255.26835974","3","3","3"
"9265.268277893","3","3","3"
"9275.270864159","3","3","3"
"9285.266752477","3","3","3"
"9295.273911527","3","3","3"
"9305.278531191","3","3","3"
"9315.270658917","3","3","3"
"9325.269537607","3","3","3"
"9335.265170431","3","3","3"
"9345.266301986","3","3","3"
"9355.266016364","3","3","3"
"9365.269590554","3","3","3"
"9375.267738864","3","3","3"
"9385.265588342","3","3","3"
"9395.265890702","3","3","3"
"9405.265575858","3","3","3"
"9415.267240293","3","3","3"
"9425.266128459","3","3","3"
"9435.268379195","3","3","3"
"9445.271881495","3","3","3"
"9455.266401686","3","3","3"
"9465.267981138","3","3","3"
"9475.273011463","3","3","3"
"9485.266715943","3","3","3"
"9495.269697907","3","3","3"
"9505.265893114","3","3","3"
"9515.272278192","3","3","3"
"9525.270337106","3","3","3"
"9535.268401599","3","3","3"
"9545.265462722","3","3","3"
"9555.267834371","3","3","3"
"9565.267606317","3","3","3"
"9575.267019192","3","3","3"
"9585.270231227","3","3","3"
"9595.26696636","3","3","3"
"9605.265903156","3","3","3"
"9615.26774542","3","3","3"
"9625.269185254","3","3","3"
"9635.267727176","3","3","3"
"9645.266396759","3","3","3"
"9655.272515105","3","3","3"
"9665.268029718","3","3","3"
"9675.269545992","3","3","3"
"9685.266314763","3","3","3"
"9695.269770489","3","3","3"
"9705.273319382","3","3","3"
"9715.275284489","3","3","3"
"9725.275064875","3","3","3"
"9735.26697469","3","3","3"
"9745.26799186","3","3","3"
"9755.26767202","3","3","3"
"9765.268969869","3","3","3"
"9775.269105248","3","3","3"
"9785.26546911","3","3","3"
"9795.267035891","3","3","3"
"9805.267757588","3","3","3"
"9815.267301091","3","3","3"
"9825.268523093","3","3","3"
"9835.266586706","3","3","3"
"9845.267572181","3","3","3"
"9855.269326867","3","3","3"
"9865.26583842","3","3","3"
"9875.2674505","3","3","3"
"9885.277146634","3","3","3"
"9895.276915435","3","3","3"
"9905.268414401","3","3","3"
"9915.268494173","3","3","3"
"9925.268094982","3","3","3"
"9935.267883178","3","3","3"
"9945.267173253","3","3","3"
"9955.266417081","3","3","3"
