"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/gpu.0.smClock","StudyAbroadGPT-7B-continued - system/gpu.0.smClock__MIN","StudyAbroadGPT-7B-continued - system/gpu.0.smClock__MAX","StudyAbroadGPT-7B-continued - system/gpu.1.smClock","StudyAbroadGPT-7B-continued - system/gpu.1.smClock__MIN","StudyAbroadGPT-7B-continued - system/gpu.1.smClock__MAX"
"2555.267816106","600","600","600","585","585","585"
"2565.267601776","630","630","630","585","585","585"
"2575.265118334","585","585","585","585","585","585"
"2585.265934865","525","525","525","585","585","585"
"2595.268348133","615","615","615","585","585","585"
"2605.265436982","660","660","660","585","585","585"
"2615.271201909","615","615","615","585","585","585"
"2625.269559732","660","660","660","585","585","585"
"2635.273707077","600","600","600","585","585","585"
"2645.268105033","645","645","645","585","585","585"
"2655.267836099","630","630","630","585","585","585"
"2665.266293895","525","525","525","585","585","585"
"2675.278267345","570","570","570","585","585","585"
"2685.265511633","750","750","750","585","585","585"
"2695.266600786","585","585","585","585","585","585"
"2705.272781807","465","465","465","585","585","585"
"2715.269744156","615","615","615","585","585","585"
"2725.265505364","540","540","540","585","585","585"
"2735.270146616","540","540","540","585","585","585"
"2745.280402169","1170","1170","1170","585","585","585"
"2755.276097714","540","540","540","585","585","585"
"2765.268603386","585","585","585","585","585","585"
"2775.268015315","600","600","600","585","585","585"
"2785.267317265","990","990","990","585","585","585"
"2795.267111057","510","510","510","585","585","585"
"2805.266532622","600","600","600","585","585","585"
"2815.270501722","585","585","585","585","585","585"
"2825.266518576","525","525","525","585","585","585"
"2835.267824103","615","615","615","585","585","585"
"2845.265712586","465","465","465","585","585","585"
"2855.265060446","765","765","765","585","585","585"
"2865.266951665","645","645","645","585","585","585"
"2875.267031396","600","600","600","585","585","585"
"2885.268632402","600","600","600","585","585","585"
"2895.265928464","735","735","735","585","585","585"
"2905.267130844","465","465","465","585","585","585"
"2915.269853103","615","615","615","585","585","585"
"2925.278221941","510","510","510","585","585","585"
"2935.276070701","600","600","600","585","585","585"
"2945.265646511","555","555","555","585","585","585"
"2955.272268848","435","435","435","585","585","585"
"2965.265286886","660","660","660","585","585","585"
"2975.26700083","990","990","990","585","585","585"
"2985.2660491","630","630","630","585","585","585"
"2995.268222264","570","570","570","585","585","585"
"3005.269070349","960","960","960","585","585","585"
"3015.265623971","495","495","495","585","585","585"
"3025.269203756","720","720","720","585","585","585"
"3035.269152952","615","615","615","585","585","585"
"3045.269588767","615","615","615","585","585","585"
"3055.269526513","675","675","675","585","585","585"
"3065.267139719","555","555","555","585","585","585"
"3075.279191049","450","450","450","585","585","585"
"3085.270902954","630","630","630","585","585","585"
"3095.270076773","705","705","705","585","585","585"
"3105.274963408","600","600","600","585","585","585"
"3115.270393832","600","600","600","585","585","585"
"3125.26795194","930","930","930","585","585","585"
"3135.268784579","975","975","975","585","585","585"
"3145.266816525","615","615","615","585","585","585"
"3155.27051942","585","585","585","585","585","585"
"3165.268498837","600","600","600","585","585","585"
"3175.267251274","555","555","555","585","585","585"
"3185.265566903","750","750","750","585","585","585"
"3195.275283592","1005","1005","1005","585","585","585"
"3205.266435502","615","615","615","585","585","585"
"3215.268662772","525","525","525","585","585","585"
"3225.268206969","615","615","615","585","585","585"
"3235.273724345","810","810","810","585","585","585"
"3245.268435264","600","600","600","585","585","585"
"3255.271103186","585","585","585","585","585","585"
"3265.267122801","810","810","810","585","585","585"
"3275.265538709","615","615","615","585","585","585"
"3285.266646826","525","525","525","585","585","585"
"3295.267352692","600","600","600","585","585","585"
"3305.264893953","630","630","630","585","585","585"
"3315.268723197","750","750","750","585","585","585"
"3325.266827672","1005","1005","1005","585","585","585"
"3335.276772017","840","840","840","585","585","585"
"3345.268926769","675","675","675","585","585","585"
"3355.268556798","795","795","795","585","585","585"
"3365.26710819","495","495","495","585","585","585"
"3375.267515237","615","615","615","585","585","585"
"3385.267909624","555","555","555","585","585","585"
"3395.265377318","525","525","525","585","585","585"
"3405.274094482","690","690","690","585","585","585"
"3415.272278842","615","615","615","585","585","585"
"3425.26842753","735","735","735","585","585","585"
"3435.270209751","900","900","900","585","585","585"
"3445.270338098","450","450","450","585","585","585"
"3455.2669032","750","750","750","585","585","585"
"3465.273420404","495","495","495","585","585","585"
"3475.269653671","570","570","570","585","585","585"
"3485.269522908","735","735","735","585","585","585"
"3495.26729341","615","615","615","585","585","585"
"3505.267397557","600","600","600","585","585","585"
"3515.267857542","930","930","930","585","585","585"
"3525.27032725","720","720","720","585","585","585"
"3535.268625025","600","600","600","585","585","585"
"3545.265003903","600","600","600","585","585","585"
"3555.26997253","645","645","645","585","585","585"
"3565.273418996","795","795","795","585","585","585"
"3575.268195737","795","795","795","585","585","585"
"3585.26582559","585","585","585","585","585","585"
"3595.268121905","675","675","675","585","585","585"
"3605.267472908","615","615","615","585","585","585"
"3615.273141294","600","600","600","585","585","585"
"3625.266851376","600","600","600","585","585","585"
"3635.26565782","480","480","480","585","585","585"
"3645.267749578","690","690","690","585","585","585"
"3655.272397374","570","570","570","585","585","585"
"3665.269606543","555","555","555","585","585","585"
"3675.270597783","630","630","630","585","585","585"
"3685.267994311","585","585","585","585","585","585"
"3695.268590445","615","615","615","585","585","585"
"3705.266582141","600","600","600","585","585","585"
"3715.268723163","480","480","480","585","585","585"
"3725.269654647","600","600","600","585","585","585"
"3735.269984925","510","510","510","585","585","585"
"3745.265890704","600","600","600","585","585","585"
"3755.267749161","645","645","645","585","585","585"
"3765.266643494","600","600","600","585","585","585"
"3775.265299793","780","780","780","585","585","585"
"3785.268005147","675","675","675","585","585","585"
"3795.267068091","480","480","480","585","585","585"
"3805.267598656","600","600","600","585","585","585"
"3815.267139402","660","660","660","585","585","585"
"3825.267305784","630","630","630","585","585","585"
"3835.265849396","600","600","600","585","585","585"
"3845.271409916","585","585","585","585","585","585"
"3855.267823007","540","540","540","585","585","585"
"3865.270247847","690","690","690","585","585","585"
"3875.266918617","555","555","555","585","585","585"
"3885.272401969","630","630","630","585","585","585"
"3895.27121305","720","720","720","585","585","585"
"3905.267759192","585","585","585","585","585","585"
"3915.272368051","630","630","630","585","585","585"
"3925.266281319","900","900","900","585","585","585"
"3935.268206974","585","585","585","585","585","585"
"3945.267196585","705","705","705","585","585","585"
"3955.265771097","945","945","945","585","585","585"
"3965.268397943","480","480","480","585","585","585"
"3975.267625979","615","615","615","585","585","585"
"3985.271219111","600","600","600","585","585","585"
"3995.266610805","630","630","630","585","585","585"
"4005.273735553","585","585","585","585","585","585"
"4015.266686821","600","600","600","585","585","585"
"4025.267165875","660","660","660","585","585","585"
"4035.276413417","720","720","720","585","585","585"
"4045.267300774","600","600","600","585","585","585"
"4055.264957835","660","660","660","585","585","585"
"4065.267786781","780","780","780","585","585","585"
"4075.275773729","720","720","720","585","585","585"
"4085.267142924","585","585","585","585","585","585"
"4095.266520784","585","585","585","585","585","585"
"4105.275108667","645","645","645","585","585","585"
"4115.276663836","765","765","765","585","585","585"
"4125.265455144","615","615","615","585","585","585"
"4135.26946361","510","510","510","585","585","585"
"4145.276639446","615","615","615","585","585","585"
"4155.267319856","585","585","585","585","585","585"
"4165.274283927","765","765","765","585","585","585"
"4175.26712252","630","630","630","585","585","585"
"4185.266233895","900","900","900","585","585","585"
"4195.26635952","630","630","630","585","585","585"
"4205.269411148","630","630","630","585","585","585"
"4215.26673456","870","870","870","585","585","585"
"4225.26550228","540","540","540","585","585","585"
"4235.267328264","435","435","435","585","585","585"
"4245.266318214","615","615","615","585","585","585"
"4255.266614958","600","600","600","585","585","585"
"4265.265517181","720","720","720","585","585","585"
"4275.272976763","615","615","615","585","585","585"
"4285.273362119","735","735","735","585","585","585"
"4295.265061183","540","540","540","585","585","585"
"4305.267671354","585","585","585","585","585","585"
"4315.265926034","525","525","525","585","585","585"
"4325.267251009","630","630","630","585","585","585"
"4335.269224025","615","615","615","585","585","585"
"4345.26694564","600","600","600","585","585","585"
"4355.270572955","435","435","435","585","585","585"
"4365.266378654","510","510","510","585","585","585"
"4375.265651501","615","615","615","585","585","585"
"4385.268049793","510","510","510","585","585","585"
"4395.268211414","570","570","570","585","585","585"
"4405.267714614","690","690","690","585","585","585"
"4415.271363374","585","585","585","585","585","585"
"4425.268786165","510","510","510","585","585","585"
"4435.267331869","645","645","645","585","585","585"
"4445.26683265","525","525","525","585","585","585"
"4455.26782635","555","555","555","585","585","585"
"4465.267118286","600","600","600","585","585","585"
"4475.268633217","585","585","585","585","585","585"
"4485.26775339","795","795","795","585","585","585"
"4495.266762529","615","615","615","585","585","585"
"4505.274477632","840","840","840","585","585","585"
"4515.274520474","600","600","600","585","585","585"
"4525.266903626","585","585","585","585","585","585"
"4535.265560312","1020","1020","1020","585","585","585"
"4545.273385161","840","840","840","585","585","585"
"4555.26721518","540","540","540","585","585","585"
"4565.265499896","495","495","495","585","585","585"
"4575.269778184","600","600","600","585","585","585"
"4585.266883774","870","870","870","585","585","585"
"4595.265222364","465","465","465","585","585","585"
"4605.269847287","585","585","585","585","585","585"
"4615.267013194","510","510","510","585","585","585"
"4625.267484232","450","450","450","585","585","585"
"4635.267860473","510","510","510","585","585","585"
"4645.267600478","585","585","585","585","585","585"
"4655.271608586","570","570","570","585","585","585"
"4665.268299989","555","555","555","585","585","585"
"4675.26751027","540","540","540","585","585","585"
"4685.266286575","600","600","600","585","585","585"
"4695.269020222","810","810","810","585","585","585"
"4705.26771586","555","555","555","585","585","585"
"4715.266606133","450","450","450","585","585","585"
"4725.265748255","630","630","630","585","585","585"
"4735.270064113","585","585","585","585","585","585"
"4745.267499407","480","480","480","585","585","585"
"4755.266979495","555","555","555","585","585","585"
"4765.267470766","480","480","480","585","585","585"
"4775.266436876","975","975","975","585","585","585"
"4785.267799305","615","615","615","585","585","585"
"4795.265684789","570","570","570","585","585","585"
"4805.265177495","585","585","585","585","585","585"
"4815.266807389","585","585","585","585","585","585"
"4825.270000143","600","600","600","585","585","585"
"4835.265750418","615","615","615","585","585","585"
"4845.274690517","570","570","570","585","585","585"
"4855.269076041","540","540","540","585","585","585"
"4865.276600762","810","810","810","585","585","585"
"4875.266924693","630","630","630","585","585","585"
"4885.268453481","615","615","615","585","585","585"
"4895.268693889","885","885","885","585","585","585"
"4905.275992369","705","705","705","585","585","585"
"4915.268371933","930","930","930","585","585","585"
"4925.267113892","600","600","600","585","585","585"
"4935.27919284","435","435","435","585","585","585"
"4945.266736385","600","600","600","585","585","585"
"4955.264933407","570","570","570","585","585","585"
"4965.267596265","525","525","525","585","585","585"
"4975.267483481","765","765","765","585","585","585"
"4985.266788367","570","570","570","585","585","585"
"4995.267532653","600","600","600","585","585","585"
"5005.265115437","600","600","600","585","585","585"
"5015.27153468","630","630","630","585","585","585"
"5025.272049529","690","690","690","585","585","585"
"5035.268537376","720","720","720","585","585","585"
"5045.26741715","705","705","705","585","585","585"
"5055.267841617","750","750","750","585","585","585"
"5065.26559602","540","540","540","585","585","585"
"5075.267271604","630","630","630","585","585","585"
"5085.269293544","600","600","600","585","585","585"
"5095.267006693","855","855","855","585","585","585"
"5105.267314922","450","450","450","585","585","585"
"5115.266291201","540","540","540","585","585","585"
"5125.265724615","885","885","885","585","585","585"
"5135.266187905","660","660","660","585","585","585"
"5145.267763353","480","480","480","585","585","585"
"5155.273462842","420","420","420","585","585","585"
"5165.276403101","780","780","780","585","585","585"
"5175.271563312","570","570","570","585","585","585"
"5185.267206336","600","600","600","585","585","585"
"5195.265589683","720","720","720","585","585","585"
"5205.267792648","600","600","600","585","585","585"
"5215.270969732","660","660","660","585","585","585"
"5225.268759099","435","435","435","585","585","585"
"5235.265610403","765","765","765","585","585","585"
"5245.271084424","540","540","540","585","585","585"
"5255.269715935","525","525","525","585","585","585"
"5265.27437571","645","645","645","585","585","585"
"5275.268382728","495","495","495","585","585","585"
"5285.267564397","570","570","570","585","585","585"
"5295.276783446","585","585","585","585","585","585"
"5305.269612032","600","600","600","585","585","585"
"5315.274516796","630","630","630","585","585","585"
"5325.284928808","930","930","930","585","585","585"
"5335.265507851","615","615","615","585","585","585"
"5345.267073313","615","615","615","585","585","585"
"5355.266314418","615","615","615","585","585","585"
"5365.267197447","615","615","615","585","585","585"
"5375.266294043","615","615","615","585","585","585"
"5385.266353087","600","600","600","585","585","585"
"5395.267773171","615","615","615","585","585","585"
"5405.265548585","600","600","600","585","585","585"
"5415.268658984","615","615","615","585","585","585"
"5425.26856957","690","690","690","585","585","585"
"5435.265833728","615","615","615","585","585","585"
"5445.266763277","600","600","600","585","585","585"
"5455.267821483","705","705","705","585","585","585"
"5465.265281319","600","600","600","585","585","585"
"5475.269933096","480","480","480","585","585","585"
"5485.275016494","585","585","585","585","585","585"
"5495.275487052","540","540","540","585","585","585"
"5505.275937652","615","615","615","585","585","585"
"5515.27613732","840","840","840","585","585","585"
"5525.268709063","585","585","585","585","585","585"
"5535.265588392","780","780","780","585","585","585"
"5545.266375728","600","600","600","585","585","585"
"5555.274225934","585","585","585","585","585","585"
"5565.266261212","600","600","600","585","585","585"
"5575.268900167","585","585","585","585","585","585"
"5585.264945965","465","465","465","585","585","585"
"5595.265300676","495","495","495","585","585","585"
"5605.267850455","810","810","810","585","585","585"
"5615.267553434","585","585","585","585","585","585"
"5625.270299357","600","600","600","585","585","585"
"5635.267216317","630","630","630","585","585","585"
"5645.267517139","855","855","855","585","585","585"
"5655.268127221","570","570","570","585","585","585"
"5665.274790712","570","570","570","585","585","585"
"5675.26996395","615","615","615","585","585","585"
"5685.26583713","765","765","765","585","585","585"
"5695.268494597","915","915","915","585","585","585"
"5705.26754324","690","690","690","585","585","585"
"5715.266630139","555","555","555","585","585","585"
"5725.266980088","555","555","555","585","585","585"
"5735.267281439","495","495","495","585","585","585"
"5745.266848198","840","840","840","585","585","585"
"5755.269077492","465","465","465","585","585","585"
"5765.266697905","585","585","585","585","585","585"
"5775.267668704","615","615","615","585","585","585"
"5785.268586364","585","585","585","585","585","585"
"5795.274239431","675","675","675","585","585","585"
"5805.272994608","750","750","750","585","585","585"
"5815.268130037","525","525","525","585","585","585"
"5825.267222938","630","630","630","585","585","585"
"5835.266150224","585","585","585","585","585","585"
"5845.266233999","585","585","585","585","585","585"
"5855.26735575","600","600","600","585","585","585"
"5865.265848487","585","585","585","585","585","585"
"5875.268683511","555","555","555","585","585","585"
"5885.266616603","450","450","450","585","585","585"
"5895.26607862","675","675","675","585","585","585"
"5905.266242639","540","540","540","585","585","585"
"5915.267273191","510","510","510","585","585","585"
"5925.268047209","495","495","495","585","585","585"
"5935.273666155","600","600","600","585","585","585"
"5945.274342229","600","600","600","585","585","585"
"5955.268847884","435","435","435","585","585","585"
"5965.271374737","840","840","840","585","585","585"
"5975.271199327","735","735","735","585","585","585"
"5985.267929389","495","495","495","585","585","585"
"5995.265582978","540","540","540","585","585","585"
"6005.265023539","585","585","585","585","585","585"
"6015.271016868","510","510","510","585","585","585"
"6025.275186198","795","795","795","585","585","585"
"6035.267221564","630","630","630","585","585","585"
"6045.276702736","915","915","915","585","585","585"
"6055.275606555","1005","1005","1005","585","585","585"
"6065.265721934","495","495","495","585","585","585"
"6075.267693803","480","480","480","585","585","585"
"6085.271742501","585","585","585","585","585","585"
"6095.275981395","870","870","870","585","585","585"
"6105.274769634","885","885","885","585","585","585"
"6115.267056885","900","900","900","585","585","585"
"6125.268451437","540","540","540","585","585","585"
"6135.268369822","615","615","615","585","585","585"
"6145.267553346","600","600","600","585","585","585"
"6155.269519362","615","615","615","585","585","585"
"6165.277378796","480","480","480","585","585","585"
"6175.26903679","720","720","720","585","585","585"
"6185.265467123","570","570","570","585","585","585"
"6195.274305167","510","510","510","585","585","585"
"6205.268079926","1005","1005","1005","585","585","585"
"6215.268737001","915","915","915","585","585","585"
"6225.2660367","915","915","915","585","585","585"
"6235.268565539","600","600","600","585","585","585"
"6245.26642663","480","480","480","585","585","585"
"6255.267623485","930","930","930","585","585","585"
"6265.267818046","510","510","510","585","585","585"
"6275.26917742","600","600","600","585","585","585"
"6285.267225709","720","720","720","585","585","585"
"6295.272194858","645","645","645","585","585","585"
"6305.268300583","1005","1005","1005","585","585","585"
"6315.268093415","1065","1065","1065","585","585","585"
"6325.270108898","870","870","870","585","585","585"
"6335.265033828","570","570","570","585","585","585"
"6345.268498901","555","555","555","585","585","585"
"6355.266392848","585","585","585","585","585","585"
"6365.268633069","615","615","615","585","585","585"
"6375.267425707","450","450","450","585","585","585"
"6385.271801035","615","615","615","585","585","585"
"6395.271626093","435","435","435","585","585","585"
"6405.265698111","615","615","615","585","585","585"
"6415.27540635","810","810","810","585","585","585"
"6425.269061306","645","645","645","585","585","585"
"6435.267782121","585","585","585","585","585","585"
"6445.270612672","795","795","795","585","585","585"
"6455.267347696","990","990","990","585","585","585"
"6465.275207677","585","585","585","585","585","585"
"6475.274585848","510","510","510","585","585","585"
"6485.278296682","840","840","840","585","585","585"
"6495.269740958","600","600","600","585","585","585"
"6505.276111694","765","765","765","585","585","585"
"6515.268265732","615","615","615","585","585","585"
"6525.274278702","885","885","885","585","585","585"
"6535.270680161","855","855","855","585","585","585"
"6545.273087391","555","555","555","585","585","585"
"6555.277248723","525","525","525","585","585","585"
"6565.26728664","630","630","630","585","585","585"
"6575.268910592","525","525","525","585","585","585"
"6585.27318068","870","870","870","585","585","585"
"6595.266668499","990","990","990","585","585","585"
"6605.268957463","600","600","600","585","585","585"
"6615.266056867","615","615","615","585","585","585"
"6625.266957279","600","600","600","585","585","585"
"6635.265473202","990","990","990","585","585","585"
"6645.275069982","570","570","570","585","585","585"
"6655.266185363","660","660","660","585","585","585"
"6665.272476164","510","510","510","585","585","585"
"6675.27379124","600","600","600","585","585","585"
"6685.265847748","600","600","600","585","585","585"
"6695.267210123","450","450","450","585","585","585"
"6705.266051453","840","840","840","585","585","585"
"6715.266638701","465","465","465","585","585","585"
"6725.26536817","615","615","615","585","585","585"
"6735.266781159","705","705","705","585","585","585"
"6745.265794792","615","615","615","585","585","585"
"6755.265247524","600","600","600","585","585","585"
"6765.27254652","600","600","600","585","585","585"
"6775.274140466","675","675","675","585","585","585"
"6785.276503779","510","510","510","585","585","585"
"6795.267739525","600","600","600","585","585","585"
"6805.268997297","630","630","630","585","585","585"
"6815.266827316","600","600","600","585","585","585"
"6825.27073043","480","480","480","585","585","585"
"6835.266803449","525","525","525","585","585","585"
"6845.26717991","645","645","645","585","585","585"
"6855.265820758","855","855","855","585","585","585"
"6865.26973258","495","495","495","585","585","585"
"6875.271815064","495","495","495","585","585","585"
"6885.270234538","555","555","555","585","585","585"
"6895.271394991","810","810","810","585","585","585"
"6905.276211751","690","690","690","585","585","585"
"6915.271879911","465","465","465","585","585","585"
"6925.265851547","600","600","600","585","585","585"
"6935.270209841","525","525","525","585","585","585"
"6945.266836505","600","600","600","585","585","585"
"6955.281024488","690","690","690","585","585","585"
"6965.267114641","600","600","600","585","585","585"
"6975.269447562","600","600","600","585","585","585"
"6985.266076322","585","585","585","585","585","585"
"6995.268032843","585","585","585","585","585","585"
"7005.269211666","615","615","615","585","585","585"
"7015.275973268","510","510","510","585","585","585"
"7025.266663436","555","555","555","585","585","585"
"7035.275966887","510","510","510","585","585","585"
"7045.266856179","615","615","615","585","585","585"
"7055.273738355","795","795","795","585","585","585"
"7065.27536408","630","630","630","585","585","585"
"7075.270250738","600","600","600","585","585","585"
"7085.268842805","585","585","585","585","585","585"
"7095.27530527","480","480","480","585","585","585"
"7105.26739402","480","480","480","585","585","585"
"7115.269227128","540","540","540","585","585","585"
"7125.268434927","645","645","645","585","585","585"
"7135.267049822","510","510","510","585","585","585"
"7145.268309409","1005","1005","1005","585","585","585"
"7155.271621196","510","510","510","585","585","585"
"7165.276411092","465","465","465","585","585","585"
"7175.27169243","765","765","765","585","585","585"
"7185.269609123","585","585","585","585","585","585"
"7195.267688967","615","615","615","585","585","585"
"7205.273443367","480","480","480","585","585","585"
"7215.268201523","630","630","630","585","585","585"
"7225.274729161","555","555","555","585","585","585"
"7235.267122906","480","480","480","585","585","585"
