"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/learning_rate","StudyAbroadGPT-7B - train/learning_rate__MIN","StudyAbroadGPT-7B - train/learning_rate__MAX"
"51","64","64","64","0.00016945454545454547","0.00016945454545454547","0.00016945454545454547"
"52","65","65","65","0.00016872727272727273","0.00016872727272727273","0.00016872727272727273"
"53","66","66","66","0.000168","0.000168","0.000168"
"54","67","67","67","0.00016727272727272728","0.00016727272727272728","0.00016727272727272728"
"55","68","68","68","0.00016654545454545456","0.00016654545454545456","0.00016654545454545456"
"56","69","69","69","0.00016581818181818182","0.00016581818181818182","0.00016581818181818182"
"57","70","70","70","0.00016509090909090908","0.00016509090909090908","0.00016509090909090908"
"58","71","71","71","0.00016436363636363637","0.00016436363636363637","0.00016436363636363637"
"59","72","72","72","0.00016363636363636366","0.00016363636363636366","0.00016363636363636366"
"60","73","73","73","0.00016290909090909092","0.00016290909090909092","0.00016290909090909092"
"61","74","74","74","0.00016218181818181818","0.00016218181818181818","0.00016218181818181818"
"62","75","75","75","0.00016145454545454547","0.00016145454545454547","0.00016145454545454547"
"63","76","76","76","0.00016072727272727273","0.00016072727272727273","0.00016072727272727273"
"64","77","77","77","0.00016","0.00016","0.00016"
"65","78","78","78","0.00015927272727272727","0.00015927272727272727","0.00015927272727272727"
"66","79","79","79","0.00015854545454545456","0.00015854545454545456","0.00015854545454545456"
"67","80","80","80","0.00015781818181818182","0.00015781818181818182","0.00015781818181818182"
"68","81","81","81","0.00015709090909090908","0.00015709090909090908","0.00015709090909090908"
"69","82","82","82","0.00015636363636363637","0.00015636363636363637","0.00015636363636363637"
"70","83","83","83","0.00015563636363636365","0.00015563636363636365","0.00015563636363636365"
"71","84","84","84","0.00015490909090909091","0.00015490909090909091","0.00015490909090909091"
"72","85","85","85","0.00015418181818181817","0.00015418181818181817","0.00015418181818181817"
"73","86","86","86","0.00015345454545454546","0.00015345454545454546","0.00015345454545454546"
"74","87","87","87","0.00015272727272727275","0.00015272727272727275","0.00015272727272727275"
"75","88","88","88","0.000152","0.000152","0.000152"
"76","89","89","89","0.00015127272727272727","0.00015127272727272727","0.00015127272727272727"
"77","90","90","90","0.00015054545454545456","0.00015054545454545456","0.00015054545454545456"
"78","91","91","91","0.00014981818181818184","0.00014981818181818184","0.00014981818181818184"
"79","92","92","92","0.0001490909090909091","0.0001490909090909091","0.0001490909090909091"
"80","93","93","93","0.00014836363636363636","0.00014836363636363636","0.00014836363636363636"
"81","94","94","94","0.00014763636363636365","0.00014763636363636365","0.00014763636363636365"
"82","95","95","95","0.0001469090909090909","0.0001469090909090909","0.0001469090909090909"
"83","96","96","96","0.0001461818181818182","0.0001461818181818182","0.0001461818181818182"
"84","97","97","97","0.00014545454545454546","0.00014545454545454546","0.00014545454545454546"
"85","98","98","98","0.00014472727272727274","0.00014472727272727274","0.00014472727272727274"
"86","99","99","99","0.000144","0.000144","0.000144"
"87","100","100","100","0.00014327272727272726","0.00014327272727272726","0.00014327272727272726"
"88","101","101","101","0.00014254545454545455","0.00014254545454545455","0.00014254545454545455"
"89","102","102","102","0.00014181818181818184","0.00014181818181818184","0.00014181818181818184"
"90","103","103","103","0.0001410909090909091","0.0001410909090909091","0.0001410909090909091"
"91","104","104","104","0.00014036363636363636","0.00014036363636363636","0.00014036363636363636"
"92","105","105","105","0.00013963636363636364","0.00013963636363636364","0.00013963636363636364"
"93","106","106","106","0.00013890909090909093","0.00013890909090909093","0.00013890909090909093"
"94","107","107","107","0.0001381818181818182","0.0001381818181818182","0.0001381818181818182"
"95","108","108","108","0.00013745454545454545","0.00013745454545454545","0.00013745454545454545"
"96","109","109","109","0.00013672727272727274","0.00013672727272727274","0.00013672727272727274"
"97","110","110","110","0.00013600000000000003","0.00013600000000000003","0.00013600000000000003"
"98","111","111","111","0.00013527272727272729","0.00013527272727272729","0.00013527272727272729"
"99","112","112","112","0.00013454545454545455","0.00013454545454545455","0.00013454545454545455"
"100","113","113","113","0.00013381818181818183","0.00013381818181818183","0.00013381818181818183"
"101","114","114","114","0.0001330909090909091","0.0001330909090909091","0.0001330909090909091"
"102","115","115","115","0.00013236363636363638","0.00013236363636363638","0.00013236363636363638"
"103","116","116","116","0.00013163636363636364","0.00013163636363636364","0.00013163636363636364"
"104","117","117","117","0.00013090909090909093","0.00013090909090909093","0.00013090909090909093"
"105","118","118","118","0.0001301818181818182","0.0001301818181818182","0.0001301818181818182"
"106","119","119","119","0.00012945454545454545","0.00012945454545454545","0.00012945454545454545"
"107","120","120","120","0.00012872727272727273","0.00012872727272727273","0.00012872727272727273"
"108","121","121","121","0.00012800000000000002","0.00012800000000000002","0.00012800000000000002"
"109","122","122","122","0.00012727272727272728","0.00012727272727272728","0.00012727272727272728"
"110","123","123","123","0.00012654545454545454","0.00012654545454545454","0.00012654545454545454"
"111","124","124","124","0.00012581818181818183","0.00012581818181818183","0.00012581818181818183"
"112","125","125","125","0.00012509090909090912","0.00012509090909090912","0.00012509090909090912"
"113","126","126","126","0.00012436363636363638","0.00012436363636363638","0.00012436363636363638"
"114","127","127","127","0.00012363636363636364","0.00012363636363636364","0.00012363636363636364"
"115","128","128","128","0.0001229090909090909","0.0001229090909090909","0.0001229090909090909"
"116","129","129","129","0.0001221818181818182","0.0001221818181818182","0.0001221818181818182"
"117","130","130","130","0.00012145454545454547","0.00012145454545454547","0.00012145454545454547"
"118","131","131","131","0.00012072727272727273","0.00012072727272727273","0.00012072727272727273"
"119","132","132","132","0.00012","0.00012","0.00012"
"120","133","133","133","0.00011927272727272726","0.00011927272727272726","0.00011927272727272726"
"121","134","134","134","0.00011854545454545456","0.00011854545454545456","0.00011854545454545456"
"122","135","135","135","0.00011781818181818182","0.00011781818181818182","0.00011781818181818182"
"123","136","136","136","0.0001170909090909091","0.0001170909090909091","0.0001170909090909091"
"124","137","137","137","0.00011636363636363636","0.00011636363636363636","0.00011636363636363636"
"125","138","138","138","0.00011563636363636363","0.00011563636363636363","0.00011563636363636363"
"126","139","139","139","0.00011490909090909092","0.00011490909090909092","0.00011490909090909092"
"127","140","140","140","0.00011418181818181819","0.00011418181818181819","0.00011418181818181819"
"128","141","141","141","0.00011345454545454545","0.00011345454545454545","0.00011345454545454545"
"129","142","142","142","0.00011272727272727272","0.00011272727272727272","0.00011272727272727272"
"130","143","143","143","0.00011200000000000001","0.00011200000000000001","0.00011200000000000001"
"131","144","144","144","0.00011127272727272729","0.00011127272727272729","0.00011127272727272729"
"132","145","145","145","0.00011054545454545455","0.00011054545454545455","0.00011054545454545455"
"133","146","146","146","0.00010981818181818182","0.00010981818181818182","0.00010981818181818182"
"134","147","147","147","0.00010909090909090909","0.00010909090909090909","0.00010909090909090909"
"135","148","148","148","0.00010836363636363638","0.00010836363636363638","0.00010836363636363638"
"136","149","149","149","0.00010763636363636365","0.00010763636363636365","0.00010763636363636365"
"137","150","150","150","0.00010690909090909091","0.00010690909090909091","0.00010690909090909091"
"138","151","151","151","0.00010618181818181819","0.00010618181818181819","0.00010618181818181819"
"139","152","152","152","0.00010545454545454545","0.00010545454545454545","0.00010545454545454545"
"140","153","153","153","0.00010472727272727275","0.00010472727272727275","0.00010472727272727275"
"141","154","154","154","0.00010400000000000001","0.00010400000000000001","0.00010400000000000001"
"142","155","155","155","0.00010327272727272728","0.00010327272727272728","0.00010327272727272728"
"143","156","156","156","0.00010254545454545454","0.00010254545454545454","0.00010254545454545454"
"144","157","157","157","0.00010181818181818181","0.00010181818181818181","0.00010181818181818181"
"145","158","158","158","0.0001010909090909091","0.0001010909090909091","0.0001010909090909091"
"146","159","159","159","0.00010036363636363637","0.00010036363636363637","0.00010036363636363637"
"147","160","160","160","0.00009963636363636363","0.00009963636363636363","0.00009963636363636363"
"148","161","161","161","0.00009890909090909092","0.00009890909090909092","0.00009890909090909092"
"149","162","162","162","0.00009818181818181818","0.00009818181818181818","0.00009818181818181818"
"150","163","163","163","0.00009745454545454546","0.00009745454545454546","0.00009745454545454546"
"151","164","164","164","0.00009672727272727273","0.00009672727272727273","0.00009672727272727273"
"152","165","165","165","0.000096","0.000096","0.000096"
"153","166","166","166","0.00009527272727272728","0.00009527272727272728","0.00009527272727272728"
"154","167","167","167","0.00009454545454545455","0.00009454545454545455","0.00009454545454545455"
"155","168","168","168","0.00009381818181818182","0.00009381818181818182","0.00009381818181818182"
"156","169","169","169","0.0000930909090909091","0.0000930909090909091","0.0000930909090909091"
"157","170","170","170","0.00009236363636363636","0.00009236363636363636","0.00009236363636363636"
"158","171","171","171","0.00009163636363636364","0.00009163636363636364","0.00009163636363636364"
"159","172","172","172","0.00009090909090909092","0.00009090909090909092","0.00009090909090909092"
"160","173","173","173","0.00009018181818181819","0.00009018181818181819","0.00009018181818181819"
"161","174","174","174","0.00008945454545454546","0.00008945454545454546","0.00008945454545454546"
"162","175","175","175","0.00008872727272727274","0.00008872727272727274","0.00008872727272727274"
"163","176","176","176","0.00008800000000000001","0.00008800000000000001","0.00008800000000000001"
"164","177","177","177","0.00008727272727272727","0.00008727272727272727","0.00008727272727272727"
"165","178","178","178","0.00008654545454545456","0.00008654545454545456","0.00008654545454545456"
"166","179","179","179","0.00008581818181818182","0.00008581818181818182","0.00008581818181818182"
"167","180","180","180","0.0000850909090909091","0.0000850909090909091","0.0000850909090909091"
"168","181","181","181","0.00008436363636363637","0.00008436363636363637","0.00008436363636363637"
"169","182","182","182","0.00008363636363636364","0.00008363636363636364","0.00008363636363636364"
"170","183","183","183","0.00008290909090909091","0.00008290909090909091","0.00008290909090909091"
"171","184","184","184","0.00008218181818181819","0.00008218181818181819","0.00008218181818181819"
"172","185","185","185","0.00008145454545454546","0.00008145454545454546","0.00008145454545454546"
"173","186","186","186","0.00008072727272727273","0.00008072727272727273","0.00008072727272727273"
"174","187","187","187","0.00008","0.00008","0.00008"
"175","188","188","188","0.00007927272727272728","0.00007927272727272728","0.00007927272727272728"
"176","189","189","189","0.00007854545454545454","0.00007854545454545454","0.00007854545454545454"
"177","190","190","190","0.00007781818181818183","0.00007781818181818183","0.00007781818181818183"
"178","191","191","191","0.00007709090909090909","0.00007709090909090909","0.00007709090909090909"
"179","192","192","192","0.00007636363636363637","0.00007636363636363637","0.00007636363636363637"
"180","193","193","193","0.00007563636363636363","0.00007563636363636363","0.00007563636363636363"
"181","194","194","194","0.00007490909090909092","0.00007490909090909092","0.00007490909090909092"
"182","195","195","195","0.00007418181818181818","0.00007418181818181818","0.00007418181818181818"
"183","196","196","196","0.00007345454545454545","0.00007345454545454545","0.00007345454545454545"
"184","197","197","197","0.00007272727272727273","0.00007272727272727273","0.00007272727272727273"
"185","198","198","198","0.000072","0.000072","0.000072"
"186","199","199","199","0.00007127272727272728","0.00007127272727272728","0.00007127272727272728"
"187","200","200","200","0.00007054545454545455","0.00007054545454545455","0.00007054545454545455"
"188","201","201","201","0.00006981818181818182","0.00006981818181818182","0.00006981818181818182"
"189","202","202","202","0.0000690909090909091","0.0000690909090909091","0.0000690909090909091"
"190","203","203","203","0.00006836363636363637","0.00006836363636363637","0.00006836363636363637"
"191","204","204","204","0.00006763636363636364","0.00006763636363636364","0.00006763636363636364"
"192","205","205","205","0.00006690909090909092","0.00006690909090909092","0.00006690909090909092"
"193","206","206","206","0.00006618181818181819","0.00006618181818181819","0.00006618181818181819"
"194","207","207","207","0.00006545454545454546","0.00006545454545454546","0.00006545454545454546"
"195","208","208","208","0.00006472727272727272","0.00006472727272727272","0.00006472727272727272"
"196","209","209","209","0.00006400000000000001","0.00006400000000000001","0.00006400000000000001"
"197","210","210","210","0.00006327272727272727","0.00006327272727272727","0.00006327272727272727"
"198","211","211","211","0.00006254545454545456","0.00006254545454545456","0.00006254545454545456"
"199","212","212","212","0.00006181818181818182","0.00006181818181818182","0.00006181818181818182"
"200","213","213","213","0.0000610909090909091","0.0000610909090909091","0.0000610909090909091"
"201","214","214","214","0.000060363636363636365","0.000060363636363636365","0.000060363636363636365"
"202","215","215","215","0.00005963636363636363","0.00005963636363636363","0.00005963636363636363"
"203","216","216","216","0.00005890909090909091","0.00005890909090909091","0.00005890909090909091"
"204","217","217","217","0.00005818181818181818","0.00005818181818181818","0.00005818181818181818"
"205","218","218","218","0.00005745454545454546","0.00005745454545454546","0.00005745454545454546"
"206","219","219","219","0.000056727272727272726","0.000056727272727272726","0.000056727272727272726"
"207","220","220","220","0.000056000000000000006","0.000056000000000000006","0.000056000000000000006"
"208","221","221","221","0.00005527272727272727","0.00005527272727272727","0.00005527272727272727"
"209","222","222","222","0.000054545454545454546","0.000054545454545454546","0.000054545454545454546"
"210","223","223","223","0.000053818181818181827","0.000053818181818181827","0.000053818181818181827"
"211","224","224","224","0.00005309090909090909","0.00005309090909090909","0.00005309090909090909"
"212","225","225","225","0.000052363636363636374","0.000052363636363636374","0.000052363636363636374"
"213","226","226","226","0.00005163636363636364","0.00005163636363636364","0.00005163636363636364"
"214","227","227","227","0.00005090909090909091","0.00005090909090909091","0.00005090909090909091"
"215","228","228","228","0.00005018181818181819","0.00005018181818181819","0.00005018181818181819"
"216","229","229","229","0.00004945454545454546","0.00004945454545454546","0.00004945454545454546"
"217","230","230","230","0.00004872727272727273","0.00004872727272727273","0.00004872727272727273"
"218","231","231","231","0.000048","0.000048","0.000048"
"219","232","232","232","0.000047272727272727275","0.000047272727272727275","0.000047272727272727275"
"220","233","233","233","0.00004654545454545455","0.00004654545454545455","0.00004654545454545455"
"221","234","234","234","0.00004581818181818182","0.00004581818181818182","0.00004581818181818182"
"222","235","235","235","0.000045090909090909095","0.000045090909090909095","0.000045090909090909095"
"223","236","236","236","0.00004436363636363637","0.00004436363636363637","0.00004436363636363637"
"224","237","237","237","0.000043636363636363636","0.000043636363636363636","0.000043636363636363636"
"225","238","238","238","0.00004290909090909091","0.00004290909090909091","0.00004290909090909091"
"226","239","239","239","0.00004218181818181818","0.00004218181818181818","0.00004218181818181818"
"227","240","240","240","0.000041454545454545456","0.000041454545454545456","0.000041454545454545456"
"228","241","241","241","0.00004072727272727273","0.00004072727272727273","0.00004072727272727273"
"229","242","242","242","0.00004","0.00004","0.00004"
"230","243","243","243","0.00003927272727272727","0.00003927272727272727","0.00003927272727272727"
"231","244","244","244","0.000038545454545454544","0.000038545454545454544","0.000038545454545454544"
"232","245","245","245","0.00003781818181818182","0.00003781818181818182","0.00003781818181818182"
"233","246","246","246","0.00003709090909090909","0.00003709090909090909","0.00003709090909090909"
"234","247","247","247","0.000036363636363636364","0.000036363636363636364","0.000036363636363636364"
"235","248","248","248","0.00003563636363636364","0.00003563636363636364","0.00003563636363636364"
"236","249","249","249","0.00003490909090909091","0.00003490909090909091","0.00003490909090909091"
"237","250","250","250","0.000034181818181818185","0.000034181818181818185","0.000034181818181818185"
"238","251","251","251","0.00003345454545454546","0.00003345454545454546","0.00003345454545454546"
"239","252","252","252","0.00003272727272727273","0.00003272727272727273","0.00003272727272727273"
"240","253","253","253","0.000032000000000000005","0.000032000000000000005","0.000032000000000000005"
"241","254","254","254","0.00003127272727272728","0.00003127272727272728","0.00003127272727272728"
"242","255","255","255","0.00003054545454545455","0.00003054545454545455","0.00003054545454545455"
"243","256","256","256","0.000029818181818181816","0.000029818181818181816","0.000029818181818181816"
"244","257","257","257","0.00002909090909090909","0.00002909090909090909","0.00002909090909090909"
"245","258","258","258","0.000028363636363636363","0.000028363636363636363","0.000028363636363636363"
"246","259","259","259","0.000027636363636363636","0.000027636363636363636","0.000027636363636363636"
"247","260","260","260","0.000026909090909090913","0.000026909090909090913","0.000026909090909090913"
"248","261","261","261","0.000026181818181818187","0.000026181818181818187","0.000026181818181818187"
"249","262","262","262","0.000025454545454545454","0.000025454545454545454","0.000025454545454545454"
"250","263","263","263","0.00002472727272727273","0.00002472727272727273","0.00002472727272727273"
"251","264","264","264","0.000024","0.000024","0.000024"
"252","265","265","265","0.000023272727272727274","0.000023272727272727274","0.000023272727272727274"
"253","266","266","266","0.000022545454545454548","0.000022545454545454548","0.000022545454545454548"
"254","267","267","267","0.000021818181818181818","0.000021818181818181818","0.000021818181818181818"
"255","268","268","268","0.00002109090909090909","0.00002109090909090909","0.00002109090909090909"
"256","269","269","269","0.000020363636363636365","0.000020363636363636365","0.000020363636363636365"
"257","270","270","270","0.000019636363636363635","0.000019636363636363635","0.000019636363636363635"
"258","271","271","271","0.00001890909090909091","0.00001890909090909091","0.00001890909090909091"
"259","272","272","272","0.000018181818181818182","0.000018181818181818182","0.000018181818181818182"
"260","273","273","273","0.000017454545454545456","0.000017454545454545456","0.000017454545454545456"
"261","274","274","274","0.00001672727272727273","0.00001672727272727273","0.00001672727272727273"
"262","275","275","275","0.000016000000000000003","0.000016000000000000003","0.000016000000000000003"
"263","276","276","276","0.000015272727272727276","0.000015272727272727276","0.000015272727272727276"
"264","277","277","277","0.000014545454545454545","0.000014545454545454545","0.000014545454545454545"
"265","278","278","278","0.000013818181818181818","0.000013818181818181818","0.000013818181818181818"
"266","279","279","279","0.000013090909090909093","0.000013090909090909093","0.000013090909090909093"
"267","280","280","280","0.000012363636363636365","0.000012363636363636365","0.000012363636363636365"
"268","281","281","281","0.000011636363636363637","0.000011636363636363637","0.000011636363636363637"
"269","282","282","282","0.000010909090909090909","0.000010909090909090909","0.000010909090909090909"
"270","283","283","283","0.000010181818181818182","0.000010181818181818182","0.000010181818181818182"
"271","284","284","284","0.000009454545454545454","0.000009454545454545454","0.000009454545454545454"
"272","285","285","285","0.000008727272727272728","0.000008727272727272728","0.000008727272727272728"
"273","286","286","286","0.000008000000000000001","0.000008000000000000001","0.000008000000000000001"
"274","287","287","287","0.000007272727272727272","0.000007272727272727272","0.000007272727272727272"
"275","288","288","288","0.000006545454545454547","0.000006545454545454547","0.000006545454545454547"
"276","289","289","289","0.0000058181818181818185","0.0000058181818181818185","0.0000058181818181818185"
"277","290","290","290","0.000005090909090909091","0.000005090909090909091","0.000005090909090909091"
"278","291","291","291","0.000004363636363636364","0.000004363636363636364","0.000004363636363636364"
"279","292","292","292","0.000003636363636363636","0.000003636363636363636","0.000003636363636363636"
"280","293","293","293","0.0000029090909090909093","0.0000029090909090909093","0.0000029090909090909093"
"281","294","294","294","0.000002181818181818182","0.000002181818181818182","0.000002181818181818182"
"282","295","295","295","0.0000014545454545454546","0.0000014545454545454546","0.0000014545454545454546"
"283","296","296","296","7.272727272727273e-7","7.272727272727273e-7","7.272727272727273e-7"
"284","297","297","297","0","0","0"
