"train/global_step","StudyAbroadGPT-7B - _step","StudyAbroadGPT-7B - _step__MIN","StudyAbroadGPT-7B - _step__MAX","StudyAbroadGPT-7B - train/epoch","StudyAbroadGPT-7B - train/epoch__MIN","StudyAbroadGPT-7B - train/epoch__MAX"
"151","164","164","164","0.5312225153913809","0.5312225153913809","0.5312225153913809"
"152","165","165","165","0.534740545294635","0.534740545294635","0.534740545294635"
"153","166","166","166","0.5382585751978892","0.5382585751978892","0.5382585751978892"
"154","167","167","167","0.5417766051011433","0.5417766051011433","0.5417766051011433"
"155","168","168","168","0.5452946350043976","0.5452946350043976","0.5452946350043976"
"156","169","169","169","0.5488126649076517","0.5488126649076517","0.5488126649076517"
"157","170","170","170","0.5523306948109059","0.5523306948109059","0.5523306948109059"
"158","171","171","171","0.55584872471416","0.55584872471416","0.55584872471416"
"159","172","172","172","0.5593667546174143","0.5593667546174143","0.5593667546174143"
"160","173","173","173","0.5628847845206685","0.5628847845206685","0.5628847845206685"
"161","174","174","174","0.5664028144239226","0.5664028144239226","0.5664028144239226"
"162","175","175","175","0.5699208443271768","0.5699208443271768","0.5699208443271768"
"163","176","176","176","0.5734388742304309","0.5734388742304309","0.5734388742304309"
"164","177","177","177","0.5769569041336852","0.5769569041336852","0.5769569041336852"
"165","178","178","178","0.5804749340369393","0.5804749340369393","0.5804749340369393"
"166","179","179","179","0.5839929639401935","0.5839929639401935","0.5839929639401935"
"167","180","180","180","0.5875109938434476","0.5875109938434476","0.5875109938434476"
"168","181","181","181","0.5910290237467019","0.5910290237467019","0.5910290237467019"
"169","182","182","182","0.594547053649956","0.594547053649956","0.594547053649956"
"170","183","183","183","0.5980650835532102","0.5980650835532102","0.5980650835532102"
"171","184","184","184","0.6015831134564644","0.6015831134564644","0.6015831134564644"
"172","185","185","185","0.6051011433597185","0.6051011433597185","0.6051011433597185"
"173","186","186","186","0.6086191732629728","0.6086191732629728","0.6086191732629728"
"174","187","187","187","0.6121372031662269","0.6121372031662269","0.6121372031662269"
"175","188","188","188","0.6156552330694811","0.6156552330694811","0.6156552330694811"
"176","189","189","189","0.6191732629727352","0.6191732629727352","0.6191732629727352"
"177","190","190","190","0.6226912928759895","0.6226912928759895","0.6226912928759895"
"178","191","191","191","0.6262093227792436","0.6262093227792436","0.6262093227792436"
"179","192","192","192","0.6297273526824978","0.6297273526824978","0.6297273526824978"
"180","193","193","193","0.633245382585752","0.633245382585752","0.633245382585752"
"181","194","194","194","0.6367634124890061","0.6367634124890061","0.6367634124890061"
"182","195","195","195","0.6402814423922604","0.6402814423922604","0.6402814423922604"
"183","196","196","196","0.6437994722955145","0.6437994722955145","0.6437994722955145"
"184","197","197","197","0.6473175021987687","0.6473175021987687","0.6473175021987687"
"185","198","198","198","0.6508355321020228","0.6508355321020228","0.6508355321020228"
"186","199","199","199","0.6543535620052771","0.6543535620052771","0.6543535620052771"
"187","200","200","200","0.6578715919085312","0.6578715919085312","0.6578715919085312"
"188","201","201","201","0.6613896218117854","0.6613896218117854","0.6613896218117854"
"189","202","202","202","0.6649076517150396","0.6649076517150396","0.6649076517150396"
"190","203","203","203","0.6684256816182937","0.6684256816182937","0.6684256816182937"
"191","204","204","204","0.671943711521548","0.671943711521548","0.671943711521548"
"192","205","205","205","0.6754617414248021","0.6754617414248021","0.6754617414248021"
"193","206","206","206","0.6789797713280563","0.6789797713280563","0.6789797713280563"
"194","207","207","207","0.6824978012313104","0.6824978012313104","0.6824978012313104"
"195","208","208","208","0.6860158311345647","0.6860158311345647","0.6860158311345647"
"196","209","209","209","0.6895338610378188","0.6895338610378188","0.6895338610378188"
"197","210","210","210","0.693051890941073","0.693051890941073","0.693051890941073"
"198","211","211","211","0.6965699208443272","0.6965699208443272","0.6965699208443272"
"199","212","212","212","0.7000879507475813","0.7000879507475813","0.7000879507475813"
"200","213","213","213","0.7036059806508356","0.7036059806508356","0.7036059806508356"
"201","214","214","214","0.7071240105540897","0.7071240105540897","0.7071240105540897"
"202","215","215","215","0.7106420404573439","0.7106420404573439","0.7106420404573439"
"203","216","216","216","0.714160070360598","0.714160070360598","0.714160070360598"
"204","217","217","217","0.7176781002638523","0.7176781002638523","0.7176781002638523"
"205","218","218","218","0.7211961301671064","0.7211961301671064","0.7211961301671064"
"206","219","219","219","0.7247141600703606","0.7247141600703606","0.7247141600703606"
"207","220","220","220","0.7282321899736148","0.7282321899736148","0.7282321899736148"
"208","221","221","221","0.731750219876869","0.731750219876869","0.731750219876869"
"209","222","222","222","0.7352682497801232","0.7352682497801232","0.7352682497801232"
"210","223","223","223","0.7387862796833773","0.7387862796833773","0.7387862796833773"
"211","224","224","224","0.7423043095866315","0.7423043095866315","0.7423043095866315"
"212","225","225","225","0.7458223394898856","0.7458223394898856","0.7458223394898856"
"213","226","226","226","0.7493403693931399","0.7493403693931399","0.7493403693931399"
"214","227","227","227","0.752858399296394","0.752858399296394","0.752858399296394"
"215","228","228","228","0.7563764291996482","0.7563764291996482","0.7563764291996482"
"216","229","229","229","0.7598944591029023","0.7598944591029023","0.7598944591029023"
"217","230","230","230","0.7634124890061565","0.7634124890061565","0.7634124890061565"
"218","231","231","231","0.7669305189094108","0.7669305189094108","0.7669305189094108"
"219","232","232","232","0.7704485488126649","0.7704485488126649","0.7704485488126649"
"220","233","233","233","0.7739665787159191","0.7739665787159191","0.7739665787159191"
"221","234","234","234","0.7774846086191732","0.7774846086191732","0.7774846086191732"
"222","235","235","235","0.7810026385224275","0.7810026385224275","0.7810026385224275"
"223","236","236","236","0.7845206684256816","0.7845206684256816","0.7845206684256816"
"224","237","237","237","0.7880386983289358","0.7880386983289358","0.7880386983289358"
"225","238","238","238","0.7915567282321899","0.7915567282321899","0.7915567282321899"
"226","239","239","239","0.7950747581354441","0.7950747581354441","0.7950747581354441"
"227","240","240","240","0.7985927880386984","0.7985927880386984","0.7985927880386984"
"228","241","241","241","0.8021108179419525","0.8021108179419525","0.8021108179419525"
"229","242","242","242","0.8056288478452067","0.8056288478452067","0.8056288478452067"
"230","243","243","243","0.8091468777484608","0.8091468777484608","0.8091468777484608"
"231","244","244","244","0.8126649076517151","0.8126649076517151","0.8126649076517151"
"232","245","245","245","0.8161829375549692","0.8161829375549692","0.8161829375549692"
"233","246","246","246","0.8197009674582234","0.8197009674582234","0.8197009674582234"
"234","247","247","247","0.8232189973614775","0.8232189973614775","0.8232189973614775"
"235","248","248","248","0.8267370272647317","0.8267370272647317","0.8267370272647317"
"236","249","249","249","0.830255057167986","0.830255057167986","0.830255057167986"
"237","250","250","250","0.8337730870712401","0.8337730870712401","0.8337730870712401"
"238","251","251","251","0.8372911169744943","0.8372911169744943","0.8372911169744943"
"239","252","252","252","0.8408091468777484","0.8408091468777484","0.8408091468777484"
"240","253","253","253","0.8443271767810027","0.8443271767810027","0.8443271767810027"
"241","254","254","254","0.8478452066842568","0.8478452066842568","0.8478452066842568"
"242","255","255","255","0.851363236587511","0.851363236587511","0.851363236587511"
"243","256","256","256","0.8548812664907651","0.8548812664907651","0.8548812664907651"
"244","257","257","257","0.8583992963940194","0.8583992963940194","0.8583992963940194"
"245","258","258","258","0.8619173262972736","0.8619173262972736","0.8619173262972736"
"246","259","259","259","0.8654353562005277","0.8654353562005277","0.8654353562005277"
"247","260","260","260","0.8689533861037819","0.8689533861037819","0.8689533861037819"
"248","261","261","261","0.872471416007036","0.872471416007036","0.872471416007036"
"249","262","262","262","0.8759894459102903","0.8759894459102903","0.8759894459102903"
"250","263","263","263","0.8795074758135444","0.8795074758135444","0.8795074758135444"
"251","264","264","264","0.8830255057167986","0.8830255057167986","0.8830255057167986"
"252","265","265","265","0.8865435356200527","0.8865435356200527","0.8865435356200527"
"253","266","266","266","0.890061565523307","0.890061565523307","0.890061565523307"
"254","267","267","267","0.8935795954265612","0.8935795954265612","0.8935795954265612"
"255","268","268","268","0.8970976253298153","0.8970976253298153","0.8970976253298153"
"256","269","269","269","0.9006156552330695","0.9006156552330695","0.9006156552330695"
"257","270","270","270","0.9041336851363236","0.9041336851363236","0.9041336851363236"
"258","271","271","271","0.9076517150395779","0.9076517150395779","0.9076517150395779"
"259","272","272","272","0.911169744942832","0.911169744942832","0.911169744942832"
"260","273","273","273","0.9146877748460862","0.9146877748460862","0.9146877748460862"
"261","274","274","274","0.9182058047493403","0.9182058047493403","0.9182058047493403"
"262","275","275","275","0.9217238346525946","0.9217238346525946","0.9217238346525946"
"263","276","276","276","0.9252418645558487","0.9252418645558487","0.9252418645558487"
"264","277","277","277","0.9287598944591029","0.9287598944591029","0.9287598944591029"
"265","278","278","278","0.9322779243623571","0.9322779243623571","0.9322779243623571"
"266","279","279","279","0.9357959542656112","0.9357959542656112","0.9357959542656112"
"267","280","280","280","0.9393139841688655","0.9393139841688655","0.9393139841688655"
"268","281","281","281","0.9428320140721196","0.9428320140721196","0.9428320140721196"
"269","282","282","282","0.9463500439753738","0.9463500439753738","0.9463500439753738"
"270","283","283","283","0.9498680738786279","0.9498680738786279","0.9498680738786279"
"271","284","284","284","0.9533861037818822","0.9533861037818822","0.9533861037818822"
"272","285","285","285","0.9569041336851363","0.9569041336851363","0.9569041336851363"
"273","286","286","286","0.9604221635883905","0.9604221635883905","0.9604221635883905"
"274","287","287","287","0.9639401934916447","0.9639401934916447","0.9639401934916447"
"275","288","288","288","0.9674582233948988","0.9674582233948988","0.9674582233948988"
"276","289","289","289","0.9709762532981531","0.9709762532981531","0.9709762532981531"
"277","290","290","290","0.9744942832014072","0.9744942832014072","0.9744942832014072"
"278","291","291","291","0.9780123131046614","0.9780123131046614","0.9780123131046614"
"279","292","292","292","0.9815303430079155","0.9815303430079155","0.9815303430079155"
"280","293","293","293","0.9850483729111698","0.9850483729111698","0.9850483729111698"
"281","294","294","294","0.9885664028144239","0.9885664028144239","0.9885664028144239"
"282","295","295","295","0.9920844327176781","0.9920844327176781","0.9920844327176781"
"283","296","296","296","0.9956024626209323","0.9956024626209323","0.9956024626209323"
"284","297.5","297","298","0.9991204925241864","0.9991204925241864","0.9991204925241864"
