"Relative Time (Process)","StudyAbroadGPT-7B - system/proc.memory.rssMB","StudyAbroadGPT-7B - system/proc.memory.rssMB__MIN","StudyAbroadGPT-7B - system/proc.memory.rssMB__MAX"
"1425.406578196","3645.4921875","3645.4921875","3645.4921875"
"1435.406742755","3645.4921875","3645.4921875","3645.4921875"
"1445.407174984","3645.4921875","3645.4921875","3645.4921875"
"1455.407270029","3645.4921875","3645.4921875","3645.4921875"
"1465.40679101","3645.4921875","3645.4921875","3645.4921875"
"1475.407029334","3645.4921875","3645.4921875","3645.4921875"
"1485.407217956","3645.4921875","3645.4921875","3645.4921875"
"1495.4065448","3646.2421875","3646.2421875","3646.2421875"
"1505.406793373","3646.2421875","3646.2421875","3646.2421875"
"1515.406334512","3646.2421875","3646.2421875","3646.2421875"
"1525.406919474","3646.2421875","3646.2421875","3646.2421875"
"1535.406502674","3646.3671875","3646.3671875","3646.3671875"
"1545.406337384","3646.3671875","3646.3671875","3646.3671875"
"1555.40724925","3647.1171875","3647.1171875","3647.1171875"
"1565.407307868","3647.1171875","3647.1171875","3647.1171875"
"1575.40676159","3647.1171875","3647.1171875","3647.1171875"
"1585.407043229","3647.1171875","3647.1171875","3647.1171875"
"1595.406620447","3647.1171875","3647.1171875","3647.1171875"
"1605.40673436","3647.1171875","3647.1171875","3647.1171875"
"1615.406601734","3647.1171875","3647.1171875","3647.1171875"
"1625.407105875","3647.1171875","3647.1171875","3647.1171875"
"1635.406893213","3647.6171875","3647.6171875","3647.6171875"
"1645.406383476","3647.6171875","3647.6171875","3647.6171875"
"1655.407405319","3647.6171875","3647.6171875","3647.6171875"
"1665.406810637","3647.6171875","3647.6171875","3647.6171875"
"1675.406987797","3647.7421875","3647.7421875","3647.7421875"
"1685.40643714","3647.7421875","3647.7421875","3647.7421875"
"1695.406799708","3647.7421875","3647.7421875","3647.7421875"
"1705.407097075","3647.7421875","3647.7421875","3647.7421875"
"1715.407094226","3647.8671875","3647.8671875","3647.8671875"
"1725.406929348","3647.8671875","3647.8671875","3647.8671875"
"1735.406828695","3647.8671875","3647.8671875","3647.8671875"
"1745.407481183","3647.8671875","3647.8671875","3647.8671875"
"1755.406728264","3647.9921875","3647.9921875","3647.9921875"
"1765.40750405","3647.9921875","3647.9921875","3647.9921875"
"1775.406670408","3648.3671875","3648.3671875","3648.3671875"
"1785.406480472","3648.3671875","3648.3671875","3648.3671875"
"1795.406619248","3648.3671875","3648.3671875","3648.3671875"
"1805.406994506","3648.3671875","3648.3671875","3648.3671875"
"1815.407171428","3648.3671875","3648.3671875","3648.3671875"
"1825.406579612","3648.3671875","3648.3671875","3648.3671875"
"1835.406180047","3648.3671875","3648.3671875","3648.3671875"
"1845.406948645","3648.3671875","3648.3671875","3648.3671875"
"1855.406876305","3648.3671875","3648.3671875","3648.3671875"
"1865.406640966","3648.8671875","3648.8671875","3648.8671875"
"1875.406731704","3648.8671875","3648.8671875","3648.8671875"
"1885.406597234","3648.8671875","3648.8671875","3648.8671875"
"1895.406243972","3648.8671875","3648.8671875","3648.8671875"
"1905.407251285","3648.8671875","3648.8671875","3648.8671875"
"1915.406973123","3648.8671875","3648.8671875","3648.8671875"
"1925.406899991","3648.8671875","3648.8671875","3648.8671875"
"1935.407009867","3649.3671875","3649.3671875","3649.3671875"
"1945.406297888","3649.3671875","3649.3671875","3649.3671875"
"1955.407454506","3649.3671875","3649.3671875","3649.3671875"
"1965.406734335","3649.3671875","3649.3671875","3649.3671875"
"1975.406446077","3649.3671875","3649.3671875","3649.3671875"
"1985.407187334","3649.3671875","3649.3671875","3649.3671875"
"1995.406999636","3649.3671875","3649.3671875","3649.3671875"
"2005.406730398","3649.3671875","3649.3671875","3649.3671875"
"2015.406597359","3649.9921875","3649.9921875","3649.9921875"
"2025.406902889","3649.9921875","3649.9921875","3649.9921875"
"2035.407269235","3649.9921875","3649.9921875","3649.9921875"
"2045.406494688","3649.9921875","3649.9921875","3649.9921875"
"2055.406329412","3649.9921875","3649.9921875","3649.9921875"
"2065.40693687","3649.9921875","3649.9921875","3649.9921875"
"2075.406338214","3649.9921875","3649.9921875","3649.9921875"
"2085.407641002","3650.6171875","3650.6171875","3650.6171875"
"2095.407752015","3650.6171875","3650.6171875","3650.6171875"
"2105.406268638","3650.6171875","3650.6171875","3650.6171875"
"2115.40730567","3650.6171875","3650.6171875","3650.6171875"
"2125.406515154","3650.6171875","3650.6171875","3650.6171875"
"2135.406630811","3650.6171875","3650.6171875","3650.6171875"
"2145.406936655","3650.6171875","3650.6171875","3650.6171875"
"2155.407115701","3650.6171875","3650.6171875","3650.6171875"
"2165.406380292","3650.7421875","3650.7421875","3650.7421875"
"2175.406902411","3650.7421875","3650.7421875","3650.7421875"
"2185.407459462","3650.7421875","3650.7421875","3650.7421875"
"2195.406306923","3650.7421875","3650.7421875","3650.7421875"
"2205.406602904","3650.7421875","3650.7421875","3650.7421875"
"2215.406820665","3650.7421875","3650.7421875","3650.7421875"
"2225.406518881","3650.7421875","3650.7421875","3650.7421875"
"2235.406350806","3651.1171875","3651.1171875","3651.1171875"
"2245.406205664","3651.1171875","3651.1171875","3651.1171875"
"2255.406919574","3651.1171875","3651.1171875","3651.1171875"
"2265.406525967","3651.1171875","3651.1171875","3651.1171875"
"2275.406555069","3651.1171875","3651.1171875","3651.1171875"
"2285.406215813","3651.1171875","3651.1171875","3651.1171875"
"2295.407234237","3651.1171875","3651.1171875","3651.1171875"
"2305.407438154","3651.4921875","3651.4921875","3651.4921875"
"2315.406483867","3651.4921875","3651.4921875","3651.4921875"
"2325.406881307","3651.4921875","3651.4921875","3651.4921875"
"2335.406815589","3651.4921875","3651.4921875","3651.4921875"
"2345.407204279","3651.4921875","3651.4921875","3651.4921875"
"2355.406812187","3651.4921875","3651.4921875","3651.4921875"
"2365.406614649","3651.4921875","3651.4921875","3651.4921875"
"2375.406583218","3651.6171875","3651.6171875","3651.6171875"
"2385.406687178","3651.6171875","3651.6171875","3651.6171875"
"2395.406992119","3651.6171875","3651.6171875","3651.6171875"
"2405.406561084","3651.6171875","3651.6171875","3651.6171875"
"2415.406919532","3651.6171875","3651.6171875","3651.6171875"
"2425.406792362","3651.6171875","3651.6171875","3651.6171875"
"2435.406741729","3651.6171875","3651.6171875","3651.6171875"
"2445.406571047","3651.6171875","3651.6171875","3651.6171875"
"2455.406771095","3651.6171875","3651.6171875","3651.6171875"
"2465.406964833","3651.8671875","3651.8671875","3651.8671875"
"2475.406839884","3651.8671875","3651.8671875","3651.8671875"
"2485.407656378","3651.8671875","3651.8671875","3651.8671875"
"2495.406855591","3651.8671875","3651.8671875","3651.8671875"
"2505.406579599","3651.8671875","3651.8671875","3651.8671875"
"2515.406647756","3651.8671875","3651.8671875","3651.8671875"
"2525.407199567","3651.8671875","3651.8671875","3651.8671875"
"2535.407166243","3651.8671875","3651.8671875","3651.8671875"
"2545.406257275","3651.8671875","3651.8671875","3651.8671875"
"2555.407041166","3651.8671875","3651.8671875","3651.8671875"
"2565.407006573","3651.8671875","3651.8671875","3651.8671875"
"2575.406499668","3651.8671875","3651.8671875","3651.8671875"
"2585.40714405","3651.8671875","3651.8671875","3651.8671875"
"2595.40721035","3651.8671875","3651.8671875","3651.8671875"
"2605.406956912","3651.8671875","3651.8671875","3651.8671875"
"2615.406562307","3651.8671875","3651.8671875","3651.8671875"
"2625.406960111","3651.8671875","3651.8671875","3651.8671875"
"2635.409090392","3652.1171875","3652.1171875","3652.1171875"
"2645.406978964","3652.1171875","3652.1171875","3652.1171875"
"2655.407007681","3652.1171875","3652.1171875","3652.1171875"
"2665.407245939","3652.1171875","3652.1171875","3652.1171875"
"2675.407242651","3652.1171875","3652.1171875","3652.1171875"
"2685.407193631","3652.1171875","3652.1171875","3652.1171875"
"2695.406887284","3652.1171875","3652.1171875","3652.1171875"
"2705.40722134","3652.2421875","3652.2421875","3652.2421875"
"2715.406844886","3652.2421875","3652.2421875","3652.2421875"
"2725.406863519","3652.2421875","3652.2421875","3652.2421875"
"2735.406584006","3652.2421875","3652.2421875","3652.2421875"
"2745.406922612","3652.2421875","3652.2421875","3652.2421875"
"2755.407155593","3652.2421875","3652.2421875","3652.2421875"
"2765.406974625","3652.2421875","3652.2421875","3652.2421875"
"2775.40624631","3652.2421875","3652.2421875","3652.2421875"
"2785.406856758","3652.4921875","3652.4921875","3652.4921875"
"2795.407087827","3652.4921875","3652.4921875","3652.4921875"
"2805.406315927","3652.4921875","3652.4921875","3652.4921875"
"2815.40624812","3652.4921875","3652.4921875","3652.4921875"
"2825.40759978","3652.4921875","3652.4921875","3652.4921875"
"2835.407233834","3652.4921875","3652.4921875","3652.4921875"
"2845.406230916","3652.4921875","3652.4921875","3652.4921875"
"2855.406471648","3652.7421875","3652.7421875","3652.7421875"
"2865.407433396","3652.7421875","3652.7421875","3652.7421875"
"2875.406342889","3652.7421875","3652.7421875","3652.7421875"
"2885.406246901","3652.7421875","3652.7421875","3652.7421875"
"2895.406298814","3652.7421875","3652.7421875","3652.7421875"
"2905.406511722","3652.7421875","3652.7421875","3652.7421875"
"2915.407338884","3652.7421875","3652.7421875","3652.7421875"
"2925.406931869","3652.7421875","3652.7421875","3652.7421875"
"2935.407025422","3652.9921875","3652.9921875","3652.9921875"
"2945.406680236","3652.9921875","3652.9921875","3652.9921875"
"2955.406494472","3652.9921875","3652.9921875","3652.9921875"
"2965.406930011","3652.9921875","3652.9921875","3652.9921875"
"2975.406349197","3652.9921875","3652.9921875","3652.9921875"
"2985.407175767","3652.9921875","3652.9921875","3652.9921875"
"2995.4072107","3652.9921875","3652.9921875","3652.9921875"
"3005.406988012","3653.2421875","3653.2421875","3653.2421875"
"3015.407262897","3653.2421875","3653.2421875","3653.2421875"
"3025.406639082","3653.2421875","3653.2421875","3653.2421875"
"3035.406576152","3653.2421875","3653.2421875","3653.2421875"
"3045.408159004","3653.2421875","3653.2421875","3653.2421875"
"3055.406913234","3653.2421875","3653.2421875","3653.2421875"
"3065.406578197","3653.2421875","3653.2421875","3653.2421875"
"3075.406841656","3653.2421875","3653.2421875","3653.2421875"
"3085.406775685","3653.4921875","3653.4921875","3653.4921875"
"3095.406600093","3653.4921875","3653.4921875","3653.4921875"
"3105.406254055","3653.4921875","3653.4921875","3653.4921875"
"3115.40697323","3653.4921875","3653.4921875","3653.4921875"
"3125.406506711","3653.4921875","3653.4921875","3653.4921875"
"3135.406455099","3653.4921875","3653.4921875","3653.4921875"
"3145.407303875","3653.4921875","3653.4921875","3653.4921875"
"3155.407191858","3653.4921875","3653.4921875","3653.4921875"
"3165.406723035","3653.7421875","3653.7421875","3653.7421875"
"3175.407232459","3653.7421875","3653.7421875","3653.7421875"
"3185.406650557","3653.7421875","3653.7421875","3653.7421875"
"3195.406443541","3653.7421875","3653.7421875","3653.7421875"
"3205.407075558","3653.7421875","3653.7421875","3653.7421875"
"3215.407481994","3653.7421875","3653.7421875","3653.7421875"
"3225.406986683","3653.7421875","3653.7421875","3653.7421875"
"3235.406189804","3653.8671875","3653.8671875","3653.8671875"
"3245.40733569","3653.8671875","3653.8671875","3653.8671875"
"3255.406531437","3653.8671875","3653.8671875","3653.8671875"
"3265.406384602","3653.8671875","3653.8671875","3653.8671875"
"3275.406900136","3653.8671875","3653.8671875","3653.8671875"
"3285.406717762","3653.8671875","3653.8671875","3653.8671875"
"3295.407014351","3653.8671875","3653.8671875","3653.8671875"
"3305.406755027","3653.8671875","3653.8671875","3653.8671875"
"3315.406256098","3653.8671875","3653.8671875","3653.8671875"
"3325.40660559","3653.8671875","3653.8671875","3653.8671875"
"3335.406806697","3653.8671875","3653.8671875","3653.8671875"
"3345.40636741","3653.8671875","3653.8671875","3653.8671875"
"3355.407174108","3653.8671875","3653.8671875","3653.8671875"
"3365.406699007","3653.8671875","3653.8671875","3653.8671875"
"3375.406428405","3653.8671875","3653.8671875","3653.8671875"
"3385.406859068","3653.9921875","3653.9921875","3653.9921875"
"3395.40629389","3653.9921875","3653.9921875","3653.9921875"
"3405.407335869","3653.9921875","3653.9921875","3653.9921875"
"3415.406772879","3653.9921875","3653.9921875","3653.9921875"
"3425.407237292","3653.9921875","3653.9921875","3653.9921875"
"3435.406888396","3653.9921875","3653.9921875","3653.9921875"
"3445.406790031","3653.9921875","3653.9921875","3653.9921875"
"3455.40659598","3653.9921875","3653.9921875","3653.9921875"
"3465.407210096","3653.9921875","3653.9921875","3653.9921875"
"3475.4071288","3653.9921875","3653.9921875","3653.9921875"
"3485.406854833","3653.9921875","3653.9921875","3653.9921875"
"3495.407298773","3653.9921875","3653.9921875","3653.9921875"
"3505.407713468","3653.9921875","3653.9921875","3653.9921875"
"3515.407020345","3653.9921875","3653.9921875","3653.9921875"
"3525.406865479","3653.9921875","3653.9921875","3653.9921875"
"3535.406867075","3653.9921875","3653.9921875","3653.9921875"
"3545.407143629","3654.1171875","3654.1171875","3654.1171875"
"3555.406577439","3654.1171875","3654.1171875","3654.1171875"
"3565.406709997","3654.1171875","3654.1171875","3654.1171875"
"3575.406412767","3654.1171875","3654.1171875","3654.1171875"
"3585.40716186","3654.1171875","3654.1171875","3654.1171875"
"3595.406872703","3654.1171875","3654.1171875","3654.1171875"
"3605.406942187","3654.1171875","3654.1171875","3654.1171875"
"3615.40722206","3654.1171875","3654.1171875","3654.1171875"
"3625.407274511","3654.2421875","3654.2421875","3654.2421875"
"3635.407405517","3654.2421875","3654.2421875","3654.2421875"
"3645.406910109","3654.2421875","3654.2421875","3654.2421875"
"3655.40638835","3654.2421875","3654.2421875","3654.2421875"
"3665.406546477","3654.2421875","3654.2421875","3654.2421875"
"3675.406764134","3654.2421875","3654.2421875","3654.2421875"
"3685.40703962","3654.2421875","3654.2421875","3654.2421875"
"3695.406596771","3654.2421875","3654.2421875","3654.2421875"
"3705.406312539","3654.2421875","3654.2421875","3654.2421875"
"3715.407245366","3654.2421875","3654.2421875","3654.2421875"
"3725.406849947","3654.2421875","3654.2421875","3654.2421875"
"3735.406813039","3654.2421875","3654.2421875","3654.2421875"
"3745.406529929","3654.2421875","3654.2421875","3654.2421875"
"3755.40700168","3654.2421875","3654.2421875","3654.2421875"
"3765.406968463","3654.2421875","3654.2421875","3654.2421875"
"3775.407486655","3654.2421875","3654.2421875","3654.2421875"
"3785.406636722","3654.2421875","3654.2421875","3654.2421875"
"3795.407177969","3654.2421875","3654.2421875","3654.2421875"
"3805.407002019","3654.2421875","3654.2421875","3654.2421875"
"3815.406455522","3654.2421875","3654.2421875","3654.2421875"
"3825.406699669","3654.2421875","3654.2421875","3654.2421875"
"3835.406700015","3654.3671875","3654.3671875","3654.3671875"
"3845.406851534","3654.3671875","3654.3671875","3654.3671875"
"3855.406712098","3654.3671875","3654.3671875","3654.3671875"
"3865.406495582","3654.3671875","3654.3671875","3654.3671875"
"3875.406888977","3654.3671875","3654.3671875","3654.3671875"
"3885.406507572","3654.3671875","3654.3671875","3654.3671875"
"3895.407234371","3654.3671875","3654.3671875","3654.3671875"
"3905.406715136","3654.3671875","3654.3671875","3654.3671875"
"3915.406190705","3654.4921875","3654.4921875","3654.4921875"
"3925.406604751","3654.4921875","3654.4921875","3654.4921875"
"3935.406541162","3654.4921875","3654.4921875","3654.4921875"
"3945.406505439","3654.4921875","3654.4921875","3654.4921875"
"3955.406203589","3654.4921875","3654.4921875","3654.4921875"
"3965.406597287","3654.4921875","3654.4921875","3654.4921875"
"3975.407113346","3654.4921875","3654.4921875","3654.4921875"
"3985.406945033","3654.4921875","3654.4921875","3654.4921875"
"3995.407751738","3654.4921875","3654.4921875","3654.4921875"
"4005.40744637","3654.4921875","3654.4921875","3654.4921875"
"4015.407087929","3654.4921875","3654.4921875","3654.4921875"
"4025.407814098","3654.4921875","3654.4921875","3654.4921875"
"4035.407134152","3654.4921875","3654.4921875","3654.4921875"
"4045.406803589","3654.4921875","3654.4921875","3654.4921875"
"4055.406388452","3654.4921875","3654.4921875","3654.4921875"
"4065.407162165","3654.4921875","3654.4921875","3654.4921875"
"4075.407238511","3654.4921875","3654.4921875","3654.4921875"
"4085.406764068","3654.4921875","3654.4921875","3654.4921875"
"4095.407492552","3654.4921875","3654.4921875","3654.4921875"
"4105.406893811","3654.4921875","3654.4921875","3654.4921875"
"4115.406904355","3654.4921875","3654.4921875","3654.4921875"
"4125.407259272","3654.4921875","3654.4921875","3654.4921875"
"4135.406646175","3654.4921875","3654.4921875","3654.4921875"
"4145.406921706","3654.6171875","3654.6171875","3654.6171875"
"4155.406497853","3654.6171875","3654.6171875","3654.6171875"
"4165.406219991","3654.6171875","3654.6171875","3654.6171875"
"4175.406280797","3654.6171875","3654.6171875","3654.6171875"
"4185.407280657","3654.6171875","3654.6171875","3654.6171875"
"4195.407333282","3654.6171875","3654.6171875","3654.6171875"
"4205.407385659","3654.6171875","3654.6171875","3654.6171875"
"4215.406747984","3654.6171875","3654.6171875","3654.6171875"
"4225.406969455","3654.6171875","3654.6171875","3654.6171875"
"4235.406620498","3654.6171875","3654.6171875","3654.6171875"
"4245.406869175","3654.6171875","3654.6171875","3654.6171875"
"4255.406740984","3654.6171875","3654.6171875","3654.6171875"
"4265.40658596","3654.6171875","3654.6171875","3654.6171875"
"4275.406876277","3654.6171875","3654.6171875","3654.6171875"
"4285.408092482","3654.7421875","3654.7421875","3654.7421875"
"4295.407720643","3654.7421875","3654.7421875","3654.7421875"
"4305.406883596","3654.7421875","3654.7421875","3654.7421875"
"4315.406257225","3654.7421875","3654.7421875","3654.7421875"
"4325.40617084","3654.7421875","3654.7421875","3654.7421875"
"4335.406398805","3654.7421875","3654.7421875","3654.7421875"
"4345.406577557","3654.7421875","3654.7421875","3654.7421875"
"4355.406717848","3654.7421875","3654.7421875","3654.7421875"
"4365.406258342","3654.7421875","3654.7421875","3654.7421875"
"4375.406596454","3654.7421875","3654.7421875","3654.7421875"
"4385.406205692","3654.7421875","3654.7421875","3654.7421875"
"4395.408173302","3654.7421875","3654.7421875","3654.7421875"
"4405.406397739","3654.7421875","3654.7421875","3654.7421875"
"4415.406765466","3654.7421875","3654.7421875","3654.7421875"
"4425.406722735","3654.7421875","3654.7421875","3654.7421875"
"4435.40640028","3654.8671875","3654.8671875","3654.8671875"
"4445.406634524","3654.8671875","3654.8671875","3654.8671875"
"4455.406454901","3654.8671875","3654.8671875","3654.8671875"
"4465.407188052","3654.8671875","3654.8671875","3654.8671875"
"4475.406634282","3654.8671875","3654.8671875","3654.8671875"
"4485.406239364","3654.8671875","3654.8671875","3654.8671875"
"4495.406617541","3654.8671875","3654.8671875","3654.8671875"
"4505.406928607","3654.8671875","3654.8671875","3654.8671875"
"4515.407129966","3654.8671875","3654.8671875","3654.8671875"
"4525.40729714","3654.8671875","3654.8671875","3654.8671875"
"4535.406885965","3654.8671875","3654.8671875","3654.8671875"
"4545.406797432","3654.8671875","3654.8671875","3654.8671875"
"4555.406736545","3654.8671875","3654.8671875","3654.8671875"
"4565.407337682","3654.8671875","3654.8671875","3654.8671875"
"4575.406224622","3654.8671875","3654.8671875","3654.8671875"
"4585.406510998","3654.8671875","3654.8671875","3654.8671875"
"4595.406344874","3654.8671875","3654.8671875","3654.8671875"
"4605.407000457","3654.8671875","3654.8671875","3654.8671875"
"4615.406375681","3654.8671875","3654.8671875","3654.8671875"
"4625.406854283","3654.8671875","3654.8671875","3654.8671875"
"4635.406253446","3654.8671875","3654.8671875","3654.8671875"
"4645.40679413","3654.8671875","3654.8671875","3654.8671875"
"4655.406350254","3654.8671875","3654.8671875","3654.8671875"
"4665.406556587","3654.8671875","3654.8671875","3654.8671875"
"4675.406620497","3654.8671875","3654.8671875","3654.8671875"
"4685.406976259","3654.8671875","3654.8671875","3654.8671875"
