"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.powerWatts","StudyAbroadGPT-7B - system/gpu.0.powerWatts__MIN","StudyAbroadGPT-7B - system/gpu.0.powerWatts__MAX"
"1555.413502788","235.878","235.878","235.878"
"1565.411770218","187.24","187.24","187.24"
"1575.411377596","200.703","200.703","200.703"
"1585.413201754","169.789","169.789","169.789"
"1595.41208573","247.09","247.09","247.09"
"1605.411505287","236.079","236.079","236.079"
"1615.41119377","157.329","157.329","157.329"
"1625.414853191","236.126","236.126","236.126"
"1635.411561774","158.709","158.709","158.709"
"1645.411175304","194.298","194.298","194.298"
"1655.414889588","244.411","244.411","244.411"
"1665.412189542","180.96","180.96","180.96"
"1675.411589644","188.461","188.461","188.461"
"1685.411341906","225.752","225.752","225.752"
"1695.41133584","238.163","238.163","238.163"
"1705.411849433","199.936","199.936","199.936"
"1715.411816956","207.973","207.973","207.973"
"1725.411594798","208.081","208.081","208.081"
"1735.411436234","178.788","178.788","178.788"
"1745.412907621","172.899","172.899","172.899"
"1755.412017972","262.607","262.607","262.607"
"1765.412928491","196.514","196.514","196.514"
"1775.411452888","190.029","190.029","190.029"
"1785.41129968","195.542","195.542","195.542"
"1795.411356581","124.673","124.673","124.673"
"1805.41169315","242.377","242.377","242.377"
"1815.412798172","240.386","240.386","240.386"
"1825.411378939","175.335","175.335","175.335"
"1835.411087002","184.054","184.054","184.054"
"1845.415328485","176.802","176.802","176.802"
"1855.412131859","177.536","177.536","177.536"
"1865.411642772","230.108","230.108","230.108"
"1875.411685599","213.569","213.569","213.569"
"1885.415151084","245.693","245.693","245.693"
"1895.410943346","243.944","243.944","243.944"
"1905.411863177","173.915","173.915","173.915"
"1915.414444999","181.686","181.686","181.686"
"1925.411661817","195.074","195.074","195.074"
"1935.411822146","164.928","164.928","164.928"
"1945.410928452","210.311","210.311","210.311"
"1955.411954203","238.163","238.163","238.163"
"1965.411688597","171.771","171.771","171.771"
"1975.411296676","181.575","181.575","181.575"
"1985.411615627","231.496","231.496","231.496"
"1995.411671586","221.225","221.225","221.225"
"2005.411340933","188.205","188.205","188.205"
"2015.411535953","168.598","168.598","168.598"
"2025.419728547","182.552","182.552","182.552"
"2035.416590021","171.912","171.912","171.912"
"2045.410984659","154.895","154.895","154.895"
"2055.410947966","246.848","246.848","246.848"
"2065.417816842","181.805","181.805","181.805"
"2075.41819205","253.456","253.456","253.456"
"2085.411611926","238.579","238.579","238.579"
"2095.412664482","191.87","191.87","191.87"
"2105.413740336","193.225","193.225","193.225"
"2115.412671575","256.036","256.036","256.036"
"2125.411266492","222.364","222.364","222.364"
"2135.412028954","242.725","242.725","242.725"
"2145.412587752","225.7","225.7","225.7"
"2155.416712195","244.738","244.738","244.738"
"2165.411165136","176.53","176.53","176.53"
"2175.411513244","192.703","192.703","192.703"
"2185.412031306","197.134","197.134","197.134"
"2195.410952215","189.785","189.785","189.785"
"2205.411903602","167.008","167.008","167.008"
"2215.414278402","170.423","170.423","170.423"
"2225.412007559","259.072","259.072","259.072"
"2235.411102679","139.187","139.187","139.187"
"2245.411622578","231.994","231.994","231.994"
"2255.418894774","159.458","159.458","159.458"
"2265.414956628","234.176","234.176","234.176"
"2275.41184301","150.881","150.881","150.881"
"2285.410963977","161.615","161.615","161.615"
"2295.412530662","184.289","184.289","184.289"
"2305.412772184","183.563","183.563","183.563"
"2315.411893112","171.402","171.402","171.402"
"2325.412098662","202.131","202.131","202.131"
"2335.411781539","231.964","231.964","231.964"
"2345.413673703","225.951","225.951","225.951"
"2355.411483871","150.782","150.782","150.782"
"2365.414724332","192.382","192.382","192.382"
"2375.411127442","183.425","183.425","183.425"
"2385.412079876","164.314","164.314","164.314"
"2395.413505507","227.408","227.408","227.408"
"2405.411173636","249.061","249.061","249.061"
"2415.411728608","196.227","196.227","196.227"
"2425.41421959","201.435","201.435","201.435"
"2435.411555875","187.348","187.348","187.348"
"2445.412270359","233.158","233.158","233.158"
"2455.415381257","190.045","190.045","190.045"
"2465.411972076","210.05","210.05","210.05"
"2475.411609934","248.893","248.893","248.893"
"2485.420319276","232.623","232.623","232.623"
"2495.412461321","187.854","187.854","187.854"
"2505.411227115","189.426","189.426","189.426"
"2515.412221748","121.894","121.894","121.894"
"2525.41166809","188.337","188.337","188.337"
"2535.411933454","156.261","156.261","156.261"
"2545.411108089","166.981","166.981","166.981"
"2555.415908782","243.177","243.177","243.177"
"2565.41164305","181.13","181.13","181.13"
"2575.411383217","125.899","125.899","125.899"
"2585.411887438","162.73","162.73","162.73"
"2595.411575131","189.297","189.297","189.297"
"2605.412543687","239.557","239.557","239.557"
"2615.412879141","162.309","162.309","162.309"
"2625.412219673","239.328","239.328","239.328"
"2635.415326391","206.307","206.307","206.307"
"2645.412669842","175.005","175.005","175.005"
"2655.414269862","225.256","225.256","225.256"
"2665.411804598","236.059","236.059","236.059"
"2675.412909718","185.073","185.073","185.073"
"2685.41492717","189.894","189.894","189.894"
"2695.415691622","188.906","188.906","188.906"
"2705.411692869","191.831","191.831","191.831"
"2715.417262523","252.639","252.639","252.639"
"2725.411737993","183.879","183.879","183.879"
"2735.416437092","187.592","187.592","187.592"
"2745.412202607","201.828","201.828","201.828"
"2755.412723218","210.749","210.749","210.749"
"2765.413595791","237.237","237.237","237.237"
"2775.411016321","170.822","170.822","170.822"
"2785.412239832","188.782","188.782","188.782"
"2795.412653782","186.37","186.37","186.37"
"2805.41127622","181.441","181.441","181.441"
"2815.411299777","147.928","147.928","147.928"
"2825.414858823","192.445","192.445","192.445"
"2835.411694564","225.367","225.367","225.367"
"2845.410824718","188.402","188.402","188.402"
"2855.411135127","236.037","236.037","236.037"
"2865.413289655","246.786","246.786","246.786"
"2875.411754195","184.922","184.922","184.922"
"2885.411952961","236.613","236.613","236.613"
"2895.410986276","243.38","243.38","243.38"
"2905.418403418","232.608","232.608","232.608"
"2915.414726061","248.63","248.63","248.63"
"2925.412528514","188.921","188.921","188.921"
"2935.411922667","243.93","243.93","243.93"
"2945.411438928","196.353","196.353","196.353"
"2955.419458695","255.306","255.306","255.306"
"2965.41245981","232.805","232.805","232.805"
"2975.411159761","196.514","196.514","196.514"
"2985.4129458","185.272","185.272","185.272"
"2995.411836221","187.073","187.073","187.073"
"3005.411503274","186.844","186.844","186.844"
"3015.41202553","236.322","236.322","236.322"
"3025.412129055","200.894","200.894","200.894"
"3035.41113689","208.212","208.212","208.212"
"3045.412566135","211.717","211.717","211.717"
"3055.41143894","249.957","249.957","249.957"
"3065.41114961","234.528","234.528","234.528"
"3075.411812485","217.755","217.755","217.755"
"3085.411781058","146.564","146.564","146.564"
"3095.411323811","182.874","182.874","182.874"
"3105.413356756","152.502","152.502","152.502"
"3115.411721513","235.569","235.569","235.569"
"3125.411144028","233.173","233.173","233.173"
"3135.410916046","188.695","188.695","188.695"
"3145.412565269","196.642","196.642","196.642"
"3155.411772288","258.639","258.639","258.639"
"3165.41139911","161.153","161.153","161.153"
"3175.411626393","215.493","215.493","215.493"
"3185.415291662","186.736","186.736","186.736"
"3195.418259217","186.874","186.874","186.874"
"3205.413663598","187.716","187.716","187.716"
"3215.411990932","183.535","183.535","183.535"
"3225.415938272","235.017","235.017","235.017"
"3235.414777553","173.455","173.455","173.455"
"3245.412894779","159.226","159.226","159.226"
"3255.412327642","249.793","249.793","249.793"
"3265.416183394","238.32","238.32","238.32"
"3275.415586583","166.736","166.736","166.736"
"3285.411374381","253.614","253.614","253.614"
"3295.411724031","185.144","185.144","185.144"
"3305.415908253","198.27","198.27","198.27"
"3315.411827801","189.661","189.661","189.661"
"3325.412928082","185.634","185.634","185.634"
"3335.412504007","165.222","165.222","165.222"
"3345.411899448","249.777","249.777","249.777"
"3355.415283073","191.24","191.24","191.24"
"3365.412171197","236.013","236.013","236.013"
"3375.411887322","205.709","205.709","205.709"
"3385.415729345","251.341","251.341","251.341"
"3395.413464974","258.385","258.385","258.385"
"3405.411836476","234.384","234.384","234.384"
"3415.411663239","186.873","186.873","186.873"
"3425.413046437","161.877","161.877","161.877"
"3435.41222471","217.244","217.244","217.244"
"3445.41202448","189.433","189.433","189.433"
"3455.411501937","204.742","204.742","204.742"
"3465.411740223","231.204","231.204","231.204"
"3475.414189522","188.713","188.713","188.713"
"3485.411418823","175.823","175.823","175.823"
"3495.412666936","174.173","174.173","174.173"
"3505.414221256","236.347","236.347","236.347"
"3515.412248484","209.543","209.543","209.543"
"3525.411449694","223.122","223.122","223.122"
"3535.412392024","191.042","191.042","191.042"
"3545.412229875","166.695","166.695","166.695"
"3555.411300369","166.94","166.94","166.94"
"3565.415825152","192.871","192.871","192.871"
"3575.410949271","188.099","188.099","188.099"
"3585.412363193","221.562","221.562","221.562"
"3595.411394325","214.636","214.636","214.636"
"3605.411601172","139.832","139.832","139.832"
"3615.415986935","186.582","186.582","186.582"
"3625.411864321","200.948","200.948","200.948"
"3635.411411223","166.161","166.161","166.161"
"3645.412200551","183.55","183.55","183.55"
"3655.41381964","240.411","240.411","240.411"
"3665.4120409","229.51","229.51","229.51"
"3675.411426767","194.584","194.584","194.584"
"3685.41247843","157.21","157.21","157.21"
"3695.41121119","213.047","213.047","213.047"
"3705.414031439","235.608","235.608","235.608"
"3715.411874095","255.321","255.321","255.321"
"3725.411789728","199.365","199.365","199.365"
"3735.411520204","197.373","197.373","197.373"
"3745.41126627","252.961","252.961","252.961"
"3755.411623597","234.772","234.772","234.772"
"3765.412567579","179.629","179.629","179.629"
"3775.4123153","240.167","240.167","240.167"
"3785.41610154","235.216","235.216","235.216"
"3795.411575585","238.788","238.788","238.788"
"3805.411674456","229.755","229.755","229.755"
"3815.414091634","187.716","187.716","187.716"
"3825.411660241","211.004","211.004","211.004"
"3835.411720595","175.923","175.923","175.923"
"3845.411603942","110.943","110.943","110.943"
"3855.411410609","184.3","184.3","184.3"
"3865.412122833","152.344","152.344","152.344"
"3875.411448973","247.274","247.274","247.274"
"3885.411172585","190.179","190.179","190.179"
"3895.412336278","191.267","191.267","191.267"
"3905.411326343","225.295","225.295","225.295"
"3915.411600168","178.118","178.118","178.118"
"3925.411138106","185.122","185.122","185.122"
"3935.414650514","183.275","183.275","183.275"
"3945.411224131","182.57","182.57","182.57"
"3955.411527363","157.276","157.276","157.276"
"3965.411134542","191.496","191.496","191.496"
"3975.411738568","177.178","177.178","177.178"
"3985.411737955","180.825","180.825","180.825"
"3995.411733064","138.71","138.71","138.71"
"4005.411638418","194.813","194.813","194.813"
"4015.411785785","229.472","229.472","229.472"
"4025.416441103","162.415","162.415","162.415"
"4035.412585433","156.992","156.992","156.992"
"4045.411685431","244.913","244.913","244.913"
"4055.411179653","179.614","179.614","179.614"
"4065.411197727","242.715","242.715","242.715"
"4075.412704652","198.745","198.745","198.745"
"4085.411683538","215.493","215.493","215.493"
"4095.416198941","169.174","169.174","169.174"
"4105.412114284","230.619","230.619","230.619"
"4115.411753024","199.479","199.479","199.479"
"4125.411903796","224.922","224.922","224.922"
"4135.411431945","175.316","175.316","175.316"
"4145.414139948","189.4","189.4","189.4"
"4155.414993476","240.828","240.828","240.828"
"4165.411279047","256.129","256.129","256.129"
"4175.41092232","216.123","216.123","216.123"
"4185.411775702","158.942","158.942","158.942"
"4195.411983621","171.612","171.612","171.612"
"4205.411901324","185.864","185.864","185.864"
"4215.412958295","235.544","235.544","235.544"
"4225.411759082","244.989","244.989","244.989"
"4235.414241777","173.602","173.602","173.602"
"4245.411837143","192.247","192.247","192.247"
"4255.412181322","188.314","188.314","188.314"
"4265.411068585","170.021","170.021","170.021"
"4275.414172243","155.371","155.371","155.371"
"4285.412727077","194.705","194.705","194.705"
"4295.412047745","250.773","250.773","250.773"
"4305.412316981","188.343","188.343","188.343"
"4315.410896534","210.459","210.459","210.459"
"4325.411141583","193.242","193.242","193.242"
"4335.411796243","252.846","252.846","252.846"
"4345.414026569","188.467","188.467","188.467"
"4355.411444373","188.465","188.465","188.465"
"4365.412180272","196.165","196.165","196.165"
"4375.415355515","234.566","234.566","234.566"
"4385.410981157","196.542","196.542","196.542"
"4395.411910005","198.124","198.124","198.124"
"4405.411313303","198.615","198.615","198.615"
"4415.412789567","180.806","180.806","180.806"
"4425.411631902","177.886","177.886","177.886"
"4435.411403519","204.519","204.519","204.519"
"4445.411445977","237.675","237.675","237.675"
"4455.410982678","179.962","179.962","179.962"
"4465.411938311","250.368","250.368","250.368"
"4475.416395645","192.507","192.507","192.507"
"4485.411582772","173.303","173.303","173.303"
"4495.41144944","124.988","124.988","124.988"
"4505.411692229","167.322","167.322","167.322"
"4515.411985858","194.845","194.845","194.845"
"4525.412561691","258.046","258.046","258.046"
"4535.411802924","171.962","171.962","171.962"
"4545.412233711","206.569","206.569","206.569"
"4555.411343626","118.186","118.186","118.186"
"4565.417542099","219.406","219.406","219.406"
"4575.414976976","256.263","256.263","256.263"
"4585.411935821","194.079","194.079","194.079"
"4595.41091824","175.141","175.141","175.141"
"4605.411597997","206.627","206.627","206.627"
"4615.415628076","237.587","237.587","237.587"
"4625.411628074","233.307","233.307","233.307"
"4635.417137778","176.039","176.039","176.039"
"4645.411522476","196.783","196.783","196.783"
"4655.411107846","218.731","218.731","218.731"
"4665.411556531","187.333","187.333","187.333"
"4675.415020139","174.959","174.959","174.959"
"4685.412048616","182.429","182.429","182.429"
"4695.410947429","184.775","184.775","184.775"
"4705.414130225","170.757","170.757","170.757"
"4715.411427952","181.678","181.678","181.678"
"4725.412731143","180.432","180.432","180.432"
"4735.411486408","170.4","170.4","170.4"
"4745.414613794","252.176","252.176","252.176"
"4755.411465772","195.451","195.451","195.451"
"4765.417970233","157.133","157.133","157.133"
"4775.418225195","245.806","245.806","245.806"
"4785.4125644","188.068","188.068","188.068"
"4795.411198539","192.862","192.862","192.862"
"4805.410995006","179.501","179.501","179.501"
"4815.417311036","212.907","212.907","212.907"
"4825.411859034","190.871","190.871","190.871"
"4835.412154757","186.122","186.122","186.122"
"4845.412242882","219.956","219.956","219.956"
"4855.411421882","181.203","181.203","181.203"
"4865.410760101","182.302","182.302","182.302"
"4875.411271798","191.517","191.517","191.517"
"4885.411845216","211.611","211.611","211.611"
"4895.411696467","187.455","187.455","187.455"
"4905.411156044","225.996","225.996","225.996"
"4915.411613157","214.672","214.672","214.672"
"4925.412454119","253.136","253.136","253.136"
"4935.41094946","186.228","186.228","186.228"
"4945.411097451","234.854","234.854","234.854"
"4955.411075622","173.337","173.337","173.337"
"4965.412198008","187.223","187.223","187.223"
"4975.415365615","182.161","182.161","182.161"
"4985.413327206","257.046","257.046","257.046"
"4995.410899753","174.234","174.234","174.234"
"5005.412497238","171.878","171.878","171.878"
"5015.415762986","216.893","216.893","216.893"
"5025.415778945","249.614","249.614","249.614"
"5035.412575305","194.84","194.84","194.84"
"5045.411197361","191.139","191.139","191.139"
"5055.417270607","229.999","229.999","229.999"
"5065.41254392","185.477","185.477","185.477"
"5075.411879732","189.924","189.924","189.924"
"5085.412316808","250.696","250.696","250.696"
"5095.413861218","195.819","195.819","195.819"
"5105.416465378","244.989","244.989","244.989"
"5115.412833804","177.497","177.497","177.497"
"5125.413131234","241.897","241.897","241.897"
"5135.411910132","112.979","112.979","112.979"
"5145.411282997","177.164","177.164","177.164"
"5155.411852133","179.232","179.232","179.232"
"5165.412187957","196.186","196.186","196.186"
"5175.411423852","199.102","199.102","199.102"
"5185.411780484","127.625","127.625","127.625"
"5195.411876483","178.753","178.753","178.753"
"5205.411728005","218.509","218.509","218.509"
"5215.410897451","188.79","188.79","188.79"
"5225.418901019","153.638","153.638","153.638"
"5235.411601852","166.652","166.652","166.652"
"5245.412196396","174.664","174.664","174.664"
"5255.41341614","225.571","225.571","225.571"
"5265.410942662","195.44","195.44","195.44"
"5275.412392525","245.47","245.47","245.47"
"5285.412361137","186.259","186.259","186.259"
"5295.411828667","249.96","249.96","249.96"
"5305.413166232","218.313","218.313","218.313"
"5315.411453526","212.64","212.64","212.64"
"5325.412625452","188.943","188.943","188.943"
"5335.411909625","251.835","251.835","251.835"
"5345.411741492","183.136","183.136","183.136"
"5355.411398135","207.811","207.811","207.811"
"5365.411649297","185.874","185.874","185.874"
"5375.411434836","234.989","234.989","234.989"
"5385.418016377","211.138","211.138","211.138"
"5395.411334014","185.363","185.363","185.363"
"5405.413813352","166.174","166.174","166.174"
"5415.411733599","224.726","224.726","224.726"
"5425.420727213","209.68","209.68","209.68"
"5435.4114517","236.683","236.683","236.683"
"5445.412683613","221.715","221.715","221.715"
"5455.41219522","188.927","188.927","188.927"
"5465.411952708","184.491","184.491","184.491"
"5475.416679485","258.831","258.831","258.831"
"5485.411533177","206.627","206.627","206.627"
"5495.41327887","188.697","188.697","188.697"
"5505.411426212","171.976","171.976","171.976"
"5515.412216785","196.896","196.896","196.896"
"5525.411577782","191.762","191.762","191.762"
"5535.412939855","199.38","199.38","199.38"
"5545.410899582","257.872","257.872","257.872"
"5555.41386251","218.099","218.099","218.099"
"5565.412568081","229.809","229.809","229.809"
"5575.411995721","180.472","180.472","180.472"
"5585.413962998","217.631","217.631","217.631"
"5595.412749419","195.077","195.077","195.077"
"5605.411272615","190.645","190.645","190.645"
"5615.415209118","188.559","188.559","188.559"
"5625.42277779","242.458","242.458","242.458"
"5635.414624362","187.823","187.823","187.823"
"5645.411048182","235.498","235.498","235.498"
"5655.412284789","188.452","188.452","188.452"
"5665.411319653","182.309","182.309","182.309"
"5675.411776056","244.745","244.745","244.745"
"5685.412801151","198.138","198.138","198.138"
"5695.411079259","183.894","183.894","183.894"
"5705.412101938","197.402","197.402","197.402"
"5715.411631286","210.034","210.034","210.034"
"5725.416782814","211.749","211.749","211.749"
"5735.411292024","179.461","179.461","179.461"
"5745.41214693","232.634","232.634","232.634"
"5755.412486179","186.089","186.089","186.089"
"5765.411470871","192.592","192.592","192.592"
"5775.414051854","239.522","239.522","239.522"
"5785.412592758","165.821","165.821","165.821"
"5795.411126976","227.453","227.453","227.453"
"5805.412426518","164.914","164.914","164.914"
"5815.413858624","175.156","175.156","175.156"
"5825.419230085","242.928","242.928","242.928"
"5835.41283342","256.068","256.068","256.068"
"5845.411376084","198.006","198.006","198.006"
"5855.414410676","168.496","168.496","168.496"
"5865.415347797","185.262","185.262","185.262"
"5875.412254094","244.151","244.151","244.151"
"5885.415112073","190.384","190.384","190.384"
"5895.411499385","232.427","232.427","232.427"
"5905.411079253","187.715","187.715","187.715"
"5915.411417224","190.924","190.924","190.924"
"5925.412710795","196.069","196.069","196.069"
"5935.412456254","151.524","151.524","151.524"
"5945.410947866","232.522","232.522","232.522"
"5955.411235643","237.301","237.301","237.301"
"5965.416361704","188.927","188.927","188.927"
"5975.410777359","253.869","253.869","253.869"
"5985.411006392","192.256","192.256","192.256"
"5995.41181754","228.778","228.778","228.778"
"6005.412070937","182.904","182.904","182.904"
"6015.411909619","231.312","231.312","231.312"
"6025.413377131","185.773","185.773","185.773"
"6035.411676401","245.22","245.22","245.22"
"6045.410853619","180.56","180.56","180.56"
"6055.41190972","188.924","188.924","188.924"
"6065.412305462","189.689","189.689","189.689"
"6075.423772725","224.254","224.254","224.254"
"6085.411243386","182.206","182.206","182.206"
"6095.411784284","182.421","182.421","182.421"
"6105.411341676","190.746","190.746","190.746"
"6115.411651614","235.08","235.08","235.08"
"6125.411677638","196.192","196.192","196.192"
"6135.411516478","126.732","126.732","126.732"
"6145.411421422","232.764","232.764","232.764"
"6155.41355591","250.57","250.57","250.57"
"6165.412135057","160.275","160.275","160.275"
"6175.411787945","193.233","193.233","193.233"
"6185.415005784","231.298","231.298","231.298"
"6195.411557255","182.176","182.176","182.176"
"6205.411214593","228.684","228.684","228.684"
"6215.411932127","239.608","239.608","239.608"
"6225.417741847","194.946","194.946","194.946"
"6235.413190352","192.61","192.61","192.61"
"6245.411644422","234.593","234.593","234.593"
"6255.411667831","187.486","187.486","187.486"
"6265.412938382","195.547","195.547","195.547"
"6275.411980022","235.859","235.859","235.859"
"6285.41162377","186.734","186.734","186.734"
"6295.413141969","194.584","194.584","194.584"
"6305.41214119","229.717","229.717","229.717"
"6315.411573872","188.573","188.573","188.573"
"6325.41235574","151.841","151.841","151.841"
"6335.411625455","162.846","162.846","162.846"
"6345.418116037","214.532","214.532","214.532"
"6355.415880673","186.72","186.72","186.72"
"6365.410776369","195.552","195.552","195.552"
"6375.411448498","190.897","190.897","190.897"
"6385.420605084","247.802","247.802","247.802"
"6395.413899981","184.304","184.304","184.304"
"6405.411811119","200.835","200.835","200.835"
"6415.414862011","256.246","256.246","256.246"
"6425.411411491","175.882","175.882","175.882"
"6435.411152785","245.972","245.972","245.972"
"6445.411743661","192.105","192.105","192.105"
"6455.411372979","184.534","184.534","184.534"
"6465.411605788","160.348","160.348","160.348"
"6475.411836944","187.593","187.593","187.593"
"6485.411213628","127.962","127.962","127.962"
"6495.415892002","256.691","256.691","256.691"
"6505.411350388","186.125","186.125","186.125"
"6515.411723232","115.904","115.904","115.904"
"6525.414254905","185.353","185.353","185.353"
"6535.413709337","138.775","138.775","138.775"
"6545.412772404","204.603","204.603","204.603"
"6555.411687865","207.193","207.193","207.193"
"6565.411246657","191.022","191.022","191.022"
"6575.411448231","194.475","194.475","194.475"
"6585.412792487","187.96","187.96","187.96"
"6595.414748994","168.452","168.452","168.452"
"6605.412676028","244.348","244.348","244.348"
"6615.412675827","248.717","248.717","248.717"
"6625.416235341","243.76","243.76","243.76"
"6635.411263427","152.163","152.163","152.163"
"6645.411835355","170.868","170.868","170.868"
"6655.412236447","186.736","186.736","186.736"
"6665.411761764","183.066","183.066","183.066"
