"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.smClock","StudyAbroadGPT-7B - system/gpu.0.smClock__MIN","StudyAbroadGPT-7B - system/gpu.0.smClock__MAX"
"2375.411127442","1265","1265","1265"
"2385.412079876","1303","1303","1303"
"2395.413505507","1278","1278","1278"
"2405.411173636","1328","1328","1328"
"2415.411728608","1278","1278","1278"
"2425.41421959","1303","1303","1303"
"2435.411555875","1316","1316","1316"
"2445.412270359","1265","1265","1265"
"2455.415381257","1278","1278","1278"
"2465.411972076","1278","1278","1278"
"2475.411609934","1316","1316","1316"
"2485.420319276","1265","1265","1265"
"2495.412461321","1278","1278","1278"
"2505.411227115","1265","1265","1265"
"2515.412221748","1328","1328","1328"
"2525.41166809","1278","1278","1278"
"2535.411933454","1290","1290","1290"
"2545.411108089","1278","1278","1278"
"2555.415908782","1316","1316","1316"
"2565.41164305","1278","1278","1278"
"2575.411383217","1316","1316","1316"
"2585.411887438","1328","1328","1328"
"2595.411575131","1328","1328","1328"
"2605.412543687","1290","1290","1290"
"2615.412879141","1328","1328","1328"
"2625.412219673","1303","1303","1303"
"2635.415326391","1328","1328","1328"
"2645.412669842","1290","1290","1290"
"2655.414269862","1278","1278","1278"
"2665.411804598","1278","1278","1278"
"2675.412909718","1328","1328","1328"
"2685.41492717","1278","1278","1278"
"2695.415691622","1278","1278","1278"
"2705.411692869","1303","1303","1303"
"2715.417262523","1328","1328","1328"
"2725.411737993","1278","1278","1278"
"2735.416437092","1290","1290","1290"
"2745.412202607","1328","1328","1328"
"2755.412723218","1328","1328","1328"
"2765.413595791","1278","1278","1278"
"2775.411016321","1316","1316","1316"
"2785.412239832","1290","1290","1290"
"2795.412653782","1278","1278","1278"
"2805.41127622","1316","1316","1316"
"2815.411299777","1278","1278","1278"
"2825.414858823","1328","1328","1328"
"2835.411694564","1316","1316","1316"
"2845.410824718","1278","1278","1278"
"2855.411135127","1278","1278","1278"
"2865.413289655","1303","1303","1303"
"2875.411754195","1278","1278","1278"
"2885.411952961","1278","1278","1278"
"2895.410986276","1290","1290","1290"
"2905.418403418","1278","1278","1278"
"2915.414726061","1290","1290","1290"
"2925.412528514","1278","1278","1278"
"2935.411922667","1290","1290","1290"
"2945.411438928","1316","1316","1316"
"2955.419458695","1290","1290","1290"
"2965.41245981","1278","1278","1278"
"2975.411159761","1328","1328","1328"
"2985.4129458","1265","1265","1265"
"2995.411836221","1316","1316","1316"
"3005.411503274","1278","1278","1278"
"3015.41202553","1278","1278","1278"
"3025.412129055","1328","1328","1328"
"3035.41113689","1328","1328","1328"
"3045.412566135","1278","1278","1278"
"3055.41143894","1316","1316","1316"
"3065.41114961","1278","1278","1278"
"3075.411812485","1278","1278","1278"
"3085.411781058","1252","1252","1252"
"3095.411323811","1290","1290","1290"
"3105.413356756","1265","1265","1265"
"3115.411721513","1278","1278","1278"
"3125.411144028","1278","1278","1278"
"3135.410916046","1316","1316","1316"
"3145.412565269","1278","1278","1278"
"3155.411772288","1328","1328","1328"
"3165.41139911","1316","1316","1316"
"3175.411626393","1278","1278","1278"
"3185.415291662","1278","1278","1278"
"3195.418259217","1316","1316","1316"
"3205.413663598","1278","1278","1278"
"3215.411990932","1265","1265","1265"
"3225.415938272","1278","1278","1278"
"3235.414777553","1316","1316","1316"
"3245.412894779","1316","1316","1316"
"3255.412327642","1328","1328","1328"
"3265.416183394","1290","1290","1290"
"3275.415586583","1328","1328","1328"
"3285.411374381","1290","1290","1290"
"3295.411724031","1328","1328","1328"
"3305.415908253","1303","1303","1303"
"3315.411827801","1290","1290","1290"
"3325.412928082","1278","1278","1278"
"3335.412504007","1316","1316","1316"
"3345.411899448","1316","1316","1316"
"3355.415283073","1303","1303","1303"
"3365.412171197","1278","1278","1278"
"3375.411887322","1278","1278","1278"
"3385.415729345","1290","1290","1290"
"3395.413464974","1290","1290","1290"
"3405.411836476","1278","1278","1278"
"3415.411663239","1278","1278","1278"
"3425.413046437","1278","1278","1278"
"3435.41222471","1278","1278","1278"
"3445.41202448","1278","1278","1278"
"3455.411501937","1290","1290","1290"
"3465.411740223","1252","1252","1252"
"3475.414189522","1278","1278","1278"
"3485.411418823","1328","1328","1328"
"3495.412666936","1303","1303","1303"
"3505.414221256","1278","1278","1278"
"3515.412248484","1278","1278","1278"
"3525.411449694","1278","1278","1278"
"3535.412392024","1316","1316","1316"
"3545.412229875","1316","1316","1316"
"3555.411300369","1316","1316","1316"
"3565.415825152","1265","1265","1265"
"3575.410949271","1328","1328","1328"
"3585.412363193","1278","1278","1278"
"3595.411394325","1278","1278","1278"
"3605.411601172","1303","1303","1303"
"3615.415986935","1278","1278","1278"
"3625.411864321","1328","1328","1328"
"3635.411411223","1278","1278","1278"
"3645.412200551","1278","1278","1278"
"3655.41381964","1316","1316","1316"
"3665.4120409","1278","1278","1278"
"3675.411426767","1316","1316","1316"
"3685.41247843","1316","1316","1316"
"3695.41121119","1278","1278","1278"
"3705.414031439","1278","1278","1278"
"3715.411874095","1290","1290","1290"
"3725.411789728","1328","1328","1328"
"3735.411520204","1278","1278","1278"
"3745.41126627","1328","1328","1328"
"3755.411623597","1290","1290","1290"
"3765.412567579","1290","1290","1290"
"3775.4123153","1303","1303","1303"
"3785.41610154","1290","1290","1290"
"3795.411575585","1290","1290","1290"
"3805.411674456","1278","1278","1278"
"3815.414091634","1252","1252","1252"
"3825.411660241","1278","1278","1278"
"3835.411720595","1278","1278","1278"
"3845.411603942","1328","1328","1328"
"3855.411410609","1316","1316","1316"
"3865.412122833","1290","1290","1290"
"3875.411448973","1303","1303","1303"
"3885.411172585","1278","1278","1278"
"3895.412336278","1278","1278","1278"
"3905.411326343","1252","1252","1252"
"3915.411600168","1278","1278","1278"
"3925.411138106","1278","1278","1278"
"3935.414650514","1316","1316","1316"
"3945.411224131","1290","1290","1290"
"3955.411527363","1252","1252","1252"
"3965.411134542","1316","1316","1316"
"3975.411738568","1265","1265","1265"
"3985.411737955","1316","1316","1316"
"3995.411733064","1316","1316","1316"
"4005.411638418","1278","1278","1278"
"4015.411785785","1316","1316","1316"
"4025.416441103","1278","1278","1278"
"4035.412585433","1316","1316","1316"
"4045.411685431","1278","1278","1278"
"4055.411179653","1252","1252","1252"
"4065.411197727","1290","1290","1290"
"4075.412704652","1316","1316","1316"
"4085.411683538","1303","1303","1303"
"4095.416198941","1278","1278","1278"
"4105.412114284","1278","1278","1278"
"4115.411753024","1316","1316","1316"
"4125.411903796","1328","1328","1328"
"4135.411431945","1303","1303","1303"
"4145.414139948","1278","1278","1278"
"4155.414993476","1290","1290","1290"
"4165.411279047","1303","1303","1303"
"4175.41092232","1278","1278","1278"
"4185.411775702","1316","1316","1316"
"4195.411983621","1328","1328","1328"
"4205.411901324","1278","1278","1278"
"4215.412958295","1278","1278","1278"
"4225.411759082","1316","1316","1316"
"4235.414241777","1316","1316","1316"
"4245.411837143","1278","1278","1278"
"4255.412181322","1278","1278","1278"
"4265.411068585","1278","1278","1278"
"4275.414172243","1328","1328","1328"
"4285.412727077","1278","1278","1278"
"4295.412047745","1303","1303","1303"
"4305.412316981","1316","1316","1316"
"4315.410896534","1278","1278","1278"
"4325.411141583","1278","1278","1278"
"4335.411796243","1316","1316","1316"
"4345.414026569","1278","1278","1278"
"4355.411444373","1278","1278","1278"
"4365.412180272","1316","1316","1316"
"4375.415355515","1278","1278","1278"
"4385.410981157","1316","1316","1316"
"4395.411910005","1328","1328","1328"
"4405.411313303","1328","1328","1328"
"4415.412789567","1316","1316","1316"
"4425.411631902","1303","1303","1303"
"4435.411403519","1328","1328","1328"
"4445.411445977","1278","1278","1278"
"4455.410982678","1278","1278","1278"
"4465.411938311","1328","1328","1328"
"4475.416395645","1290","1290","1290"
"4485.411582772","1316","1316","1316"
"4495.41144944","1316","1316","1316"
"4505.411692229","1328","1328","1328"
"4515.411985858","1278","1278","1278"
"4525.412561691","1278","1278","1278"
"4535.411802924","1278","1278","1278"
"4545.412233711","1303","1303","1303"
"4555.411343626","1316","1316","1316"
"4565.417542099","1278","1278","1278"
"4575.414976976","1278","1278","1278"
"4585.411935821","1316","1316","1316"
"4595.41091824","1278","1278","1278"
"4605.411597997","1278","1278","1278"
"4615.415628076","1278","1278","1278"
"4625.411628074","1278","1278","1278"
"4635.417137778","1316","1316","1316"
"4645.411522476","1316","1316","1316"
"4655.411107846","1278","1278","1278"
"4665.411556531","1278","1278","1278"
"4675.415020139","1316","1316","1316"
"4685.412048616","1316","1316","1316"
"4695.410947429","1328","1328","1328"
"4705.414130225","1265","1265","1265"
"4715.411427952","1303","1303","1303"
"4725.412731143","1328","1328","1328"
"4735.411486408","1278","1278","1278"
"4745.414613794","1290","1290","1290"
"4755.411465772","1265","1265","1265"
"4765.417970233","1316","1316","1316"
"4775.418225195","1278","1278","1278"
"4785.4125644","1316","1316","1316"
"4795.411198539","1316","1316","1316"
"4805.410995006","1278","1278","1278"
"4815.417311036","1278","1278","1278"
"4825.411859034","1290","1290","1290"
"4835.412154757","1316","1316","1316"
"4845.412242882","1278","1278","1278"
"4855.411421882","1278","1278","1278"
"4865.410760101","1290","1290","1290"
"4875.411271798","1328","1328","1328"
"4885.411845216","1328","1328","1328"
"4895.411696467","1278","1278","1278"
"4905.411156044","1278","1278","1278"
"4915.411613157","1328","1328","1328"
"4925.412454119","1290","1290","1290"
"4935.41094946","1278","1278","1278"
"4945.411097451","1278","1278","1278"
"4955.411075622","1316","1316","1316"
"4965.412198008","1303","1303","1303"
"4975.415365615","1278","1278","1278"
"4985.413327206","1290","1290","1290"
"4995.410899753","1303","1303","1303"
"5005.412497238","1316","1316","1316"
"5015.415762986","1278","1278","1278"
"5025.415778945","1316","1316","1316"
"5035.412575305","1328","1328","1328"
"5045.411197361","1278","1278","1278"
"5055.417270607","1265","1265","1265"
"5065.41254392","1316","1316","1316"
"5075.411879732","1278","1278","1278"
"5085.412316808","1316","1316","1316"
"5095.413861218","1278","1278","1278"
"5105.416465378","1278","1278","1278"
"5115.412833804","1316","1316","1316"
"5125.413131234","1278","1278","1278"
"5135.411910132","1316","1316","1316"
"5145.411282997","1303","1303","1303"
"5155.411852133","1316","1316","1316"
"5165.412187957","1328","1328","1328"
"5175.411423852","1278","1278","1278"
"5185.411780484","1328","1328","1328"
"5195.411876483","1290","1290","1290"
"5205.411728005","1328","1328","1328"
"5215.410897451","1316","1316","1316"
"5225.418901019","1328","1328","1328"
"5235.411601852","1252","1252","1252"
"5245.412196396","1303","1303","1303"
"5255.41341614","1252","1252","1252"
"5265.410942662","1328","1328","1328"
"5275.412392525","1290","1290","1290"
"5285.412361137","1316","1316","1316"
"5295.411828667","1303","1303","1303"
"5305.413166232","1278","1278","1278"
"5315.411453526","1278","1278","1278"
"5325.412625452","1328","1328","1328"
"5335.411909625","1303","1303","1303"
"5345.411741492","1278","1278","1278"
"5355.411398135","1328","1328","1328"
"5365.411649297","1328","1328","1328"
"5375.411434836","1265","1265","1265"
"5385.418016377","1278","1278","1278"
"5395.411334014","1278","1278","1278"
"5405.413813352","1278","1278","1278"
"5415.411733599","1316","1316","1316"
"5425.420727213","1316","1316","1316"
"5435.4114517","1278","1278","1278"
"5445.412683613","1252","1252","1252"
"5455.41219522","1278","1278","1278"
"5465.411952708","1265","1265","1265"
"5475.416679485","1278","1278","1278"
"5485.411533177","1328","1328","1328"
"5495.41327887","1265","1265","1265"
"5505.411426212","1328","1328","1328"
"5515.412216785","1278","1278","1278"
"5525.411577782","1328","1328","1328"
"5535.412939855","1328","1328","1328"
"5545.410899582","1328","1328","1328"
"5555.41386251","1278","1278","1278"
"5565.412568081","1265","1265","1265"
"5575.411995721","1303","1303","1303"
"5585.413962998","1278","1278","1278"
"5595.412749419","1316","1316","1316"
"5605.411272615","1278","1278","1278"
"5615.415209118","1303","1303","1303"
"5625.42277779","1316","1316","1316"
"5635.414624362","1278","1278","1278"
"5645.411048182","1316","1316","1316"
"5655.412284789","1278","1278","1278"
"5665.411319653","1316","1316","1316"
"5675.411776056","1290","1290","1290"
"5685.412801151","1278","1278","1278"
"5695.411079259","1316","1316","1316"
"5705.412101938","1328","1328","1328"
"5715.411631286","1328","1328","1328"
"5725.416782814","1278","1278","1278"
"5735.411292024","1328","1328","1328"
"5745.41214693","1265","1265","1265"
"5755.412486179","1278","1278","1278"
"5765.411470871","1316","1316","1316"
"5775.414051854","1303","1303","1303"
"5785.412592758","1328","1328","1328"
"5795.411126976","1278","1278","1278"
"5805.412426518","1316","1316","1316"
"5815.413858624","1290","1290","1290"
"5825.419230085","1278","1278","1278"
"5835.41283342","1290","1290","1290"
"5845.411376084","1290","1290","1290"
"5855.414410676","1303","1303","1303"
"5865.415347797","1278","1278","1278"
"5875.412254094","1278","1278","1278"
"5885.415112073","1328","1328","1328"
"5895.411499385","1290","1290","1290"
"5905.411079253","1278","1278","1278"
"5915.411417224","1328","1328","1328"
"5925.412710795","1328","1328","1328"
"5935.412456254","1328","1328","1328"
"5945.410947866","1278","1278","1278"
"5955.411235643","1278","1278","1278"
"5965.416361704","1278","1278","1278"
"5975.410777359","1303","1303","1303"
"5985.411006392","1328","1328","1328"
"5995.41181754","1278","1278","1278"
"6005.412070937","1316","1316","1316"
"6015.411909619","1303","1303","1303"
"6025.413377131","1328","1328","1328"
"6035.411676401","1278","1278","1278"
"6045.410853619","1278","1278","1278"
"6055.41190972","1303","1303","1303"
"6065.412305462","1316","1316","1316"
"6075.423772725","1328","1328","1328"
"6085.411243386","1328","1328","1328"
"6095.411784284","1328","1328","1328"
"6105.411341676","1328","1328","1328"
"6115.411651614","1278","1278","1278"
"6125.411677638","1278","1278","1278"
"6135.411516478","1316","1316","1316"
"6145.411421422","1316","1316","1316"
"6155.41355591","1328","1328","1328"
"6165.412135057","1278","1278","1278"
"6175.411787945","1278","1278","1278"
"6185.415005784","1278","1278","1278"
"6195.411557255","1278","1278","1278"
"6205.411214593","1328","1328","1328"
"6215.411932127","1290","1290","1290"
"6225.417741847","1278","1278","1278"
"6235.413190352","1278","1278","1278"
"6245.411644422","1278","1278","1278"
"6255.411667831","1278","1278","1278"
"6265.412938382","1316","1316","1316"
"6275.411980022","1278","1278","1278"
"6285.41162377","1290","1290","1290"
"6295.413141969","1328","1328","1328"
"6305.41214119","1278","1278","1278"
"6315.411573872","1316","1316","1316"
"6325.41235574","1278","1278","1278"
"6335.411625455","1316","1316","1316"
"6345.418116037","1316","1316","1316"
"6355.415880673","1278","1278","1278"
"6365.410776369","1316","1316","1316"
"6375.411448498","1265","1265","1265"
"6385.420605084","1278","1278","1278"
"6395.413899981","1290","1290","1290"
"6405.411811119","1316","1316","1316"
"6415.414862011","1290","1290","1290"
"6425.411411491","1278","1278","1278"
"6435.411152785","1278","1278","1278"
"6445.411743661","1316","1316","1316"
"6455.411372979","1328","1328","1328"
"6465.411605788","1328","1328","1328"
"6475.411836944","1278","1278","1278"
"6485.411213628","1328","1328","1328"
"6495.415892002","1290","1290","1290"
"6505.411350388","1278","1278","1278"
"6515.411723232","1303","1303","1303"
"6525.414254905","1265","1265","1265"
"6535.413709337","1316","1316","1316"
"6545.412772404","1328","1328","1328"
"6555.411687865","1328","1328","1328"
"6565.411246657","1328","1328","1328"
"6575.411448231","1328","1328","1328"
"6585.412792487","1303","1303","1303"
"6595.414748994","1265","1265","1265"
"6605.412676028","1290","1290","1290"
"6615.412675827","1278","1278","1278"
"6625.416235341","1290","1290","1290"
"6635.411263427","1316","1316","1316"
"6645.411835355","1328","1328","1328"
"6655.412236447","1316","1316","1316"
"6665.411761764","1316","1316","1316"
"6675.417607684","1278","1278","1278"
"6685.41166645","1278","1278","1278"
"6695.411712261","1290","1290","1290"
"6705.411005731","1328","1328","1328"
"6715.412565232","1252","1252","1252"
"6725.412787554","1316","1316","1316"
"6735.416417804","1278","1278","1278"
"6745.415216505","1328","1328","1328"
"6755.411204199","1278","1278","1278"
"6765.411202966","1278","1278","1278"
"6775.411068108","1328","1328","1328"
"6785.411322115","1316","1316","1316"
"6795.411360875","1278","1278","1278"
"6805.411529686","1328","1328","1328"
"6815.414144215","1278","1278","1278"
"6825.411785617","1316","1316","1316"
"6835.412175223","1316","1316","1316"
"6845.415324455","1278","1278","1278"
"6855.411459023","1316","1316","1316"
"6865.411381799","1278","1278","1278"
"6875.411450242","1278","1278","1278"
"6885.411733604","1328","1328","1328"
"6895.413631836","1316","1316","1316"
"6905.41220331","1278","1278","1278"
"6915.411367127","1316","1316","1316"
"6925.410833943","1316","1316","1316"
"6935.41803182","1316","1316","1316"
"6945.412048688","1316","1316","1316"
"6955.411623089","1328","1328","1328"
"6965.413185372","1316","1316","1316"
"6975.412107328","1316","1316","1316"
"6985.411434455","1278","1278","1278"
"6995.410864401","1328","1328","1328"
"7005.412443357","1328","1328","1328"
"7015.411427426","1328","1328","1328"
"7025.41210309","1278","1278","1278"
"7035.419625844","1290","1290","1290"
"7045.411399343","1278","1278","1278"
"7055.415930159","1278","1278","1278"
"7065.41183735","1278","1278","1278"
"7075.411509628","1316","1316","1316"
"7085.411428785","1265","1265","1265"
"7095.411191609","1290","1290","1290"
"7105.41104051","1265","1265","1265"
"7115.41147993","1328","1328","1328"
"7125.411825987","1316","1316","1316"
"7135.411696187","1316","1316","1316"
"7145.411368681","1278","1278","1278"
"7155.4117383","1316","1316","1316"
"7165.411690041","1278","1278","1278"
"7175.416513409","1278","1278","1278"
"7185.411794059","1303","1303","1303"
"7195.412335592","1278","1278","1278"
"7205.411831509","1278","1278","1278"
"7215.412346908","1328","1328","1328"
"7225.415303533","1278","1278","1278"
"7235.412866385","1328","1328","1328"
"7245.412006662","1278","1278","1278"
"7255.411298817","1328","1328","1328"
"7265.4117241","1265","1265","1265"
"7275.410917156","1278","1278","1278"
"7285.412436295","1278","1278","1278"
"7295.411912065","1290","1290","1290"
"7305.411876876","1316","1316","1316"
"7315.411560071","1316","1316","1316"
"7325.411895999","1278","1278","1278"
"7335.411633473","1278","1278","1278"
"7345.412173522","1265","1265","1265"
"7355.411106465","1328","1328","1328"
"7365.411327138","1278","1278","1278"
"7375.413843476","1278","1278","1278"
"7385.411946143","1316","1316","1316"
"7395.412888164","1328","1328","1328"
"7405.412625601","1278","1278","1278"
"7415.412719441","1328","1328","1328"
"7425.411336143","1316","1316","1316"
"7435.413130826","1316","1316","1316"
"7445.411457531","1328","1328","1328"
"7455.411512456","1328","1328","1328"
"7465.414218143","1290","1290","1290"
"7475.411607068","1290","1290","1290"
"7485.411280781","1278","1278","1278"
"7495.411382658","1278","1278","1278"
"7505.411700461","1328","1328","1328"
"7515.412408728","1278","1278","1278"
"7525.411258861","1328","1328","1328"
"7535.411417441","1278","1278","1278"
"7545.411048589","1303","1303","1303"
"7555.412241979","1328","1328","1328"
"7565.412256608","1316","1316","1316"
"7575.411906601","1265","1265","1265"
"7585.412449584","1316","1316","1316"
"7595.411447388","1316","1316","1316"
"7605.414672165","1328","1328","1328"
"7615.413399657","1316","1316","1316"
"7625.412545189","1278","1278","1278"
"7635.41557482","1252","1252","1252"
"7645.414348086","1278","1278","1278"
"7655.413136764","1278","1278","1278"
"7665.410798322","1290","1290","1290"
"7675.410886306","1278","1278","1278"
"7685.416125315","1328","1328","1328"
"7695.412294658","1328","1328","1328"
"7705.410853312","1328","1328","1328"
"7715.41142571","1328","1328","1328"
"7725.413213106","1252","1252","1252"
"7735.411717404","1265","1265","1265"
"7745.411833064","1316","1316","1316"
"7755.411779191","1328","1328","1328"
"7765.41184969","1278","1278","1278"
"7775.413807674","1278","1278","1278"
