"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memory","StudyAbroadGPT-7B - system/gpu.0.memory__MIN","StudyAbroadGPT-7B - system/gpu.0.memory__MAX"
"2045.410984659","11","11","11"
"2055.410947966","10","10","10"
"2065.417816842","12","12","12"
"2075.41819205","10","10","10"
"2085.411611926","10","10","10"
"2095.412664482","14","14","14"
"2105.413740336","10","10","10"
"2115.412671575","9","9","9"
"2125.411266492","10","10","10"
"2135.412028954","13","13","13"
"2145.412587752","13","13","13"
"2155.416712195","11","11","11"
"2165.411165136","13","13","13"
"2175.411513244","11","11","11"
"2185.412031306","7","7","7"
"2195.410952215","10","10","10"
"2205.411903602","10","10","10"
"2215.414278402","11","11","11"
"2225.412007559","10","10","10"
"2235.411102679","11","11","11"
"2245.411622578","9","9","9"
"2255.418894774","14","14","14"
"2265.414956628","14","14","14"
"2275.41184301","11","11","11"
"2285.410963977","10","10","10"
"2295.412530662","13","13","13"
"2305.412772184","10","10","10"
"2315.411893112","10","10","10"
"2325.412098662","10","10","10"
"2335.411781539","13","13","13"
"2345.413673703","12","12","12"
"2355.411483871","10","10","10"
"2365.414724332","12","12","12"
"2375.411127442","7","7","7"
"2385.412079876","11","11","11"
"2395.413505507","13","13","13"
"2405.411173636","13","13","13"
"2415.411728608","13","13","13"
"2425.41421959","11","11","11"
"2435.411555875","11","11","11"
"2445.412270359","12","12","12"
"2455.415381257","13","13","13"
"2465.411972076","9","9","9"
"2475.411609934","11","11","11"
"2485.420319276","10","10","10"
"2495.412461321","14","14","14"
"2505.411227115","9","9","9"
"2515.412221748","11","11","11"
"2525.41166809","9","9","9"
"2535.411933454","11","11","11"
"2545.411108089","9","9","9"
"2555.415908782","10","10","10"
"2565.41164305","9","9","9"
"2575.411383217","11","11","11"
"2585.411887438","13","13","13"
"2595.411575131","12","12","12"
"2605.412543687","10","10","10"
"2615.412879141","11","11","11"
"2625.412219673","11","11","11"
"2635.415326391","13","13","13"
"2645.412669842","11","11","11"
"2655.414269862","12","12","12"
"2665.411804598","9","9","9"
"2675.412909718","11","11","11"
"2685.41492717","10","10","10"
"2695.415691622","10","10","10"
"2705.411692869","11","11","11"
"2715.417262523","14","14","14"
"2725.411737993","10","10","10"
"2735.416437092","11","11","11"
"2745.412202607","15","15","15"
"2755.412723218","11","11","11"
"2765.413595791","14","14","14"
"2775.411016321","11","11","11"
"2785.412239832","10","10","10"
"2795.412653782","10","10","10"
"2805.41127622","10","10","10"
"2815.411299777","9","9","9"
"2825.414858823","13","13","13"
"2835.411694564","10","10","10"
"2845.410824718","13","13","13"
"2855.411135127","9","9","9"
"2865.413289655","11","11","11"
"2875.411754195","10","10","10"
"2885.411952961","13","13","13"
"2895.410986276","10","10","10"
"2905.418403418","11","11","11"
"2915.414726061","10","10","10"
"2925.412528514","13","13","13"
"2935.411922667","10","10","10"
"2945.411438928","10","10","10"
"2955.419458695","10","10","10"
"2965.41245981","14","14","14"
"2975.411159761","9","9","9"
"2985.4129458","10","10","10"
"2995.411836221","11","11","11"
"3005.411503274","9","9","9"
"3015.41202553","14","14","14"
"3025.412129055","7","7","7"
"3035.41113689","9","9","9"
"3045.412566135","11","11","11"
"3055.41143894","11","11","11"
"3065.41114961","14","14","14"
"3075.411812485","11","11","11"
"3085.411781058","11","11","11"
"3095.411323811","11","11","11"
"3105.413356756","10","10","10"
"3115.411721513","13","13","13"
"3125.411144028","10","10","10"
"3135.410916046","11","11","11"
"3145.412565269","13","13","13"
"3155.411772288","13","13","13"
"3165.41139911","11","11","11"
"3175.411626393","12","12","12"
"3185.415291662","13","13","13"
"3195.418259217","10","10","10"
"3205.413663598","13","13","13"
"3215.411990932","10","10","10"
"3225.415938272","14","14","14"
"3235.414777553","10","10","10"
"3245.412894779","11","11","11"
"3255.412327642","13","13","13"
"3265.416183394","12","12","12"
"3275.415586583","11","11","11"
"3285.411374381","13","13","13"
"3295.411724031","7","7","7"
"3305.415908253","11","11","11"
"3315.411827801","11","11","11"
"3325.412928082","9","9","9"
"3335.412504007","12","12","12"
"3345.411899448","11","11","11"
"3355.415283073","12","12","12"
"3365.412171197","10","10","10"
"3375.411887322","12","12","12"
"3385.415729345","10","10","10"
"3395.413464974","12","12","12"
"3405.411836476","10","10","10"
"3415.411663239","11","11","11"
"3425.413046437","10","10","10"
"3435.41222471","11","11","11"
"3445.41202448","12","12","12"
"3455.411501937","10","10","10"
"3465.411740223","12","12","12"
"3475.414189522","13","13","13"
"3485.411418823","13","13","13"
"3495.412666936","11","11","11"
"3505.414221256","9","9","9"
"3515.412248484","11","11","11"
"3525.411449694","10","10","10"
"3535.412392024","11","11","11"
"3545.412229875","10","10","10"
"3555.411300369","10","10","10"
"3565.415825152","10","10","10"
"3575.410949271","14","14","14"
"3585.412363193","11","11","11"
"3595.411394325","13","13","13"
"3605.411601172","11","11","11"
"3615.415986935","10","10","10"
"3625.411864321","9","9","9"
"3635.411411223","10","10","10"
"3645.412200551","11","11","11"
"3655.41381964","11","11","11"
"3665.4120409","13","13","13"
"3675.411426767","10","10","10"
"3685.41247843","11","11","11"
"3695.41121119","13","13","13"
"3705.414031439","10","10","10"
"3715.411874095","14","14","14"
"3725.411789728","6","6","6"
"3735.411520204","9","9","9"
"3745.41126627","14","14","14"
"3755.411623597","13","13","13"
"3765.412567579","11","11","11"
"3775.4123153","10","10","10"
"3785.41610154","10","10","10"
"3795.411575585","10","10","10"
"3805.411674456","12","12","12"
"3815.414091634","10","10","10"
"3825.411660241","13","13","13"
"3835.411720595","9","9","9"
"3845.411603942","10","10","10"
"3855.411410609","10","10","10"
"3865.412122833","11","11","11"
"3875.411448973","10","10","10"
"3885.411172585","13","13","13"
"3895.412336278","11","11","11"
"3905.411326343","13","13","13"
"3915.411600168","10","10","10"
"3925.411138106","12","12","12"
"3935.414650514","10","10","10"
"3945.411224131","11","11","11"
"3955.411527363","9","9","9"
"3965.411134542","11","11","11"
"3975.411738568","11","11","11"
"3985.411737955","11","11","11"
"3995.411733064","10","10","10"
"4005.411638418","9","9","9"
"4015.411785785","11","11","11"
"4025.416441103","10","10","10"
"4035.412585433","10","10","10"
"4045.411685431","10","10","10"
"4055.411179653","14","14","14"
"4065.411197727","10","10","10"
"4075.412704652","10","10","10"
"4085.411683538","10","10","10"
"4095.416198941","12","12","12"
"4105.412114284","12","12","12"
"4115.411753024","11","11","11"
"4125.411903796","10","10","10"
"4135.411431945","11","11","11"
"4145.414139948","10","10","10"
"4155.414993476","10","10","10"
"4165.411279047","11","11","11"
"4175.41092232","10","10","10"
"4185.411775702","10","10","10"
"4195.411983621","14","14","14"
"4205.411901324","10","10","10"
"4215.412958295","12","12","12"
"4225.411759082","10","10","10"
"4235.414241777","11","11","11"
"4245.411837143","10","10","10"
"4255.412181322","12","12","12"
"4265.411068585","10","10","10"
"4275.414172243","13","13","13"
"4285.412727077","12","12","12"
"4295.412047745","11","11","11"
"4305.412316981","11","11","11"
"4315.410896534","10","10","10"
"4325.411141583","12","12","12"
"4335.411796243","11","11","11"
"4345.414026569","11","11","11"
"4355.411444373","9","9","9"
"4365.412180272","10","10","10"
"4375.415355515","10","10","10"
"4385.410981157","11","11","11"
"4395.411910005","6","6","6"
"4405.411313303","9","9","9"
"4415.412789567","11","11","11"
"4425.411631902","12","12","12"
"4435.411403519","11","11","11"
"4445.411445977","12","12","12"
"4455.410982678","10","10","10"
"4465.411938311","13","13","13"
"4475.416395645","11","11","11"
"4485.411582772","11","11","11"
"4495.41144944","11","11","11"
"4505.411692229","9","9","9"
"4515.411985858","10","10","10"
"4525.412561691","13","13","13"
"4535.411802924","10","10","10"
"4545.412233711","11","11","11"
"4555.411343626","12","12","12"
"4565.417542099","10","10","10"
"4575.414976976","10","10","10"
"4585.411935821","10","10","10"
"4595.41091824","10","10","10"
"4605.411597997","13","13","13"
"4615.415628076","12","12","12"
"4625.411628074","14","14","14"
"4635.417137778","11","11","11"
"4645.411522476","11","11","11"
"4655.411107846","12","12","12"
"4665.411556531","10","10","10"
"4675.415020139","11","11","11"
"4685.412048616","11","11","11"
"4695.410947429","12","12","12"
"4705.414130225","10","10","10"
"4715.411427952","12","12","12"
"4725.412731143","9","9","9"
"4735.411486408","10","10","10"
"4745.414613794","14","14","14"
"4755.411465772","10","10","10"
"4765.417970233","11","11","11"
"4775.418225195","10","10","10"
"4785.4125644","11","11","11"
"4795.411198539","10","10","10"
"4805.410995006","11","11","11"
"4815.417311036","11","11","11"
"4825.411859034","10","10","10"
"4835.412154757","11","11","11"
"4845.412242882","10","10","10"
"4855.411421882","10","10","10"
"4865.410760101","10","10","10"
"4875.411271798","13","13","13"
"4885.411845216","8","8","8"
"4895.411696467","9","9","9"
"4905.411156044","10","10","10"
"4915.411613157","14","14","14"
"4925.412454119","9","9","9"
"4935.41094946","10","10","10"
"4945.411097451","15","15","15"
"4955.411075622","11","11","11"
"4965.412198008","11","11","11"
"4975.415365615","9","9","9"
"4985.413327206","13","13","13"
"4995.410899753","10","10","10"
"5005.412497238","10","10","10"
"5015.415762986","10","10","10"
"5025.415778945","13","13","13"
"5035.412575305","8","8","8"
"5045.411197361","10","10","10"
"5055.417270607","11","11","11"
"5065.41254392","12","12","12"
"5075.411879732","10","10","10"
"5085.412316808","10","10","10"
"5095.413861218","11","11","11"
"5105.416465378","10","10","10"
"5115.412833804","10","10","10"
"5125.413131234","14","14","14"
"5135.411910132","10","10","10"
"5145.411282997","11","11","11"
"5155.411852133","10","10","10"
"5165.412187957","11","11","11"
"5175.411423852","9","9","9"
"5185.411780484","11","11","11"
"5195.411876483","10","10","10"
"5205.411728005","15","15","15"
"5215.410897451","12","12","12"
"5225.418901019","14","14","14"
"5235.411601852","9","9","9"
"5245.412196396","11","11","11"
"5255.41341614","9","9","9"
"5265.410942662","14","14","14"
"5275.412392525","14","14","14"
"5285.412361137","11","11","11"
"5295.411828667","10","10","10"
"5305.413166232","11","11","11"
"5315.411453526","10","10","10"
"5325.412625452","15","15","15"
"5335.411909625","10","10","10"
"5345.411741492","12","12","12"
"5355.411398135","11","11","11"
"5365.411649297","9","9","9"
"5375.411434836","9","9","9"
"5385.418016377","10","10","10"
"5395.411334014","14","14","14"
"5405.413813352","12","12","12"
"5415.411733599","10","10","10"
"5425.420727213","11","11","11"
"5435.4114517","9","9","9"
"5445.412683613","15","15","15"
"5455.41219522","10","10","10"
"5465.411952708","10","10","10"
"5475.416679485","12","12","12"
"5485.411533177","15","15","15"
"5495.41327887","9","9","9"
"5505.411426212","11","11","11"
"5515.412216785","10","10","10"
"5525.411577782","11","11","11"
"5535.412939855","8","8","8"
"5545.410899582","9","9","9"
"5555.41386251","12","12","12"
"5565.412568081","10","10","10"
"5575.411995721","11","11","11"
"5585.413962998","9","9","9"
"5595.412749419","11","11","11"
"5605.411272615","11","11","11"
"5615.415209118","11","11","11"
"5625.42277779","10","10","10"
"5635.414624362","11","11","11"
"5645.411048182","11","11","11"
"5655.412284789","10","10","10"
"5665.411319653","10","10","10"
"5675.411776056","13","13","13"
"5685.412801151","10","10","10"
"5695.411079259","11","11","11"
"5705.412101938","8","8","8"
"5715.411631286","9","9","9"
"5725.416782814","12","12","12"
"5735.411292024","13","13","13"
"5745.41214693","12","12","12"
"5755.412486179","11","11","11"
"5765.411470871","10","10","10"
"5775.414051854","10","10","10"
"5785.412592758","11","11","11"
"5795.411126976","9","9","9"
"5805.412426518","10","10","10"
"5815.413858624","10","10","10"
"5825.419230085","13","13","13"
"5835.41283342","14","14","14"
"5845.411376084","10","10","10"
"5855.414410676","11","11","11"
"5865.415347797","10","10","10"
"5875.412254094","11","11","11"
"5885.415112073","6","6","6"
"5895.411499385","10","10","10"
"5905.411079253","13","13","13"
"5915.411417224","8","8","8"
"5925.412710795","11","11","11"
"5935.412456254","10","10","10"
"5945.410947866","13","13","13"
"5955.411235643","14","14","14"
"5965.416361704","13","13","13"
"5975.410777359","10","10","10"
"5985.411006392","14","14","14"
"5995.41181754","10","10","10"
"6005.412070937","11","11","11"
"6015.411909619","10","10","10"
"6025.413377131","12","12","12"
"6035.411676401","10","10","10"
"6045.410853619","12","12","12"
"6055.41190972","11","11","11"
"6065.412305462","11","11","11"
"6075.423772725","10","10","10"
"6085.411243386","10","10","10"
"6095.411784284","15","15","15"
"6105.411341676","13","13","13"
"6115.411651614","11","11","11"
"6125.411677638","14","14","14"
"6135.411516478","11","11","11"
"6145.411421422","11","11","11"
"6155.41355591","14","14","14"
"6165.412135057","10","10","10"
"6175.411787945","12","12","12"
"6185.415005784","13","13","13"
"6195.411557255","11","11","11"
"6205.411214593","14","14","14"
"6215.411932127","10","10","10"
"6225.417741847","12","12","12"
"6235.413190352","9","9","9"
"6245.411644422","14","14","14"
"6255.411667831","10","10","10"
"6265.412938382","11","11","11"
"6275.411980022","9","9","9"
"6285.41162377","11","11","11"
"6295.413141969","15","15","15"
"6305.41214119","13","13","13"
"6315.411573872","11","11","11"
"6325.41235574","13","13","13"
"6335.411625455","10","10","10"
"6345.418116037","11","11","11"
"6355.415880673","10","10","10"
"6365.410776369","11","11","11"
"6375.411448498","10","10","10"
"6385.420605084","11","11","11"
"6395.413899981","10","10","10"
"6405.411811119","10","10","10"
"6415.414862011","12","12","12"
"6425.411411491","10","10","10"
"6435.411152785","11","11","11"
"6445.411743661","11","11","11"
"6455.411372979","8","8","8"
"6465.411605788","12","12","12"
"6475.411836944","12","12","12"
"6485.411213628","11","11","11"
"6495.415892002","12","12","12"
"6505.411350388","11","11","11"
"6515.411723232","12","12","12"
"6525.414254905","10","10","10"
"6535.413709337","9","9","9"
"6545.412772404","10","10","10"
"6555.411687865","8","8","8"
"6565.411246657","9","9","9"
"6575.411448231","15","15","15"
"6585.412792487","12","12","12"
"6595.414748994","9","9","9"
"6605.412676028","14","14","14"
"6615.412675827","11","11","11"
"6625.416235341","13","13","13"
"6635.411263427","11","11","11"
"6645.411835355","11","11","11"
"6655.412236447","11","11","11"
"6665.411761764","11","11","11"
"6675.417607684","14","14","14"
"6685.41166645","14","14","14"
"6695.411712261","10","10","10"
"6705.411005731","13","13","13"
"6715.412565232","11","11","11"
"6725.412787554","11","11","11"
"6735.416417804","10","10","10"
"6745.415216505","11","11","11"
"6755.411204199","9","9","9"
"6765.411202966","12","12","12"
"6775.411068108","14","14","14"
"6785.411322115","11","11","11"
"6795.411360875","12","12","12"
"6805.411529686","14","14","14"
"6815.414144215","10","10","10"
"6825.411785617","9","9","9"
"6835.412175223","11","11","11"
"6845.415324455","15","15","15"
"6855.411459023","12","12","12"
"6865.411381799","10","10","10"
"6875.411450242","12","12","12"
"6885.411733604","14","14","14"
"6895.413631836","11","11","11"
"6905.41220331","11","11","11"
"6915.411367127","10","10","10"
"6925.410833943","11","11","11"
"6935.41803182","11","11","11"
"6945.412048688","10","10","10"
"6955.411623089","16","16","16"
"6965.413185372","11","11","11"
"6975.412107328","11","11","11"
"6985.411434455","13","13","13"
"6995.410864401","10","10","10"
"7005.412443357","10","10","10"
"7015.411427426","12","12","12"
"7025.41210309","11","11","11"
"7035.419625844","14","14","14"
"7045.411399343","12","12","12"
"7055.415930159","12","12","12"
"7065.41183735","13","13","13"
"7075.411509628","11","11","11"
"7085.411428785","11","11","11"
"7095.411191609","11","11","11"
"7105.41104051","10","10","10"
"7115.41147993","14","14","14"
"7125.411825987","11","11","11"
"7135.411696187","10","10","10"
"7145.411368681","10","10","10"
"7155.4117383","12","12","12"
"7165.411690041","10","10","10"
"7175.416513409","11","11","11"
"7185.411794059","10","10","10"
"7195.412335592","12","12","12"
"7205.411831509","10","10","10"
"7215.412346908","10","10","10"
"7225.415303533","9","9","9"
"7235.412866385","14","14","14"
"7245.412006662","9","9","9"
"7255.411298817","10","10","10"
"7265.4117241","10","10","10"
"7275.410917156","12","12","12"
"7285.412436295","10","10","10"
"7295.411912065","10","10","10"
"7305.411876876","11","11","11"
"7315.411560071","11","11","11"
"7325.411895999","11","11","11"
"7335.411633473","11","11","11"
"7345.412173522","10","10","10"
"7355.411106465","14","14","14"
"7365.411327138","9","9","9"
"7375.413843476","10","10","10"
"7385.411946143","11","11","11"
"7395.412888164","14","14","14"
"7405.412625601","9","9","9"
"7415.412719441","9","9","9"
"7425.411336143","10","10","10"
"7435.413130826","11","11","11"
"7445.411457531","9","9","9"
"7455.411512456","8","8","8"
"7465.414218143","9","9","9"
"7475.411607068","12","12","12"
"7485.411280781","9","9","9"
"7495.411382658","12","12","12"
"7505.411700461","7","7","7"
"7515.412408728","10","10","10"
"7525.411258861","12","12","12"
"7535.411417441","10","10","10"
"7545.411048589","10","10","10"
"7555.412241979","9","9","9"
"7565.412256608","10","10","10"
"7575.411906601","14","14","14"
"7585.412449584","11","11","11"
"7595.411447388","10","10","10"
"7605.414672165","13","13","13"
"7615.413399657","9","9","9"
"7625.412545189","10","10","10"
"7635.41557482","12","12","12"
"7645.414348086","11","11","11"
"7655.413136764","9","9","9"
"7665.410798322","11","11","11"
"7675.410886306","10","10","10"
"7685.416125315","11","11","11"
"7695.412294658","8","8","8"
"7705.410853312","9","9","9"
"7715.41142571","9","9","9"
"7725.413213106","9","9","9"
"7735.411717404","15","15","15"
"7745.411833064","11","11","11"
"7755.411779191","10","10","10"
"7765.41184969","10","10","10"
"7775.413807674","10","10","10"
"7785.411687533","11","11","11"
"7795.412236667","12","12","12"
"7805.41168768","10","10","10"
"7815.415570248","12","12","12"
"7825.413615468","12","12","12"
"7835.411497063","12","12","12"
"7845.412361314","11","11","11"
"7855.411014664","10","10","10"
"7865.412445862","11","11","11"
"7875.411252928","10","10","10"
"7885.410986581","11","11","11"
"7895.414295333","10","10","10"
"7905.414170497","14","14","14"
"7915.41139238","10","10","10"
"7925.416415274","11","11","11"
"7935.411765366","10","10","10"
"7945.414294694","11","11","11"
"7955.414652241","12","12","12"
"7965.411041643","10","10","10"
"7975.411325222","11","11","11"
"7985.416624729","9","9","9"
"7995.414535419","11","11","11"
"8005.411576351","11","11","11"
"8015.413032309","12","12","12"
"8025.411588827","10","10","10"
"8035.416859308","11","11","11"
"8045.411701037","10","10","10"
"8055.412420561","13","13","13"
"8065.412158941","10","10","10"
"8075.412423025","10","10","10"
"8085.418446892","11","11","11"
"8095.411314387","10","10","10"
"8105.4155639","13","13","13"
"8115.414093514","10","10","10"
"8125.411886567","11","11","11"
"8135.410859157","10","10","10"
"8145.415673522","11","11","11"
"8155.412759315","8","8","8"
"8165.411234652","12","12","12"
"8175.411925313","10","10","10"
"8185.413569796","12","12","12"
"8195.411776841","11","11","11"
"8205.416342219","10","10","10"
"8215.411248706","11","11","11"
"8225.411947861","13","13","13"
"8235.411797533","13","13","13"
"8245.412213082","10","10","10"
"8255.412224219","12","12","12"
"8265.411098695","8","8","8"
"8275.411443934","10","10","10"
"8285.412239287","12","12","12"
"8295.412050465","10","10","10"
"8305.411856865","10","10","10"
"8315.416549274","10","10","10"
"8325.412105997","11","11","11"
"8335.411138065","10","10","10"
"8345.411598525","11","11","11"
"8355.411294741","11","11","11"
"8365.411464787","10","10","10"
"8375.413021901","12","12","12"
"8385.411708713","9","9","9"
"8395.411462211","13","13","13"
"8405.417415513","11","11","11"
"8415.413142439","11","11","11"
"8425.411938471","13","13","13"
"8435.414227643","11","11","11"
"8445.411174097","12","12","12"
"8455.419267463","9","9","9"
"8465.411260479","11","11","11"
"8475.411243994","11","11","11"
"8485.411709332","11","11","11"
"8495.419633624","11","11","11"
"8505.411948464","15","15","15"
"8515.411644413","11","11","11"
"8525.411198213","11","11","11"
"8535.411918489","12","12","12"
"8545.412198099","13","13","13"
"8555.413325685","9","9","9"
"8565.411727634","11","11","11"
"8575.411193578","16","16","16"
"8585.411909355","11","11","11"
"8595.415168248","13","13","13"
"8605.411580904","8","8","8"
"8615.410890485","8","8","8"
"8625.411589935","11","11","11"
"8635.410986092","13","13","13"
"8645.410963826","12","12","12"
"8655.415330927","10","10","10"
"8665.412265789","13","13","13"
"8675.415963643","10","10","10"
"8685.411135643","10","10","10"
"8695.411977163","12","12","12"
"8705.411701469","12","12","12"
"8715.414989032","11","11","11"
"8725.413671391","13","13","13"
"8735.411950973","11","11","11"
"8745.420402003","9","9","9"
"8755.412885201","13","13","13"
"8765.4110916","8","8","8"
"8775.411341589","9","9","9"
"8785.410864959","10","10","10"
"8795.416774009","12","12","12"
"8805.4116846","10","10","10"
"8815.411653838","12","12","12"
"8825.411435601","17","17","17"
"8835.412579621","10","10","10"
"8845.411558524","11","11","11"
"8855.414882364","13","13","13"
"8865.415814538","9","9","9"
"8875.41196801","10","10","10"
"8885.411297795","10","10","10"
"8895.413409901","11","11","11"
"8905.411681586","10","10","10"
"8915.411824869","13","13","13"
"8925.41188914","11","11","11"
"8935.411015052","13","13","13"
"8945.411812489","12","12","12"
"8955.41542505","10","10","10"
"8965.414522883","11","11","11"
"8975.411463876","11","11","11"
"8985.412053437","8","8","8"
"8995.412824909","11","11","11"
"9005.41178688","13","13","13"
"9015.412437497","9","9","9"
"9025.411839677","10","10","10"
"9035.410909569","11","11","11"
"9045.411417581","11","11","11"
"9055.412315899","14","14","14"
"9065.419968982","10","10","10"
"9075.417759846","9","9","9"
"9085.411040067","13","13","13"
"9095.411957167","10","10","10"
"9105.412312482","14","14","14"
"9115.412670115","7","7","7"
"9125.411352784","7","7","7"
"9135.4111428","12","12","12"
"9145.412128087","6","6","6"
"9155.411491496","10","10","10"
"9165.411540977","11","11","11"
"9175.41341153","10","10","10"
"9185.418483039","13","13","13"
"9195.410967492","10","10","10"
"9205.411211147","12","12","12"
"9215.41552917","10","10","10"
"9225.414264696","10","10","10"
"9235.412021879","10","10","10"
"9245.411822092","11","11","11"
"9255.413920857","9","9","9"
"9265.412511333","11","11","11"
"9275.412396718","10","10","10"
"9285.411278201","13","13","13"
"9295.415848517","10","10","10"
"9305.410961338","13","13","13"
"9315.414792759","9","9","9"
"9325.411575976","13","13","13"
