"Relative Time (Process)","StudyAbroadGPT-7B - system/proc.cpu.threads","StudyAbroadGPT-7B - system/proc.cpu.threads__MIN","StudyAbroadGPT-7B - system/proc.cpu.threads__MAX"
"2415.407252838","29","29","29"
"2425.407170754","29","29","29"
"2435.407092067","29","29","29"
"2445.406799988","29","29","29"
"2455.407477611","29","29","29"
"2465.407453355","29","29","29"
"2475.407383006","29","29","29"
"2485.407705598","29","29","29"
"2495.407207073","29","29","29"
"2505.407183775","29","29","29"
"2515.406985853","29","29","29"
"2525.407169669","29","29","29"
"2535.407813697","29","29","29"
"2545.406723871","29","29","29"
"2555.40770937","29","29","29"
"2565.407523547","29","29","29"
"2575.40695978","29","29","29"
"2585.407483775","29","29","29"
"2595.40733179","29","29","29"
"2605.407649082","29","29","29"
"2615.407086864","29","29","29"
"2625.407891031","29","29","29"
"2635.406597562","29","29","29"
"2645.407541131","29","29","29"
"2655.40737824","29","29","29"
"2665.407275203","29","29","29"
"2675.40745673","29","29","29"
"2685.407370538","29","29","29"
"2695.407458188","29","29","29"
"2705.407522238","29","29","29"
"2715.40800736","29","29","29"
"2725.407261677","29","29","29"
"2735.407213073","29","29","29"
"2745.407340202","29","29","29"
"2755.407511233","29","29","29"
"2765.407191178","29","29","29"
"2775.406603835","29","29","29"
"2785.406939334","29","29","29"
"2795.407273988","29","29","29"
"2805.406772221","29","29","29"
"2815.406781226","29","29","29"
"2825.407402644","29","29","29"
"2835.407407641","29","29","29"
"2845.406609115","29","29","29"
"2855.40683755","29","29","29"
"2865.407203155","29","29","29"
"2875.406724244","29","29","29"
"2885.406650046","29","29","29"
"2895.406650156","29","29","29"
"2905.406971828","29","29","29"
"2915.407786255","29","29","29"
"2925.407205376","29","29","29"
"2935.407615752","29","29","29"
"2945.406975572","29","29","29"
"2955.406770244","29","29","29"
"2965.407733787","29","29","29"
"2975.406674236","29","29","29"
"2985.407229158","29","29","29"
"2995.407621992","29","29","29"
"3005.40726494","29","29","29"
"3015.407171916","29","29","29"
"3025.407300668","29","29","29"
"3035.407132309","29","29","29"
"3045.407306907","29","29","29"
"3055.407147427","29","29","29"
"3065.406885302","29","29","29"
"3075.407401377","29","29","29"
"3085.407812352","29","29","29"
"3095.407135711","29","29","29"
"3105.406596938","29","29","29"
"3115.407259316","29","29","29"
"3125.407004093","29","29","29"
"3135.406770318","29","29","29"
"3145.407573725","29","29","29"
"3155.407612928","29","29","29"
"3165.407213988","29","29","29"
"3175.407613803","29","29","29"
"3185.407238697","29","29","29"
"3195.407114166","29","29","29"
"3205.407626664","29","29","29"
"3215.407512715","29","29","29"
"3225.407153888","29","29","29"
"3235.406852259","29","29","29"
"3245.407513711","29","29","29"
"3255.407208755","29","29","29"
"3265.406829093","29","29","29"
"3275.407493915","29","29","29"
"3285.407051032","29","29","29"
"3295.40739811","29","29","29"
"3305.407316042","29","29","29"
"3315.406553845","29","29","29"
"3325.406625512","29","29","29"
"3335.406993175","29","29","29"
"3345.406741335","29","29","29"
"3355.407534322","29","29","29"
"3365.407299747","29","29","29"
"3375.406595615","29","29","29"
"3385.406911783","29","29","29"
"3395.406574153","29","29","29"
"3405.407654991","29","29","29"
"3415.407386174","29","29","29"
"3425.40799448","29","29","29"
"3435.407263867","29","29","29"
"3445.407330007","29","29","29"
"3455.40677046","29","29","29"
"3465.40733054","29","29","29"
"3475.407462988","29","29","29"
"3485.407031593","29","29","29"
"3495.407504991","29","29","29"
"3505.40757631","29","29","29"
"3515.407437085","29","29","29"
"3525.407408297","29","29","29"
"3535.40725828","29","29","29"
"3545.406918455","29","29","29"
"3555.407123101","29","29","29"
"3565.407139858","29","29","29"
"3575.406743617","29","29","29"
"3585.407221094","29","29","29"
"3595.407502027","29","29","29"
"3605.407384535","29","29","29"
"3615.406886001","29","29","29"
"3625.407466365","29","29","29"
"3635.407234022","29","29","29"
"3645.406943571","29","29","29"
"3655.406946181","29","29","29"
"3665.406785585","29","29","29"
"3675.407324733","29","29","29"
"3685.407314164","29","29","29"
"3695.40691749","29","29","29"
"3705.406670551","29","29","29"
"3715.407859819","29","29","29"
"3725.407215598","29","29","29"
"3735.407596008","29","29","29"
"3745.407178787","29","29","29"
"3755.407518214","29","29","29"
"3765.407419896","29","29","29"
"3775.407528593","29","29","29"
"3785.407369997","29","29","29"
"3795.407103349","29","29","29"
"3805.407781479","29","29","29"
"3815.407018661","29","29","29"
"3825.407326125","29","29","29"
"3835.407399323","29","29","29"
"3845.407180651","29","29","29"
"3855.407133591","29","29","29"
"3865.40685801","29","29","29"
"3875.407402563","29","29","29"
"3885.406792256","29","29","29"
"3895.40752429","29","29","29"
"3905.407214123","29","29","29"
"3915.406865124","29","29","29"
"3925.406841983","29","29","29"
"3935.406696713","29","29","29"
"3945.407213227","29","29","29"
"3955.406702751","29","29","29"
"3965.406579763","29","29","29"
"3975.407614237","29","29","29"
"3985.407384767","29","29","29"
"3995.407383895","29","29","29"
"4005.407386063","29","29","29"
"4015.407417407","29","29","29"
"4025.407361596","29","29","29"
"4035.407686973","29","29","29"
"4045.407339041","29","29","29"
"4055.406817047","29","29","29"
"4065.406968622","29","29","29"
"4075.407762809","29","29","29"
"4085.407010183","29","29","29"
"4095.407586354","29","29","29"
"4105.406889037","29","29","29"
"4115.407312265","29","29","29"
"4125.407506086","29","29","29"
"4135.407224633","29","29","29"
"4145.407364313","29","29","29"
"4155.406500645","29","29","29"
"4165.406719854","29","29","29"
"4175.406590011","29","29","29"
"4185.407976305","29","29","29"
"4195.407448419","29","29","29"
"4205.407672751","29","29","29"
"4215.407534175","29","29","29"
"4225.407367177","29","29","29"
"4235.406925854","29","29","29"
"4245.407687504","29","29","29"
"4255.407551005","29","29","29"
"4265.406752812","29","29","29"
"4275.407401922","29","29","29"
"4285.407573323","29","29","29"
"4295.407469753","29","29","29"
"4305.407291719","29","29","29"
"4315.406799877","29","29","29"
"4325.406536782","29","29","29"
"4335.40689881","29","29","29"
"4345.406942272","29","29","29"
"4355.407045258","29","29","29"
"4365.406843207","29","29","29"
"4375.406887885","29","29","29"
"4385.40654984","29","29","29"
"4395.407348631","29","29","29"
"4405.406687906","29","29","29"
"4415.406940606","29","29","29"
"4425.406935879","29","29","29"
"4435.40699018","29","29","29"
"4445.4072295","29","29","29"
"4455.406742135","29","29","29"
"4465.407580425","29","29","29"
"4475.40711177","29","29","29"
"4485.406584498","29","29","29"
"4495.407175092","29","29","29"
"4505.407571747","29","29","29"
"4515.407462953","29","29","29"
"4525.40770919","29","29","29"
"4535.40699579","29","29","29"
"4545.407033391","29","29","29"
"4555.407386393","29","29","29"
"4565.407411856","29","29","29"
"4575.406799043","29","29","29"
"4585.406635649","29","29","29"
"4595.406774778","29","29","29"
"4605.407184213","29","29","29"
"4615.406684119","29","29","29"
"4625.406489501","29","29","29"
"4635.406601068","29","29","29"
"4645.407196899","29","29","29"
"4655.406668501","29","29","29"
"4665.406888556","29","29","29"
"4675.407655212","29","29","29"
"4685.407475063","29","29","29"
"4695.406735337","29","29","29"
"4705.406792026","29","29","29"
"4715.407329681","29","29","29"
"4725.407626781","29","29","29"
"4735.407131134","29","29","29"
"4745.4078698","29","29","29"
"4755.407295354","29","29","29"
"4765.407573312","29","29","29"
"4775.407266439","29","29","29"
"4785.407559254","29","29","29"
"4795.406969945","29","29","29"
"4805.406514879","29","29","29"
"4815.406968177","29","29","29"
"4825.407737938","29","29","29"
"4835.407450478","29","29","29"
"4845.407270938","29","29","29"
"4855.407325451","29","29","29"
"4865.406497786","29","29","29"
"4875.406985581","29","29","29"
"4885.408121691","29","29","29"
"4895.407543277","29","29","29"
"4905.406921289","29","29","29"
"4915.407424807","29","29","29"
"4925.407585154","29","29","29"
"4935.406745447","29","29","29"
"4945.406889758","29","29","29"
"4955.406815646","29","29","29"
"4965.407732971","29","29","29"
"4975.407420167","29","29","29"
"4985.406811477","29","29","29"
"4995.406874376","29","29","29"
"5005.407204189","29","29","29"
"5015.407300784","29","29","29"
"5025.407440727","29","29","29"
"5035.407265018","29","29","29"
"5045.406909289","29","29","29"
"5055.40758741","29","29","29"
"5065.407688244","29","29","29"
"5075.407561059","29","29","29"
"5085.407490609","29","29","29"
"5095.407130996","29","29","29"
"5105.406892411","29","29","29"
"5115.407624811","29","29","29"
"5125.407623912","29","29","29"
"5135.407501374","29","29","29"
"5145.407302546","29","29","29"
"5155.407508371","29","29","29"
"5165.406743227","29","29","29"
"5175.407130163","29","29","29"
"5185.407652815","29","29","29"
"5195.407680206","29","29","29"
"5205.40723929","29","29","29"
"5215.406796142","29","29","29"
"5225.408448256","29","29","29"
"5235.407294567","29","29","29"
"5245.40730969","29","29","29"
"5255.406668658","29","29","29"
"5265.406983802","29","29","29"
"5275.408239984","29","29","29"
"5285.407449153","29","29","29"
"5295.407689642","29","29","29"
"5305.40690487","29","29","29"
"5315.407139502","29","29","29"
"5325.407311338","29","29","29"
"5335.40748044","29","29","29"
"5345.407459107","29","29","29"
"5355.406976274","29","29","29"
"5365.407299396","29","29","29"
"5375.40699675","29","29","29"
"5385.407168325","29","29","29"
"5395.406900693","29","29","29"
"5405.407248811","29","29","29"
"5415.407362736","29","29","29"
"5425.406669126","29","29","29"
"5435.407114751","29","29","29"
"5445.406978189","29","29","29"
"5455.407144867","29","29","29"
"5465.407039205","29","29","29"
"5475.407361241","29","29","29"
"5485.407268616","29","29","29"
"5495.406783272","29","29","29"
"5505.407107092","29","29","29"
"5515.407089489","29","29","29"
"5525.406765998","29","29","29"
"5535.408002018","29","29","29"
"5545.406644628","29","29","29"
"5555.406536651","29","29","29"
"5565.407146396","29","29","29"
"5575.407471346","29","29","29"
"5585.407114205","29","29","29"
"5595.406497536","29","29","29"
"5605.40665294","29","29","29"
"5615.407828658","29","29","29"
"5625.407673537","29","29","29"
"5635.406800719","29","29","29"
"5645.406738776","29","29","29"
"5655.407025193","29","29","29"
"5665.406859643","29","29","29"
"5675.407388812","29","29","29"
"5685.407185005","29","29","29"
"5695.406966719","29","29","29"
"5705.407479135","29","29","29"
"5715.407365501","29","29","29"
"5725.406898117","29","29","29"
"5735.406877989","29","29","29"
"5745.407127068","29","29","29"
"5755.407517707","29","29","29"
"5765.407472507","29","29","29"
"5775.407751056","29","29","29"
"5785.408270906","29","29","29"
"5795.406817918","29","29","29"
"5805.407346504","29","29","29"
"5815.40756142","29","29","29"
"5825.407528805","29","29","29"
"5835.407741384","29","29","29"
"5845.40690195","29","29","29"
"5855.406988063","29","29","29"
"5865.407541694","29","29","29"
"5875.408076696","29","29","29"
"5885.406918772","29","29","29"
"5895.407041452","29","29","29"
"5905.406826568","29","29","29"
"5915.406969148","29","29","29"
"5925.407121752","29","29","29"
"5935.406502866","29","29","29"
"5945.407011792","29","29","29"
"5955.407188231","29","29","29"
"5965.407434567","29","29","29"
"5975.406746717","29","29","29"
"5985.406990287","29","29","29"
"5995.407102474","29","29","29"
"6005.407504597","29","29","29"
"6015.40773248","29","29","29"
"6025.406959318","29","29","29"
"6035.407361971","29","29","29"
"6045.406724146","29","29","29"
"6055.407539526","29","29","29"
"6065.407207118","29","29","29"
"6075.406729591","29","29","29"
"6085.406936524","29","29","29"
"6095.407416076","29","29","29"
"6105.406978849","29","29","29"
"6115.407285355","29","29","29"
"6125.406757862","29","29","29"
"6135.407291039","29","29","29"
"6145.407216117","29","29","29"
"6155.407645077","29","29","29"
"6165.407348855","29","29","29"
"6175.407736063","29","29","29"
"6185.407837563","29","29","29"
"6195.407226082","29","29","29"
"6205.406884835","29","29","29"
"6215.406953089","29","29","29"
"6225.407400912","29","29","29"
"6235.408294785","29","29","29"
"6245.407295129","29","29","29"
"6255.407255766","29","29","29"
"6265.407497516","29","29","29"
"6275.406833228","29","29","29"
"6285.407470819","29","29","29"
"6295.407369301","29","29","29"
"6305.407235923","29","29","29"
"6315.407532407","29","29","29"
"6325.407121427","29","29","29"
"6335.407307983","29","29","29"
"6345.407186577","29","29","29"
"6355.407138044","29","29","29"
"6365.406678926","29","29","29"
"6375.407203426","29","29","29"
"6385.407653306","29","29","29"
"6395.40727124","29","29","29"
"6405.407121083","29","29","29"
"6415.407478697","29","29","29"
"6425.406730675","29","29","29"
"6435.406825537","29","29","29"
"6445.406638184","29","29","29"
"6455.407248728","29","29","29"
"6465.407414209","29","29","29"
"6475.407387083","29","29","29"
"6485.406843326","29","29","29"
"6495.407232694","29","29","29"
"6505.40715509","29","29","29"
"6515.407357982","29","29","29"
"6525.408031411","29","29","29"
"6535.407029928","29","29","29"
"6545.407503355","29","29","29"
"6555.407873133","29","29","29"
"6565.406595623","29","29","29"
"6575.407436755","29","29","29"
"6585.407509114","29","29","29"
"6595.406780555","29","29","29"
"6605.407396499","29","29","29"
"6615.407441521","29","29","29"
"6625.407250841","29","29","29"
"6635.407138333","29","29","29"
"6645.406529295","29","29","29"
"6655.407193917","29","29","29"
"6665.407535228","29","29","29"
"6675.407459291","29","29","29"
"6685.40698284","29","29","29"
"6695.407661409","29","29","29"
"6705.406922456","29","29","29"
"6715.40732092","29","29","29"
"6725.407475279","29","29","29"
"6735.406766073","29","29","29"
"6745.407050258","29","29","29"
"6755.406926824","29","29","29"
"6765.407014275","29","29","29"
"6775.406636674","29","29","29"
"6785.407295127","29","29","29"
"6795.407003875","29","29","29"
"6805.407018043","29","29","29"
"6815.407153586","29","29","29"
"6825.407605966","29","29","29"
"6835.407318547","29","29","29"
"6845.406718971","29","29","29"
"6855.406857631","29","29","29"
"6865.407111405","29","29","29"
"6875.407314513","29","29","29"
"6885.407352027","29","29","29"
"6895.407400015","29","29","29"
"6905.407694476","29","29","29"
"6915.406994619","29","29","29"
"6925.406725184","29","29","29"
"6935.408150819","29","29","29"
"6945.407493836","29","29","29"
"6955.407271131","29","29","29"
"6965.407739965","29","29","29"
"6975.407516679","29","29","29"
"6985.407168073","29","29","29"
"6995.406535971","29","29","29"
"7005.407406059","29","29","29"
"7015.406989942","29","29","29"
"7025.406916973","29","29","29"
"7035.407460266","29","29","29"
"7045.407121719","29","29","29"
"7055.407575222","29","29","29"
"7065.407393573","29","29","29"
"7075.407108521","29","29","29"
"7085.407387228","29","29","29"
"7095.406994009","29","29","29"
"7105.406640207","29","29","29"
"7115.406900325","29","29","29"
"7125.407026456","29","29","29"
"7135.407280254","29","29","29"
"7145.406988456","29","29","29"
"7155.407619665","29","29","29"
"7165.407397955","29","29","29"
"7175.406684365","29","29","29"
"7185.407733491","29","29","29"
"7195.407404187","29","29","29"
"7205.407721923","29","29","29"
"7215.407152121","29","29","29"
"7225.406704356","29","29","29"
"7235.407565164","29","29","29"
"7245.406737113","29","29","29"
"7255.407272389","29","29","29"
"7265.407354587","29","29","29"
"7275.406900288","29","29","29"
"7285.407576343","29","29","29"
"7295.407737868","29","29","29"
"7305.406836063","29","29","29"
"7315.406948772","29","29","29"
"7325.406776216","29","29","29"
"7335.40755261","29","29","29"
"7345.407521223","29","29","29"
"7355.407084357","29","29","29"
"7365.407011903","29","29","29"
"7375.407205924","29","29","29"
"7385.407369986","29","29","29"
"7395.407511682","29","29","29"
"7405.407431246","29","29","29"
"7415.406582968","29","29","29"
"7425.407010317","29","29","29"
"7435.407263855","29","29","29"
"7445.407098586","29","29","29"
"7455.407015876","29","29","29"
"7465.407491769","29","29","29"
"7475.407256467","29","29","29"
"7485.407085154","29","29","29"
"7495.407037836","29","29","29"
"7505.407291035","29","29","29"
"7515.407230895","29","29","29"
"7525.4071764","29","29","29"
"7535.407147522","29","29","29"
"7545.406890951","29","29","29"
"7555.407812657","29","29","29"
"7565.408368781","29","29","29"
"7575.4071473","29","29","29"
"7585.406587071","29","29","29"
"7595.407033913","29","29","29"
"7605.407033469","29","29","29"
"7615.407994514","29","29","29"
"7625.40703839","29","29","29"
"7635.406697342","29","29","29"
"7645.407404045","29","29","29"
"7655.408567795","29","29","29"
"7665.406688637","29","29","29"
"7675.406628196","29","29","29"
"7685.407122176","29","29","29"
"7695.40742466","29","29","29"
"7705.406604293","29","29","29"
"7715.407215638","29","29","29"
"7725.407681653","29","29","29"
"7735.407511265","29","29","29"
"7745.407414151","29","29","29"
"7755.407479385","29","29","29"
"7765.407364496","29","29","29"
"7775.407752501","29","29","29"
"7785.407660007","29","29","29"
"7795.407553381","29","29","29"
"7805.407442831","29","29","29"
"7815.40687403","29","29","29"
"7825.407489786","29","29","29"
"7835.407408234","29","29","29"
"7845.407482869","29","29","29"
"7855.406857948","29","29","29"
"7865.407268423","29","29","29"
"7875.407114862","29","29","29"
"7885.406720898","29","29","29"
"7895.406850088","29","29","29"
"7905.40752913","29","29","29"
"7915.406659046","29","29","29"
"7925.407239811","29","29","29"
"7935.407375786","29","29","29"
"7945.406864261","29","29","29"
"7955.407600846","29","29","29"
"7965.406856039","29","29","29"
"7975.406911852","29","29","29"
"7985.407539419","29","29","29"
"7995.407129907","29","29","29"
"8005.406490897","29","29","29"
"8015.406932384","29","29","29"
"8025.406751803","29","29","29"
"8035.407711686","29","29","29"
"8045.407287427","29","29","29"
"8055.407358348","29","29","29"
"8065.407060112","29","29","29"
"8075.406961003","29","29","29"
"8085.407179846","29","29","29"
"8095.407165194","29","29","29"
"8105.407224848","29","29","29"
"8115.407049705","29","29","29"
"8125.407456112","29","29","29"
"8135.406495807","29","29","29"
"8145.407146795","29","29","29"
"8155.407482114","29","29","29"
"8165.407019734","29","29","29"
"8175.40752647","29","29","29"
"8185.406590877","29","29","29"
"8195.407725385","29","29","29"
"8205.406662037","29","29","29"
"8215.406906956","29","29","29"
"8225.406788695","29","29","29"
"8235.407558273","29","29","29"
"8245.408377376","29","29","29"
"8255.408040256","29","29","29"
"8265.406816441","29","29","29"
"8275.407413348","29","29","29"
"8285.407152816","29","29","29"
"8295.406920407","29","29","29"
"8305.407620851","29","29","29"
"8315.407794039","29","29","29"
"8325.407121647","29","29","29"
"8335.406888173","29","29","29"
"8345.407366746","29","29","29"
"8355.407113907","29","29","29"
"8365.407267048","29","29","29"
"8375.407886593","29","29","29"
"8385.407289347","29","29","29"
"8395.407208519","29","29","29"
"8405.407270723","29","29","29"
"8415.406767664","29","29","29"
"8425.407114387","29","29","29"
"8435.407179594","29","29","29"
"8445.406735425","29","29","29"
"8455.406729591","29","29","29"
"8465.406808337","29","29","29"
"8475.406745079","29","29","29"
"8485.406800642","29","29","29"
"8495.407735811","29","29","29"
"8505.407565821","29","29","29"
"8515.407287136","29","29","29"
"8525.406748812","29","29","29"
"8535.407272864","29","29","29"
"8545.407336088","29","29","29"
"8555.406805446","29","29","29"
"8565.407185403","29","29","29"
"8575.407110128","29","29","29"
"8585.407136407","29","29","29"
"8595.407255514","29","29","29"
"8605.406984242","29","29","29"
"8615.406587435","29","29","29"
"8625.407357438","29","29","29"
"8635.406726927","29","29","29"
"8645.40694925","29","29","29"
"8655.406935884","29","29","29"
"8665.407864533","29","29","29"
"8675.407455321","29","29","29"
"8685.406711781","29","29","29"
"8695.407489796","29","29","29"
"8705.407433897","29","29","29"
"8715.407461424","29","29","29"
"8725.407214755","29","29","29"
"8735.407744779","29","29","29"
"8745.407757649","29","29","29"
"8755.407289851","29","29","29"
"8765.406916754","29","29","29"
"8775.406978806","29","29","29"
"8785.40688111","29","29","29"
"8795.407083771","29","29","29"
"8805.407559214","29","29","29"
"8815.4072957","29","29","29"
"8825.407282921","29","29","29"
"8835.407689853","29","29","29"
"8845.407248474","29","29","29"
"8855.40695053","29","29","29"
"8865.407112803","29","29","29"
"8875.407512906","29","29","29"
"8885.407442977","29","29","29"
"8895.406709344","29","29","29"
"8905.407494972","29","29","29"
"8915.407084104","29","29","29"
"8925.407850841","29","29","29"
"8935.406964135","29","29","29"
"8945.406951261","29","29","29"
"8955.407684602","29","29","29"
"8965.406749649","29","29","29"
"8975.407204499","29","29","29"
"8985.407205476","29","29","29"
"8995.407590301","29","29","29"
"9005.406921993","29","29","29"
"9015.406962277","29","29","29"
"9025.407359443","29","29","29"
"9035.406660324","29","29","29"
"9045.406977364","29","29","29"
"9055.407343654","29","29","29"
"9065.407366696","29","29","29"
"9075.407394383","29","29","29"
"9085.407010109","29","29","29"
"9095.407266845","29","29","29"
"9105.4072645","29","29","29"
"9115.407209956","29","29","29"
"9125.407088871","29","29","29"
"9135.407025107","29","29","29"
"9145.40749276","29","29","29"
"9155.407135797","29","29","29"
"9165.407164705","29","29","29"
"9175.406737099","29","29","29"
"9185.40718798","29","29","29"
"9195.406627347","29","29","29"
"9205.407087267","29","29","29"
"9215.407467342","29","29","29"
"9225.407415078","29","29","29"
"9235.407237907","29","29","29"
"9245.407616459","29","29","29"
"9255.406931098","29","29","29"
"9265.40757763","29","29","29"
"9275.407501947","29","29","29"
"9285.406909748","29","29","29"
"9295.406968765","29","29","29"
"9305.407135501","29","29","29"
"9315.407539058","29","29","29"
