"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.gpu","StudyAbroadGPT-7B - system/gpu.0.gpu__MIN","StudyAbroadGPT-7B - system/gpu.0.gpu__MAX"
"2045.410984659","100","100","100"
"2055.410947966","100","100","100"
"2065.417816842","100","100","100"
"2075.41819205","100","100","100"
"2085.411611926","100","100","100"
"2095.412664482","100","100","100"
"2105.413740336","100","100","100"
"2115.412671575","100","100","100"
"2125.411266492","100","100","100"
"2135.412028954","100","100","100"
"2145.412587752","100","100","100"
"2155.416712195","100","100","100"
"2165.411165136","100","100","100"
"2175.411513244","100","100","100"
"2185.412031306","100","100","100"
"2195.410952215","100","100","100"
"2205.411903602","100","100","100"
"2215.414278402","100","100","100"
"2225.412007559","100","100","100"
"2235.411102679","100","100","100"
"2245.411622578","100","100","100"
"2255.418894774","100","100","100"
"2265.414956628","89","89","89"
"2275.41184301","100","100","100"
"2285.410963977","100","100","100"
"2295.412530662","100","100","100"
"2305.412772184","100","100","100"
"2315.411893112","100","100","100"
"2325.412098662","100","100","100"
"2335.411781539","100","100","100"
"2345.413673703","100","100","100"
"2355.411483871","100","100","100"
"2365.414724332","100","100","100"
"2375.411127442","59","59","59"
"2385.412079876","100","100","100"
"2395.413505507","100","100","100"
"2405.411173636","100","100","100"
"2415.411728608","100","100","100"
"2425.41421959","100","100","100"
"2435.411555875","100","100","100"
"2445.412270359","100","100","100"
"2455.415381257","100","100","100"
"2465.411972076","100","100","100"
"2475.411609934","100","100","100"
"2485.420319276","100","100","100"
"2495.412461321","100","100","100"
"2505.411227115","100","100","100"
"2515.412221748","100","100","100"
"2525.41166809","100","100","100"
"2535.411933454","100","100","100"
"2545.411108089","100","100","100"
"2555.415908782","100","100","100"
"2565.41164305","100","100","100"
"2575.411383217","100","100","100"
"2585.411887438","100","100","100"
"2595.411575131","100","100","100"
"2605.412543687","100","100","100"
"2615.412879141","100","100","100"
"2625.412219673","100","100","100"
"2635.415326391","100","100","100"
"2645.412669842","100","100","100"
"2655.414269862","100","100","100"
"2665.411804598","100","100","100"
"2675.412909718","100","100","100"
"2685.41492717","100","100","100"
"2695.415691622","100","100","100"
"2705.411692869","100","100","100"
"2715.417262523","100","100","100"
"2725.411737993","100","100","100"
"2735.416437092","100","100","100"
"2745.412202607","88","88","88"
"2755.412723218","100","100","100"
"2765.413595791","100","100","100"
"2775.411016321","100","100","100"
"2785.412239832","100","100","100"
"2795.412653782","100","100","100"
"2805.41127622","100","100","100"
"2815.411299777","100","100","100"
"2825.414858823","100","100","100"
"2835.411694564","100","100","100"
"2845.410824718","100","100","100"
"2855.411135127","100","100","100"
"2865.413289655","100","100","100"
"2875.411754195","100","100","100"
"2885.411952961","100","100","100"
"2895.410986276","100","100","100"
"2905.418403418","100","100","100"
"2915.414726061","100","100","100"
"2925.412528514","100","100","100"
"2935.411922667","100","100","100"
"2945.411438928","100","100","100"
"2955.419458695","100","100","100"
"2965.41245981","100","100","100"
"2975.411159761","100","100","100"
"2985.4129458","100","100","100"
"2995.411836221","100","100","100"
"3005.411503274","100","100","100"
"3015.41202553","100","100","100"
"3025.412129055","100","100","100"
"3035.41113689","100","100","100"
"3045.412566135","100","100","100"
"3055.41143894","100","100","100"
"3065.41114961","100","100","100"
"3075.411812485","100","100","100"
"3085.411781058","100","100","100"
"3095.411323811","100","100","100"
"3105.413356756","100","100","100"
"3115.411721513","100","100","100"
"3125.411144028","100","100","100"
"3135.410916046","100","100","100"
"3145.412565269","100","100","100"
"3155.411772288","100","100","100"
"3165.41139911","100","100","100"
"3175.411626393","100","100","100"
"3185.415291662","100","100","100"
"3195.418259217","100","100","100"
"3205.413663598","100","100","100"
"3215.411990932","100","100","100"
"3225.415938272","100","100","100"
"3235.414777553","100","100","100"
"3245.412894779","100","100","100"
"3255.412327642","100","100","100"
"3265.416183394","100","100","100"
"3275.415586583","100","100","100"
"3285.411374381","100","100","100"
"3295.411724031","100","100","100"
"3305.415908253","100","100","100"
"3315.411827801","100","100","100"
"3325.412928082","100","100","100"
"3335.412504007","100","100","100"
"3345.411899448","100","100","100"
"3355.415283073","100","100","100"
"3365.412171197","100","100","100"
"3375.411887322","100","100","100"
"3385.415729345","100","100","100"
"3395.413464974","100","100","100"
"3405.411836476","100","100","100"
"3415.411663239","100","100","100"
"3425.413046437","100","100","100"
"3435.41222471","100","100","100"
"3445.41202448","100","100","100"
"3455.411501937","100","100","100"
"3465.411740223","100","100","100"
"3475.414189522","100","100","100"
"3485.411418823","100","100","100"
"3495.412666936","100","100","100"
"3505.414221256","100","100","100"
"3515.412248484","100","100","100"
"3525.411449694","100","100","100"
"3535.412392024","100","100","100"
"3545.412229875","100","100","100"
"3555.411300369","100","100","100"
"3565.415825152","100","100","100"
"3575.410949271","100","100","100"
"3585.412363193","100","100","100"
"3595.411394325","100","100","100"
"3605.411601172","100","100","100"
"3615.415986935","100","100","100"
"3625.411864321","100","100","100"
"3635.411411223","100","100","100"
"3645.412200551","100","100","100"
"3655.41381964","100","100","100"
"3665.4120409","100","100","100"
"3675.411426767","100","100","100"
"3685.41247843","100","100","100"
"3695.41121119","100","100","100"
"3705.414031439","100","100","100"
"3715.411874095","100","100","100"
"3725.411789728","100","100","100"
"3735.411520204","100","100","100"
"3745.41126627","100","100","100"
"3755.411623597","100","100","100"
"3765.412567579","100","100","100"
"3775.4123153","100","100","100"
"3785.41610154","100","100","100"
"3795.411575585","100","100","100"
"3805.411674456","100","100","100"
"3815.414091634","100","100","100"
"3825.411660241","100","100","100"
"3835.411720595","100","100","100"
"3845.411603942","100","100","100"
"3855.411410609","100","100","100"
"3865.412122833","100","100","100"
"3875.411448973","100","100","100"
"3885.411172585","100","100","100"
"3895.412336278","100","100","100"
"3905.411326343","100","100","100"
"3915.411600168","100","100","100"
"3925.411138106","100","100","100"
"3935.414650514","100","100","100"
"3945.411224131","100","100","100"
"3955.411527363","100","100","100"
"3965.411134542","100","100","100"
"3975.411738568","100","100","100"
"3985.411737955","100","100","100"
"3995.411733064","100","100","100"
"4005.411638418","100","100","100"
"4015.411785785","100","100","100"
"4025.416441103","100","100","100"
"4035.412585433","100","100","100"
"4045.411685431","100","100","100"
"4055.411179653","100","100","100"
"4065.411197727","100","100","100"
"4075.412704652","100","100","100"
"4085.411683538","100","100","100"
"4095.416198941","100","100","100"
"4105.412114284","100","100","100"
"4115.411753024","100","100","100"
"4125.411903796","100","100","100"
"4135.411431945","100","100","100"
"4145.414139948","100","100","100"
"4155.414993476","100","100","100"
"4165.411279047","100","100","100"
"4175.41092232","100","100","100"
"4185.411775702","100","100","100"
"4195.411983621","100","100","100"
"4205.411901324","100","100","100"
"4215.412958295","100","100","100"
"4225.411759082","100","100","100"
"4235.414241777","100","100","100"
"4245.411837143","100","100","100"
"4255.412181322","100","100","100"
"4265.411068585","100","100","100"
"4275.414172243","100","100","100"
"4285.412727077","100","100","100"
"4295.412047745","100","100","100"
"4305.412316981","100","100","100"
"4315.410896534","100","100","100"
"4325.411141583","100","100","100"
"4335.411796243","100","100","100"
"4345.414026569","100","100","100"
"4355.411444373","87","87","87"
"4365.412180272","100","100","100"
"4375.415355515","100","100","100"
"4385.410981157","100","100","100"
"4395.411910005","100","100","100"
"4405.411313303","100","100","100"
"4415.412789567","100","100","100"
"4425.411631902","100","100","100"
"4435.411403519","100","100","100"
"4445.411445977","100","100","100"
"4455.410982678","100","100","100"
"4465.411938311","100","100","100"
"4475.416395645","100","100","100"
"4485.411582772","100","100","100"
"4495.41144944","100","100","100"
"4505.411692229","100","100","100"
"4515.411985858","100","100","100"
"4525.412561691","100","100","100"
"4535.411802924","100","100","100"
"4545.412233711","100","100","100"
"4555.411343626","100","100","100"
"4565.417542099","100","100","100"
"4575.414976976","100","100","100"
"4585.411935821","100","100","100"
"4595.41091824","100","100","100"
"4605.411597997","100","100","100"
"4615.415628076","100","100","100"
"4625.411628074","100","100","100"
"4635.417137778","100","100","100"
"4645.411522476","100","100","100"
"4655.411107846","100","100","100"
"4665.411556531","100","100","100"
"4675.415020139","100","100","100"
"4685.412048616","100","100","100"
"4695.410947429","100","100","100"
"4705.414130225","100","100","100"
"4715.411427952","100","100","100"
"4725.412731143","100","100","100"
"4735.411486408","100","100","100"
"4745.414613794","100","100","100"
"4755.411465772","100","100","100"
"4765.417970233","100","100","100"
"4775.418225195","100","100","100"
"4785.4125644","100","100","100"
"4795.411198539","100","100","100"
"4805.410995006","100","100","100"
"4815.417311036","100","100","100"
"4825.411859034","100","100","100"
"4835.412154757","100","100","100"
"4845.412242882","100","100","100"
"4855.411421882","100","100","100"
"4865.410760101","100","100","100"
"4875.411271798","100","100","100"
"4885.411845216","100","100","100"
"4895.411696467","100","100","100"
"4905.411156044","100","100","100"
"4915.411613157","100","100","100"
"4925.412454119","100","100","100"
"4935.41094946","100","100","100"
"4945.411097451","100","100","100"
"4955.411075622","100","100","100"
"4965.412198008","100","100","100"
"4975.415365615","89","89","89"
"4985.413327206","100","100","100"
"4995.410899753","100","100","100"
"5005.412497238","100","100","100"
"5015.415762986","100","100","100"
"5025.415778945","100","100","100"
"5035.412575305","100","100","100"
"5045.411197361","87","87","87"
"5055.417270607","100","100","100"
"5065.41254392","100","100","100"
"5075.411879732","100","100","100"
"5085.412316808","100","100","100"
"5095.413861218","100","100","100"
"5105.416465378","100","100","100"
"5115.412833804","100","100","100"
"5125.413131234","100","100","100"
"5135.411910132","100","100","100"
"5145.411282997","100","100","100"
"5155.411852133","100","100","100"
"5165.412187957","100","100","100"
"5175.411423852","100","100","100"
"5185.411780484","100","100","100"
"5195.411876483","100","100","100"
"5205.411728005","100","100","100"
"5215.410897451","100","100","100"
"5225.418901019","100","100","100"
"5235.411601852","100","100","100"
"5245.412196396","100","100","100"
"5255.41341614","100","100","100"
"5265.410942662","100","100","100"
"5275.412392525","92","92","92"
"5285.412361137","100","100","100"
"5295.411828667","100","100","100"
"5305.413166232","100","100","100"
"5315.411453526","100","100","100"
"5325.412625452","100","100","100"
"5335.411909625","100","100","100"
"5345.411741492","100","100","100"
"5355.411398135","100","100","100"
"5365.411649297","100","100","100"
"5375.411434836","100","100","100"
"5385.418016377","100","100","100"
"5395.411334014","100","100","100"
"5405.413813352","100","100","100"
"5415.411733599","100","100","100"
"5425.420727213","100","100","100"
"5435.4114517","100","100","100"
"5445.412683613","100","100","100"
"5455.41219522","100","100","100"
"5465.411952708","100","100","100"
"5475.416679485","100","100","100"
"5485.411533177","100","100","100"
"5495.41327887","100","100","100"
"5505.411426212","100","100","100"
"5515.412216785","100","100","100"
"5525.411577782","100","100","100"
"5535.412939855","100","100","100"
"5545.410899582","60","60","60"
"5555.41386251","100","100","100"
"5565.412568081","100","100","100"
"5575.411995721","100","100","100"
"5585.413962998","100","100","100"
"5595.412749419","100","100","100"
"5605.411272615","100","100","100"
"5615.415209118","100","100","100"
"5625.42277779","100","100","100"
"5635.414624362","100","100","100"
"5645.411048182","100","100","100"
"5655.412284789","100","100","100"
"5665.411319653","100","100","100"
"5675.411776056","100","100","100"
"5685.412801151","100","100","100"
"5695.411079259","100","100","100"
"5705.412101938","100","100","100"
"5715.411631286","100","100","100"
"5725.416782814","100","100","100"
"5735.411292024","100","100","100"
"5745.41214693","100","100","100"
"5755.412486179","100","100","100"
"5765.411470871","100","100","100"
"5775.414051854","100","100","100"
"5785.412592758","100","100","100"
"5795.411126976","100","100","100"
"5805.412426518","100","100","100"
"5815.413858624","100","100","100"
"5825.419230085","100","100","100"
"5835.41283342","100","100","100"
"5845.411376084","100","100","100"
"5855.414410676","100","100","100"
"5865.415347797","100","100","100"
"5875.412254094","100","100","100"
"5885.415112073","100","100","100"
"5895.411499385","100","100","100"
"5905.411079253","100","100","100"
"5915.411417224","100","100","100"
"5925.412710795","100","100","100"
"5935.412456254","100","100","100"
"5945.410947866","100","100","100"
"5955.411235643","100","100","100"
"5965.416361704","100","100","100"
"5975.410777359","100","100","100"
"5985.411006392","100","100","100"
"5995.41181754","100","100","100"
"6005.412070937","100","100","100"
"6015.411909619","100","100","100"
"6025.413377131","100","100","100"
"6035.411676401","100","100","100"
"6045.410853619","100","100","100"
"6055.41190972","100","100","100"
"6065.412305462","100","100","100"
"6075.423772725","100","100","100"
"6085.411243386","100","100","100"
"6095.411784284","100","100","100"
"6105.411341676","100","100","100"
"6115.411651614","100","100","100"
"6125.411677638","100","100","100"
"6135.411516478","100","100","100"
"6145.411421422","100","100","100"
"6155.41355591","100","100","100"
"6165.412135057","100","100","100"
"6175.411787945","100","100","100"
"6185.415005784","100","100","100"
"6195.411557255","100","100","100"
"6205.411214593","100","100","100"
"6215.411932127","100","100","100"
"6225.417741847","100","100","100"
"6235.413190352","100","100","100"
"6245.411644422","100","100","100"
"6255.411667831","100","100","100"
"6265.412938382","100","100","100"
"6275.411980022","100","100","100"
"6285.41162377","100","100","100"
"6295.413141969","100","100","100"
"6305.41214119","100","100","100"
"6315.411573872","100","100","100"
"6325.41235574","100","100","100"
"6335.411625455","100","100","100"
"6345.418116037","100","100","100"
"6355.415880673","100","100","100"
"6365.410776369","100","100","100"
"6375.411448498","100","100","100"
"6385.420605084","100","100","100"
"6395.413899981","100","100","100"
"6405.411811119","100","100","100"
"6415.414862011","100","100","100"
"6425.411411491","100","100","100"
"6435.411152785","100","100","100"
"6445.411743661","100","100","100"
"6455.411372979","100","100","100"
"6465.411605788","100","100","100"
"6475.411836944","100","100","100"
"6485.411213628","100","100","100"
"6495.415892002","100","100","100"
"6505.411350388","100","100","100"
"6515.411723232","100","100","100"
"6525.414254905","100","100","100"
"6535.413709337","100","100","100"
"6545.412772404","100","100","100"
"6555.411687865","100","100","100"
"6565.411246657","100","100","100"
"6575.411448231","100","100","100"
"6585.412792487","100","100","100"
"6595.414748994","100","100","100"
"6605.412676028","100","100","100"
"6615.412675827","100","100","100"
"6625.416235341","100","100","100"
"6635.411263427","100","100","100"
"6645.411835355","100","100","100"
"6655.412236447","100","100","100"
"6665.411761764","100","100","100"
"6675.417607684","100","100","100"
"6685.41166645","100","100","100"
"6695.411712261","100","100","100"
"6705.411005731","100","100","100"
"6715.412565232","100","100","100"
"6725.412787554","100","100","100"
"6735.416417804","100","100","100"
"6745.415216505","100","100","100"
"6755.411204199","100","100","100"
"6765.411202966","100","100","100"
"6775.411068108","100","100","100"
"6785.411322115","100","100","100"
"6795.411360875","100","100","100"
"6805.411529686","100","100","100"
"6815.414144215","100","100","100"
"6825.411785617","100","100","100"
"6835.412175223","100","100","100"
"6845.415324455","100","100","100"
"6855.411459023","100","100","100"
"6865.411381799","100","100","100"
"6875.411450242","100","100","100"
"6885.411733604","100","100","100"
"6895.413631836","100","100","100"
"6905.41220331","100","100","100"
"6915.411367127","100","100","100"
"6925.410833943","100","100","100"
"6935.41803182","100","100","100"
"6945.412048688","100","100","100"
"6955.411623089","100","100","100"
"6965.413185372","100","100","100"
"6975.412107328","100","100","100"
"6985.411434455","100","100","100"
"6995.410864401","100","100","100"
"7005.412443357","100","100","100"
"7015.411427426","100","100","100"
"7025.41210309","100","100","100"
"7035.419625844","100","100","100"
"7045.411399343","100","100","100"
"7055.415930159","100","100","100"
"7065.41183735","100","100","100"
"7075.411509628","100","100","100"
"7085.411428785","100","100","100"
"7095.411191609","100","100","100"
"7105.41104051","100","100","100"
"7115.41147993","100","100","100"
"7125.411825987","100","100","100"
"7135.411696187","100","100","100"
"7145.411368681","100","100","100"
"7155.4117383","100","100","100"
"7165.411690041","100","100","100"
"7175.416513409","100","100","100"
"7185.411794059","100","100","100"
"7195.412335592","100","100","100"
"7205.411831509","100","100","100"
"7215.412346908","100","100","100"
"7225.415303533","100","100","100"
"7235.412866385","100","100","100"
"7245.412006662","100","100","100"
"7255.411298817","100","100","100"
"7265.4117241","100","100","100"
"7275.410917156","100","100","100"
"7285.412436295","100","100","100"
"7295.411912065","100","100","100"
"7305.411876876","100","100","100"
"7315.411560071","100","100","100"
"7325.411895999","100","100","100"
"7335.411633473","100","100","100"
"7345.412173522","100","100","100"
"7355.411106465","100","100","100"
"7365.411327138","100","100","100"
"7375.413843476","100","100","100"
"7385.411946143","100","100","100"
"7395.412888164","100","100","100"
"7405.412625601","100","100","100"
"7415.412719441","100","100","100"
"7425.411336143","100","100","100"
"7435.413130826","100","100","100"
"7445.411457531","100","100","100"
"7455.411512456","100","100","100"
"7465.414218143","67","67","67"
"7475.411607068","100","100","100"
"7485.411280781","100","100","100"
"7495.411382658","100","100","100"
"7505.411700461","100","100","100"
"7515.412408728","100","100","100"
"7525.411258861","100","100","100"
"7535.411417441","100","100","100"
"7545.411048589","100","100","100"
"7555.412241979","100","100","100"
"7565.412256608","100","100","100"
"7575.411906601","100","100","100"
"7585.412449584","100","100","100"
"7595.411447388","100","100","100"
"7605.414672165","100","100","100"
"7615.413399657","100","100","100"
"7625.412545189","100","100","100"
"7635.41557482","100","100","100"
"7645.414348086","100","100","100"
"7655.413136764","100","100","100"
"7665.410798322","100","100","100"
"7675.410886306","100","100","100"
"7685.416125315","100","100","100"
"7695.412294658","100","100","100"
"7705.410853312","100","100","100"
"7715.41142571","100","100","100"
"7725.413213106","100","100","100"
"7735.411717404","100","100","100"
"7745.411833064","100","100","100"
"7755.411779191","100","100","100"
"7765.41184969","100","100","100"
"7775.413807674","100","100","100"
"7785.411687533","100","100","100"
"7795.412236667","100","100","100"
"7805.41168768","100","100","100"
"7815.415570248","100","100","100"
"7825.413615468","100","100","100"
"7835.411497063","100","100","100"
"7845.412361314","100","100","100"
"7855.411014664","100","100","100"
"7865.412445862","100","100","100"
"7875.411252928","100","100","100"
"7885.410986581","100","100","100"
"7895.414295333","100","100","100"
"7905.414170497","100","100","100"
"7915.41139238","100","100","100"
"7925.416415274","100","100","100"
"7935.411765366","100","100","100"
"7945.414294694","100","100","100"
"7955.414652241","100","100","100"
"7965.411041643","100","100","100"
"7975.411325222","100","100","100"
"7985.416624729","100","100","100"
"7995.414535419","100","100","100"
"8005.411576351","100","100","100"
"8015.413032309","100","100","100"
"8025.411588827","100","100","100"
"8035.416859308","100","100","100"
"8045.411701037","100","100","100"
"8055.412420561","100","100","100"
"8065.412158941","100","100","100"
"8075.412423025","100","100","100"
"8085.418446892","100","100","100"
"8095.411314387","100","100","100"
"8105.4155639","100","100","100"
"8115.414093514","100","100","100"
"8125.411886567","100","100","100"
"8135.410859157","100","100","100"
"8145.415673522","100","100","100"
"8155.412759315","100","100","100"
"8165.411234652","100","100","100"
"8175.411925313","100","100","100"
"8185.413569796","100","100","100"
"8195.411776841","100","100","100"
"8205.416342219","100","100","100"
"8215.411248706","100","100","100"
"8225.411947861","100","100","100"
"8235.411797533","100","100","100"
"8245.412213082","100","100","100"
"8255.412224219","100","100","100"
"8265.411098695","100","100","100"
"8275.411443934","100","100","100"
"8285.412239287","100","100","100"
"8295.412050465","100","100","100"
"8305.411856865","100","100","100"
"8315.416549274","100","100","100"
"8325.412105997","100","100","100"
"8335.411138065","100","100","100"
"8345.411598525","100","100","100"
"8355.411294741","100","100","100"
"8365.411464787","100","100","100"
"8375.413021901","100","100","100"
"8385.411708713","100","100","100"
"8395.411462211","100","100","100"
"8405.417415513","100","100","100"
"8415.413142439","100","100","100"
"8425.411938471","100","100","100"
"8435.414227643","100","100","100"
"8445.411174097","100","100","100"
"8455.419267463","100","100","100"
"8465.411260479","100","100","100"
"8475.411243994","100","100","100"
"8485.411709332","100","100","100"
"8495.419633624","100","100","100"
"8505.411948464","100","100","100"
"8515.411644413","100","100","100"
"8525.411198213","100","100","100"
"8535.411918489","100","100","100"
"8545.412198099","100","100","100"
"8555.413325685","100","100","100"
"8565.411727634","100","100","100"
"8575.411193578","100","100","100"
"8585.411909355","100","100","100"
"8595.415168248","100","100","100"
"8605.411580904","100","100","100"
"8615.410890485","100","100","100"
"8625.411589935","100","100","100"
"8635.410986092","100","100","100"
"8645.410963826","100","100","100"
"8655.415330927","100","100","100"
"8665.412265789","100","100","100"
"8675.415963643","100","100","100"
"8685.411135643","100","100","100"
"8695.411977163","100","100","100"
"8705.411701469","100","100","100"
"8715.414989032","100","100","100"
"8725.413671391","100","100","100"
"8735.411950973","100","100","100"
"8745.420402003","100","100","100"
"8755.412885201","100","100","100"
"8765.4110916","100","100","100"
"8775.411341589","100","100","100"
"8785.410864959","100","100","100"
"8795.416774009","100","100","100"
"8805.4116846","100","100","100"
"8815.411653838","100","100","100"
"8825.411435601","100","100","100"
"8835.412579621","100","100","100"
"8845.411558524","100","100","100"
"8855.414882364","100","100","100"
"8865.415814538","100","100","100"
"8875.41196801","100","100","100"
"8885.411297795","100","100","100"
"8895.413409901","100","100","100"
"8905.411681586","100","100","100"
"8915.411824869","100","100","100"
"8925.41188914","100","100","100"
"8935.411015052","100","100","100"
"8945.411812489","100","100","100"
"8955.41542505","100","100","100"
"8965.414522883","100","100","100"
"8975.411463876","100","100","100"
"8985.412053437","100","100","100"
"8995.412824909","100","100","100"
"9005.41178688","100","100","100"
"9015.412437497","100","100","100"
"9025.411839677","100","100","100"
"9035.410909569","100","100","100"
"9045.411417581","100","100","100"
"9055.412315899","100","100","100"
"9065.419968982","100","100","100"
"9075.417759846","100","100","100"
"9085.411040067","100","100","100"
"9095.411957167","100","100","100"
"9105.412312482","100","100","100"
"9115.412670115","100","100","100"
"9125.411352784","100","100","100"
"9135.4111428","100","100","100"
"9145.412128087","100","100","100"
"9155.411491496","100","100","100"
"9165.411540977","100","100","100"
"9175.41341153","100","100","100"
"9185.418483039","100","100","100"
"9195.410967492","100","100","100"
"9205.411211147","100","100","100"
"9215.41552917","100","100","100"
"9225.414264696","100","100","100"
"9235.412021879","100","100","100"
"9245.411822092","100","100","100"
"9255.413920857","100","100","100"
"9265.412511333","100","100","100"
"9275.412396718","100","100","100"
"9285.411278201","100","100","100"
"9295.415848517","100","100","100"
"9305.410961338","100","100","100"
"9315.414792759","100","100","100"
