"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/loss","StudyAbroadGPT-7B-continued - train/loss__MIN","StudyAbroadGPT-7B-continued - train/loss__MAX"
"94","188.5","188","189","0.349","0.349","0.349"
"95","190.5","190","191","0.338","0.338","0.338"
"96","192.5","192","193","0.3235","0.3235","0.3235"
"97","194.5","194","195","0.3385","0.3385","0.3385"
"98","196.5","196","197","0.3419","0.3419","0.3419"
"99","198.5","198","199","0.3336","0.3336","0.3336"
"100","200.5","200","201","0.3332","0.3332","0.3332"
"101","202.5","202","203","0.318","0.318","0.318"
"102","204.5","204","205","0.3452","0.3452","0.3452"
"103","206.5","206","207","0.3308","0.3308","0.3308"
"104","208.5","208","209","0.3141","0.3141","0.3141"
"105","210.5","210","211","0.3199","0.3199","0.3199"
"106","212.5","212","213","0.32","0.32","0.32"
"107","214.5","214","215","0.3315","0.3315","0.3315"
"108","216.5","216","217","0.3172","0.3172","0.3172"
"109","218.5","218","219","0.3318","0.3318","0.3318"
"110","220.5","220","221","0.3153","0.3153","0.3153"
"111","222.5","222","223","0.3418","0.3418","0.3418"
"112","224.5","224","225","0.3193","0.3193","0.3193"
"113","226.5","226","227","0.3401","0.3401","0.3401"
"114","228.5","228","229","0.3226","0.3226","0.3226"
"115","230.5","230","231","0.3253","0.3253","0.3253"
"116","232.5","232","233","0.3318","0.3318","0.3318"
"117","234.5","234","235","0.3239","0.3239","0.3239"
"118","236.5","236","237","0.2963","0.2963","0.2963"
"119","238.5","238","239","0.3217","0.3217","0.3217"
"120","240.5","240","241","0.3325","0.3325","0.3325"
"121","242.5","242","243","0.2963","0.2963","0.2963"
"122","244.5","244","245","0.3359","0.3359","0.3359"
"123","246.5","246","247","0.3314","0.3314","0.3314"
"124","248.5","248","249","0.3018","0.3018","0.3018"
"125","250.5","250","251","0.3161","0.3161","0.3161"
"126","252.5","252","253","0.3292","0.3292","0.3292"
"127","254.5","254","255","0.3269","0.3269","0.3269"
"128","256.5","256","257","0.3195","0.3195","0.3195"
"129","258.5","258","259","0.3353","0.3353","0.3353"
"130","260.5","260","261","0.307","0.307","0.307"
"131","262.5","262","263","0.3296","0.3296","0.3296"
"132","264.5","264","265","0.3595","0.3595","0.3595"
"133","266.5","266","267","0.3248","0.3248","0.3248"
"134","268.5","268","269","0.3201","0.3201","0.3201"
"135","270.5","270","271","0.3348","0.3348","0.3348"
"136","272.5","272","273","0.3107","0.3107","0.3107"
"137","274.5","274","275","0.3171","0.3171","0.3171"
"138","276.5","276","277","0.3264","0.3264","0.3264"
"139","278.5","278","279","0.3224","0.3224","0.3224"
"140","280.5","280","281","0.3203","0.3203","0.3203"
"141","282.5","282","283","0.3282","0.3282","0.3282"
"142","284","284","284","0.3405","0.3405","0.3405"
