"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/epoch","StudyAbroadGPT-7B-continued - train/epoch__MIN","StudyAbroadGPT-7B-continued - train/epoch__MAX"
"121","242.5","242","243","1.695957820738137","1.688927943760984","1.70298769771529"
"122","244.5","244","245","1.710017574692443","1.70298769771529","1.717047451669596"
"123","246.5","246","247","1.7240773286467488","1.717047451669596","1.7311072056239016"
"124","248.5","248","249","1.7381370826010545","1.7311072056239016","1.7451669595782073"
"125","250.5","250","251","1.7521968365553602","1.7451669595782073","1.759226713532513"
"126","252.5","252","253","1.7662565905096659","1.759226713532513","1.773286467486819"
"127","254.5","254","255","1.780316344463972","1.773286467486819","1.7873462214411249"
"128","256.5","256","257","1.7943760984182777","1.7873462214411249","1.8014059753954306"
"129","258.5","258","259","1.8084358523725834","1.8014059753954306","1.8154657293497363"
"130","260.5","260","261","1.8224956063268891","1.8154657293497363","1.8295254833040422"
"131","262.5","262","263","1.8365553602811953","1.8295254833040422","1.843585237258348"
"132","264.5","264","265","1.850615114235501","1.843585237258348","1.8576449912126538"
"133","266.5","266","267","1.8646748681898067","1.8576449912126538","1.8717047451669595"
"134","268.5","268","269","1.8787346221441124","1.8717047451669595","1.8857644991212654"
"135","270.5","270","271","1.8927943760984183","1.8857644991212654","1.8998242530755711"
"136","272.5","272","273","1.9068541300527242","1.8998242530755711","1.913884007029877"
"137","274.5","274","275","1.92091388400703","1.913884007029877","1.9279437609841827"
"138","276.5","276","277","1.9349736379613356","1.9279437609841827","1.9420035149384884"
"139","278.5","278","279","1.9490333919156413","1.9420035149384884","1.9560632688927944"
"140","280.5","280","281","1.9630931458699474","1.9560632688927944","1.9701230228471003"
"141","282.5","282","283","1.9771528998242531","1.9701230228471003","1.984182776801406"
"142","285","284","286","1.984182776801406","1.984182776801406","1.984182776801406"
