"train/global_step","StudyAbroadGPT-7B-continued - _step","StudyAbroadGPT-7B-continued - _step__MIN","StudyAbroadGPT-7B-continued - _step__MAX","StudyAbroadGPT-7B-continued - train/grad_norm","StudyAbroadGPT-7B-continued - train/grad_norm__MIN","StudyAbroadGPT-7B-continued - train/grad_norm__MAX"
"96","192","192","192","0.28410524129867554","0.28410524129867554","0.28410524129867554"
"97","194","194","194","0.2906089425086975","0.2906089425086975","0.2906089425086975"
"98","196","196","196","0.28047022223472595","0.28047022223472595","0.28047022223472595"
"99","198","198","198","0.2965664863586426","0.2965664863586426","0.2965664863586426"
"100","200","200","200","0.29391127824783325","0.29391127824783325","0.29391127824783325"
"101","202","202","202","0.30308493971824646","0.30308493971824646","0.30308493971824646"
"102","204","204","204","0.32894158363342285","0.32894158363342285","0.32894158363342285"
"103","206","206","206","0.3052447438240051","0.3052447438240051","0.3052447438240051"
"104","208","208","208","0.2815673053264618","0.2815673053264618","0.2815673053264618"
"105","210","210","210","0.28692540526390076","0.28692540526390076","0.28692540526390076"
"106","212","212","212","0.30314525961875916","0.30314525961875916","0.30314525961875916"
"107","214","214","214","0.3013783097267151","0.3013783097267151","0.3013783097267151"
"108","216","216","216","0.28215762972831726","0.28215762972831726","0.28215762972831726"
"109","218","218","218","0.3076379597187042","0.3076379597187042","0.3076379597187042"
"110","220","220","220","0.29278847575187683","0.29278847575187683","0.29278847575187683"
"111","222","222","222","0.2919006049633026","0.2919006049633026","0.2919006049633026"
"112","224","224","224","0.2896549105644226","0.2896549105644226","0.2896549105644226"
"113","226","226","226","0.3020820915699005","0.3020820915699005","0.3020820915699005"
"114","228","228","228","0.2893938720226288","0.2893938720226288","0.2893938720226288"
"115","230","230","230","0.28151410818099976","0.28151410818099976","0.28151410818099976"
"116","232","232","232","0.2859111726284027","0.2859111726284027","0.2859111726284027"
"117","234","234","234","0.3094366490840912","0.3094366490840912","0.3094366490840912"
"118","236","236","236","0.28948360681533813","0.28948360681533813","0.28948360681533813"
"119","238","238","238","0.29726970195770264","0.29726970195770264","0.29726970195770264"
"120","240","240","240","0.3233843445777893","0.3233843445777893","0.3233843445777893"
"121","242","242","242","0.2812826335430145","0.2812826335430145","0.2812826335430145"
"122","244","244","244","0.3001561164855957","0.3001561164855957","0.3001561164855957"
"123","246","246","246","0.2984737455844879","0.2984737455844879","0.2984737455844879"
"124","248","248","248","0.29260504245758057","0.29260504245758057","0.29260504245758057"
"125","250","250","250","0.2882346212863922","0.2882346212863922","0.2882346212863922"
"126","252","252","252","0.306609570980072","0.306609570980072","0.306609570980072"
"127","254","254","254","0.3234715759754181","0.3234715759754181","0.3234715759754181"
"128","256","256","256","0.29134467244148254","0.29134467244148254","0.29134467244148254"
"129","258","258","258","0.30263644456863403","0.30263644456863403","0.30263644456863403"
"130","260","260","260","0.28749024868011475","0.28749024868011475","0.28749024868011475"
"131","262","262","262","0.292538046836853","0.292538046836853","0.292538046836853"
"132","264","264","264","0.31503719091415405","0.31503719091415405","0.31503719091415405"
"133","266","266","266","0.29350703954696655","0.29350703954696655","0.29350703954696655"
"134","268","268","268","0.2943442463874817","0.2943442463874817","0.2943442463874817"
"135","270","270","270","0.323763906955719","0.323763906955719","0.323763906955719"
"136","272","272","272","0.29952794313430786","0.29952794313430786","0.29952794313430786"
"137","274","274","274","0.3030852973461151","0.3030852973461151","0.3030852973461151"
"138","276","276","276","0.290918231010437","0.290918231010437","0.290918231010437"
"139","278","278","278","0.2951687276363373","0.2951687276363373","0.2951687276363373"
"140","280","280","280","0.2872593402862549","0.2872593402862549","0.2872593402862549"
"141","282","282","282","0.29259616136550903","0.29259616136550903","0.29259616136550903"
"142","284","284","284","0.2937758266925812","0.2937758266925812","0.2937758266925812"
